uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,522,1.5997741987272697e-07,0.0
136562B6-95B2-483D-88DC-065F28409FD2,522,1.9050185040948032e-07,0.0
24E40C4C-A349-4F9F-93AB-01D00FB994AF,522,0.0017847173781383716,0.0
27E04243-B138-4F40-A164-F40B60165CF3,522,2.2939411041167733e-08,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,522,4.3914050069790635e-07,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,522,3.2693611007701124e-08,0.0
59818CD2-24D7-4D32-B133-24C2FE3801E5,522,9.20599944011895e-08,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,522,4.685353136785984e-08,0.0
665514DE-49DC-421F-8DCB-145D0B2609AD,522,1.0912828445178475e-07,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,522,1.5074580753709335e-07,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,522,7.941861362140821e-06,0.0
7CE37510-56D0-4120-A1CF-0E23351428D2,522,2.4821486598792047e-05,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,522,1.2366496288508374e-06,0.0
806289BC-AD52-4CC1-806C-0CDB14D65EB6,522,2.2486346072148137e-08,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,522,3.152237660678507e-08,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,522,1.7570756964959823e-08,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,522,1.4127318551182995e-08,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,522,1.3537329359283498e-07,0.0
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,522,2.0607680035980807e-08,0.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,522,2.8191875245829824e-07,0.0
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,522,4.149938346058548e-08,0.0
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,522,3.83468192133586e-06,0.0
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,522,1.9957346066199677e-08,0.0
