mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,n_candidates,constraint_satisfied,achievable_min_FAR,enrolled_user
instantaneous,{'theta': 0.9123910547138859},0.044444444444444446,0.2152777777777778,0.05,0.01,40,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.9011474765994403, 'w': 20}",0.05277777777777778,0.2708333333333333,0.05,0.01,160,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.8850491556499083, 'alpha': 0.1}",0.05,0.18194444444444444,0.05,0.01,160,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.9074297018237962, 'w': 10, 'k': 6}",0.044444444444444446,0.2222222222222222,0.05,0.01,200,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.9011474765994403, 'n': 5}",0.05,0.18888888888888888,0.05,0.01,160,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.8663113577149474, 'margin': 0.2}",0.04722222222222222,0.25416666666666665,0.05,0.01,160,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9011474765994403, 'margin': 0.1, 'ttt_frames': 3}",0.05,0.2638888888888889,0.05,0.01,480,True,0.002777777777777778,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.9011474765994403, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05277777777777778,0.21944444444444444,0.05,0.01,360,True,0.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.9354700751605606, 'sd_gen': 0.054936724117615285, 'mu_imp': 0.6526158769982953, 'sd_imp': 0.2212267131273918}",0.11666666666666667,0.11944444444444445,0.05,0.01,25,False,0.11666666666666667,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 0.9195261437908496},0.0,0.004166666666666667,0.05,0.01,40,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 0.8532789522058823, 'w': 20}",0.058333333333333334,0.125,0.05,0.01,160,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 0.8532789522058823, 'alpha': 0.1}",0.027777777777777776,0.125,0.05,0.01,160,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 0.9231395220588235, 'w': 10, 'k': 6}",0.058333333333333334,0.06666666666666667,0.05,0.01,200,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 0.9507286458333333, 'n': 10}",0.05,0.4875,0.05,0.01,160,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
margin_dual_threshold,"{'theta': 0.8532789522058823, 'margin': 0.1}",0.025,0.0,0.05,0.01,160,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
hysteresis,"{'theta': 0.9476102941176471, 'margin': 0.05, 'ttt_frames': 5}",0.05,0.45694444444444443,0.05,0.01,480,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
trust_model,"{'theta': 0.9289534109477124, 'gain': 0.1, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.5,0.05,0.01,360,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
sprt,"{'A': 1, 'B': 16, 'mu_gen': 0.9581692254448076, 'sd_gen': 0.023032323437457924, 'mu_imp': 0.40852963870733483, 'sd_imp': 0.23713179747243304}",0.022222222222222223,0.0,0.05,0.01,25,True,0.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
