feature_set,model,n_users,AUC_mean,AUC_lo,AUC_hi,EER_mean,EER_lo,EER_hi,FAR_mean,FAR_lo,FAR_hi,FRR_mean,FRR_lo,FRR_hi,FAR1pct_FRR_mean,FAR1pct_FRR_lo,FAR1pct_FRR_hi,runtime_median_s
F1_ALL,gradient_boosting,12,0.9983375291746491,0.9954871319288708,0.9998639871412999,0.010686688623335001,0.0037342841329152305,0.02196385323389857,0.01549252913287081,0.004803309025625201,0.028855502105515754,0.027651669672506835,0.003949620309481609,0.06149368994944283,0.062816164161047,0.0020968285975835835,0.15252598095464814,64.71345698833466
F2_STAGE1_COMPARABLE,gradient_boosting,12,0.9786417245875763,0.950074463437442,0.9942169388732859,0.05862035869993643,0.03470517459646941,0.09740721593569404,0.0653330854262745,0.038673565007489336,0.10106965641232298,0.07643722840521125,0.02680989950198514,0.15935278025381655,0.24765326927744402,0.12143218875159861,0.42770852724256053,35.87089800834656
F3_NO_LOC_NO_DEVSTATE,gradient_boosting,12,0.996961444561415,0.9916154475703,0.9998268525934573,0.014487118168948302,0.004162881742764205,0.03186910506567009,0.015447674651263394,0.005983503440900503,0.02565667885346389,0.01861862402700511,0.003644481655817434,0.04145353827390997,0.04237438875787967,0.0033269643538752134,0.10354952992649058,56.11894631385803
F4_LOCATION_ONLY,gradient_boosting,12,0.9275724228595914,0.8477802062404487,0.9738859779247954,0.12667604329841795,0.0826625311439882,0.1949868209562774,0.12257835388682697,0.08457040690850164,0.16951225026026573,0.15940450547116314,0.07381807601476294,0.2884092630504706,0.4556368689255144,0.2941860098012195,0.6378053560898262,12.354451417922974
F5_DEVICE_STATE_ONLY,gradient_boosting,12,0.7325906116762865,0.7009764723823748,0.7648860540102618,0.35111794516462586,0.3229131493106537,0.37618872077038995,0.31570964988509814,0.2962035053002019,0.333986606386126,0.4271438192578371,0.33801518694500526,0.5134572169276003,0.9679646975613644,0.9438977405933262,0.987240098123032,2.615686297416687
F6_MISSINGNESS_ONLY,gradient_boosting,12,0.8449410555871267,0.8064548082012911,0.8820638244434511,0.23203941455703228,0.17918649571451367,0.29042341449045544,0.20742212832320125,0.16615711157877175,0.24938794849589166,0.26336791097051976,0.14928463722594001,0.3908371848008065,0.7507164197023539,0.580320591035894,0.9038484032782692,4.807999849319458
F1_ALL,logistic_regression,12,0.9812558020061589,0.9714342507674071,0.9902623095680514,0.04553469422578043,0.02692070921498429,0.06483458642186107,0.0505546471228136,0.027753559228025006,0.07291068025157431,0.06176230953129213,0.024360636368747884,0.10927277169982864,0.6414418997734724,0.4079861549243181,0.8604637600859467,18.779001474380493
F2_STAGE1_COMPARABLE,logistic_regression,12,0.8924340719921143,0.867923469524021,0.9163941875609194,0.1834626239448454,0.15022033615966365,0.21858985036790624,0.1629187103779953,0.13000933923434346,0.19847055016326262,0.2549333727086103,0.1752325436135101,0.326027379624451,0.9416302900836618,0.8399952274965435,0.9990393852065322,10.397185206413269
F3_NO_LOC_NO_DEVSTATE,logistic_regression,12,0.9700530929002354,0.9432359345049116,0.9901857395039395,0.06481608212284133,0.029261037702428022,0.10514483789322876,0.06956738871558112,0.030417184607380448,0.1119333560009464,0.06556943045716603,0.030809160646978005,0.11168573221776963,0.44875427930984174,0.2582764647019683,0.6363932805364216,10.720310926437378
F4_LOCATION_ONLY,logistic_regression,12,0.8083202630584765,0.759756581463545,0.8518492090976468,0.23971178543992908,0.19515307945971347,0.28301669677837005,0.2700150062713795,0.2274396043452784,0.31257120907851216,0.2319524887326473,0.1705621222577736,0.28567225422314335,0.9875798892171082,0.9691107379487963,0.9992840778923253,1.609360933303833
F5_DEVICE_STATE_ONLY,logistic_regression,12,0.7305744254148614,0.7053848872600784,0.7559279830804044,0.3489501771840506,0.32167325052015483,0.3751671579145804,0.33051580510224193,0.30174521850310443,0.36053925584559554,0.38663873327366566,0.2901312052553073,0.4734566973748044,0.9670751463245723,0.9523568350645333,0.9815398391672091,0.43236458301544184
F6_MISSINGNESS_ONLY,logistic_regression,12,0.8546453606259544,0.8126243456709795,0.8908018572863372,0.21944747220344932,0.1623941633616588,0.2809916197682523,0.21150253957773066,0.16657436659356786,0.25496506701301935,0.20187602787679193,0.10608480536813299,0.31474495300134314,0.7463583235686441,0.5787966550127365,0.9038256868159685,1.796954870223999
