uuid,n_frames,median_gap_s,frac_gaps_59_61,frac_gaps_gt_90,n_segments,max_segment_frames,median_segment_frames,span_hours,cadence_class,eligible_primary
00EABED2-271D-49D8-B599-1D4A09240601,2287,60.0,0.9002624671916011,0.01968503937007874,46,795,1.0,186.57416666666666,fragmented,False
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,6813,60.0,0.9751908396946565,0.0024955960070463887,18,1459,274.5,675.2761111111112,regular,True
0A986513-7828-4D53-AA1F-E02D6DF9561B,3960,60.0,0.9952008082849204,0.001262945188178833,6,1655,519.5,71.69722222222222,regular,True
0BFC35E2-4817-4865-BFA7-764742302A2D,3108,61.0,0.26939169616993885,0.12745413582233667,397,77,4.0,167.5836111111111,fragmented,False
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,7521,61.0,0.3702127659574468,0.14095744680851063,1061,135,4.0,167.24527777777777,fragmented,False
1155FF54-63D3-4AB2-9863-8385D0BD0A13,2685,300.0,0.030923994038748136,0.7175856929955291,1927,58,1.0,210.475,fragmented,False
11B5EC4D-4133-4289-B475-4E737182A406,8845,60.0,0.9479873360470376,0.0006784260515603799,7,4352,799.0,170.03222222222223,fragmented,False
136562B6-95B2-483D-88DC-065F28409FD2,6218,60.0,0.9806980858935178,0.0038603828212964452,25,847,205.0,168.4177777777778,regular,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,6549,60.0,0.9920586438607208,0.004123396456933414,28,1281,5.5,167.63888888888889,regular,True
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,7375,60.0,0.27407106048277735,0.07255221046921617,536,208,7.0,184.89194444444445,fragmented,False
24E40C4C-A349-4F9F-93AB-01D00FB994AF,4771,60.0,0.9742138364779874,0.004821802935010482,24,665,133.5,274.69305555555553,regular,True
27E04243-B138-4F40-A164-F40B60165CF3,4927,60.0,0.29455948030856677,0.09845716605765327,486,127,5.0,188.95416666666668,fragmented,False
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,8516,60.0,0.9869641808573106,0.001644157369348209,15,3366,370.0,167.8227777777778,regular,True
33A85C34-CFE4-4732-9E73-0A7AC861B27A,6172,60.0,0.5209852536055745,0.10354885755955275,640,172,4.0,170.3672222222222,fragmented,False
3600D531-0C55-44A7-AE95-A7A38519464E,5203,60.0,0.9867358708189158,0.006343713956170703,34,1175,22.5,187.525,regular,True
40E170A7-607B-4578-AF04-F021C3B0384A,7649,60.0,0.3040010460251046,0.12186192468619247,933,282,3.0,167.96055555555554,fragmented,False
481F4DD2-7689-43B9-A2AA-C8772227162B,6691,60.0,0.45605381165919284,0.14050822122571002,941,162,3.0,213.7836111111111,fragmented,False
4E98F91F-4654-42EF-B908-A3389443F2E7,3250,61.0,0.34749153585718684,0.15635580178516467,509,75,2.0,167.92194444444445,fragmented,False
4FC32141-E888-4BFF-8804-12559A491D8C,4979,60.0,0.9837284049819205,0.0034150261149055844,18,1334,133.0,118.00944444444444,regular,True
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,6617,60.0,0.9906287787182587,0.0013603385731559856,10,2595,387.5,152.33833333333334,regular,True
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,6617,60.0,0.9898730350665055,0.0013603385731559856,10,1415,599.5,167.79333333333332,regular,True
59818CD2-24D7-4D32-B133-24C2FE3801E5,5947,61.0,0.33938782374705684,0.09973091153716784,594,83,6.0,164.80305555555555,fragmented,False
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,7542,61.0,0.16509746717941917,0.1551518366264421,1171,91,4.0,165.2602777777778,fragmented,False
5EF64122-B513-46AE-BCF1-E62AAC285D2C,3911,60.0,0.972378516624041,0.002301790281329923,10,844,313.5,68.95,regular,True
61359772-D8D8-480D-B623-7C636EAD0C81,6079,60.0,0.5258308654162553,0.08522540309312274,519,103,9.0,174.41833333333332,fragmented,False
61976C24-1C50-4355-9C49-AAE44A7D09F6,8730,60.0,0.977431550005728,0.011685187306678887,103,5385,11.0,2925.5433333333335,regular,True
665514DE-49DC-421F-8DCB-145D0B2609AD,9167,60.0,0.339515601134628,0.08913375518219507,818,102,7.0,167.9911111111111,fragmented,False
74B86067-5D4B-43CF-82CF-341B76BEA0F4,7298,60.0,0.4740304234616966,0.09222968343154721,674,125,6.0,149.10888888888888,fragmented,False
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,11996,60.0,0.9917465610671113,0.0007503126302626094,10,2478,1244.5,222.3177777777778,regular,True
797D145F-3858-4A7F-A7C2-A4EB721E133C,3593,61.0,0.45601336302895323,0.05929844097995546,214,134,9.0,142.095,fragmented,False
7CE37510-56D0-4120-A1CF-0E23351428D2,9761,60.0,0.9878073770491803,0.0007172131147540983,8,6935,264.0,163.59194444444444,regular,True
7D9BB102-A612-4E2A-8E22-3159752F55D8,1600,60.0,0.9618511569731082,0.025015634771732333,41,262,22.0,163.17694444444444,regular,True
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,9189,60.0,0.9614714845450588,0.0031562908141053547,30,1610,105.0,191.075,regular,True
806289BC-AD52-4CC1-806C-0CDB14D65EB6,9242,61.0,0.2477004653176063,0.06016664863110053,557,175,10.0,168.2488888888889,fragmented,False
81536B0A-8DBF-4D8A-AC24-9543E2E4C8E0,6407,62.0,0.2450827349359975,0.22619419294411489,1450,57,3.0,168.98361111111112,fragmented,False
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9539,60.0,0.9951771859928706,0.0007339064793457748,8,2829,946.5,168.32194444444445,regular,True
86A4F379-B305-473D-9D83-FC7D800180EF,10738,63.0,0.1392381484586011,0.15190462885349726,1632,175,4.0,283.29,fragmented,False
96A358A0-FFF2-4239-B93E-C7425B901B47,5819,60.0,0.31041595049845305,0.09419044345135785,549,109,6.0,192.85972222222222,fragmented,False
9759096F-1119-4E19-A0AD-6F16989C7E1C,9959,60.0,0.9942759590279172,0.0004016870857601928,5,6073,1178.0,167.29416666666665,regular,True
99B204C0-DD5C-4BB7-83E8-A37281B8D769,6038,61.0,0.24995858870299817,0.1696206725194633,1025,72,3.0,186.68583333333333,fragmented,False
9DC38D04-E82E-4F29-AB52-B476535226F2,9686,60.0,0.9822405782137326,0.0022715539494062983,23,4332,6.0,167.6063888888889,regular,True
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,64.0,0.20468187274909963,0.287515006002401,480,140,1.0,112.93222222222222,fragmented,False
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,6040,60.0,0.9839377380360987,0.0024838549428713363,16,1582,212.0,203.1886111111111,regular,True
A7599A50-24AE-46A6-8EA6-2576F1011D81,3898,60.0,0.5660764690787785,0.036181678214010776,142,312,9.0,151.5611111111111,fragmented,False
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,7520,60.0,0.9944141508179279,0.00039898922729086314,4,4042,1625.5,167.96083333333334,regular,True
B09E373F-8A54-44C8-895B-0039390B859F,8134,60.0,0.9824173121849256,0.0014754703061600886,13,2103,284.0,262.8122222222222,regular,True
B7F9D634-263E-4A97-87F9-6FFB4DDCB36C,9383,60.0,0.49584310381581753,0.09209123854188872,865,87,5.0,185.76194444444445,fragmented,False
B9724848-C7E2-45F4-9B3F-A1F38D864495,7626,60.0,0.9880655737704918,0.002098360655737705,17,1234,522.0,166.61277777777778,regular,True
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,8309,60.0,0.9776119402985075,0.0026480500722195475,23,1707,148.0,167.4336111111111,regular,True
BEF6C611-50DA-4971-A040-87FB979F3FC1,3451,60.0,0.2982608695652174,0.1055072463768116,365,67,5.0,138.90666666666667,fragmented,False
