uuid,n,mean_score,far
0A986513-7828-4D53-AA1F-E02D6DF9561B,2087,1.08284884855273e-06,0.1159559175850503
136562B6-95B2-483D-88DC-065F28409FD2,2087,0.00018028201715526991,0.010541447053186392
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2087,5.102888030352064e-07,0.025874460948730235
27E04243-B138-4F40-A164-F40B60165CF3,2087,2.180192243764626e-07,0.005749880210828941
4E98F91F-4654-42EF-B908-A3389443F2E7,2087,2.602939919311885e-07,0.004791566842357451
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2087,4.818351243058564e-06,0.03833253473885961
59818CD2-24D7-4D32-B133-24C2FE3801E5,2087,1.1357026752298802e-07,0.0004791566842357451
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2087,1.3495059722787554e-06,0.08145663632007666
665514DE-49DC-421F-8DCB-145D0B2609AD,2087,1.044595013186158e-07,0.006229036895064686
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2087,1.8599917548996395e-07,0.004791566842357451
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2087,2.2271476182674146e-06,0.15764254911356013
7CE37510-56D0-4120-A1CF-0E23351428D2,2087,4.123175447258975e-05,0.07091518926689028
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2087,3.1096503091784085e-06,0.1657882127455678
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2087,5.6282489639922196e-08,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2087,1.1578521216151558e-06,0.043603258265452804
96A358A0-FFF2-4239-B93E-C7425B901B47,2087,1.224783106395051e-07,0.0004791566842357451
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2087,7.640332580547567e-08,0.0014374700527072352
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,2.1778721359859143e-06,0.0005998800239952009
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2087,8.907457661253687e-07,0.10493531384762818
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2087,7.104823691825471e-06,0.02731193100143747
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2087,4.7399463266158037e-07,0.014374700527072353
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2087,1.6870440955272174e-07,0.004312410158121706
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2087,2.1638670738739267e-06,0.16099664590321036
