uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.06038496624236176,0.015
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.23753856394016323,0.1445
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.19032733311363298,0.081
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.3457116699804536,0.288
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.08296015524729233,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.2732003400113564,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.5761029936003468,0.568
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.011694085661960684,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.5031634830585346,0.53
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.15041659639304744,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.0678572645884398,0.0575
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.14543362942114116,0.0765
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.1481618053914641,0.0745
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.09792065043852229,0.058
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.004521380168396748,0.0
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.20707475008976517,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.015157456671183294,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.004449252718224847,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.07516493505004215,0.038992201559688064
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.20897977235733758,0.1445
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.26416164917456625,0.1755
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.2841645167428788,0.226
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.16956954238874192,0.0585
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.19434206178455837,0.101
