uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.5994047894905393,0.7545
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.20415933437976835,0.296
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.4904893658018872,0.7905
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.44950784627030815,0.715
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.15809316407658225,0.019
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.14807922276044078,0.0005
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.24404089851032496,0.2495
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.19673425825311378,0.1095
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.0970740502537197,0.067
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.15700468740806725,0.0735
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.5435615383203297,0.9535
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.4997385493177104,0.8195
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.2932172025651388,0.4105
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.4874519712027929,0.733
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.16779327234715288,0.133
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.14434133284282658,0.011
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.16963427650132182,0.0535
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.13927942345538888,0.063
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.4056986409912487,0.6220755848830234
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.3949971906513942,0.5785
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.4612286609212685,0.83
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.4884371102871568,0.7855
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.39163370742042347,0.493
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.24715738768160306,0.2835
