uuid,n,mean_score,far
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,2000,0.39281339656569714,0.6825
0A986513-7828-4D53-AA1F-E02D6DF9561B,2000,0.152007668929385,0.278
136562B6-95B2-483D-88DC-065F28409FD2,2000,0.14671887107101608,0.7025
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2000,0.10489240596906882,0.485
27E04243-B138-4F40-A164-F40B60165CF3,2000,0.0009250274273360548,0.0
4E98F91F-4654-42EF-B908-A3389443F2E7,2000,0.001077161650786732,0.0
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,2000,0.020812195111374283,0.108
59818CD2-24D7-4D32-B133-24C2FE3801E5,2000,0.0009884024974735773,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2000,0.045481101068565025,0.1205
665514DE-49DC-421F-8DCB-145D0B2609AD,2000,0.001047600236633757,0.0
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2000,0.02598461541386979,0.4645
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2000,0.07991240134007263,0.254
7CE37510-56D0-4120-A1CF-0E23351428D2,2000,0.05795169270422553,0.2285
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,2000,0.039522920748777446,0.191
806289BC-AD52-4CC1-806C-0CDB14D65EB6,2000,0.001094402670358714,0.0005
86A4F379-B305-473D-9D83-FC7D800180EF,2000,0.0010940172011619002,0.0
96A358A0-FFF2-4239-B93E-C7425B901B47,2000,0.000870854288789634,0.0
99B204C0-DD5C-4BB7-83E8-A37281B8D769,2000,0.0009809395587001592,0.0
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,0.014493937332525778,0.16436712657468505
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,2000,0.17167224974532364,0.707
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2000,0.06689561359804487,0.525
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2000,0.07404704741312576,0.2895
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2000,0.015551030273146891,0.09
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2000,0.12003299456914167,0.404
