feature,importance
location:min_altitude,0.13891008254141238
location:max_altitude,0.12189719829683154
proc_gyro:3d:std_z,0.0471713124443236
raw_acc:3d:mean_z,0.043468923939721356
raw_acc:3d:mean_y,0.029715377123495864
proc_gyro:3d:ro_xy,0.029146039593144796
location:best_vertical_accuracy,0.028316206113570747
raw_acc:magnitude_stats:percentile25,0.027837299400877688
raw_acc:magnitude_stats:percentile50,0.02713705903539552
raw_acc:magnitude_stats:mean,0.025639986128133088
raw_acc:magnitude_stats:percentile75,0.024951047583646243
location:log_latitude_range,0.020955365503273066
proc_gyro:magnitude_stats:percentile50,0.020812927500279618
location:num_valid_updates,0.018256676806257775
raw_acc:3d:mean_x,0.017839524062429262
proc_gyro:magnitude_stats:percentile25,0.017716605365275213
proc_gyro:magnitude_stats:percentile75,0.017510190872543893
proc_gyro:magnitude_spectrum:log_energy_band4,0.017177101323930428
raw_acc:3d:std_x,0.016522754878853536
raw_acc:magnitude_stats:std,0.01554831476460785
proc_gyro:magnitude_stats:mean,0.014653352448214927
location_quick_features:std_lat,0.013817072371200301
location:best_horizontal_accuracy,0.01345674670391536
raw_acc:magnitude_stats:moment4,0.013055793978576096
raw_acc:magnitude_spectrum:log_energy_band4,0.012134364400594328
proc_gyro:3d:ro_yz,0.011954660937327988
location:diameter,0.011946137600199733
location:log_diameter,0.011578419772586935
raw_acc:3d:std_z,0.009444284224381644
proc_gyro:3d:ro_xz,0.009338078584003665
raw_acc:3d:std_y,0.008685718971613248
location:log_longitude_range,0.008614280681026097
proc_gyro:magnitude_stats:moment3,0.008492062924807945
proc_gyro:magnitude_spectrum:spectral_entropy,0.007918195272824603
proc_gyro:3d:std_y,0.007751662302833679
proc_gyro:magnitude_stats:std,0.007434134379152158
location_quick_features:std_long,0.007333703565863043
proc_gyro:3d:std_x,0.0072529325721927326
proc_gyro:magnitude_stats:moment4,0.005503566145191556
discrete:wifi_status:is_not_reachable,0.005352947500001679
raw_acc:magnitude_stats:time_entropy,0.005027800332548188
discrete:wifi_status:is_reachable_via_wifi,0.0049392873410970374
proc_gyro:magnitude_stats:time_entropy,0.004787661514633837
discrete:app_state:is_background,0.004647862586036684
location_quick_features:mean_abs_lat_deriv,0.004543935821045337
raw_acc:magnitude_spectrum:log_energy_band2,0.004444806036678786
discrete:ringer_mode:missing,0.0042826132782979275
discrete:app_state:missing,0.0040200766247778345
proc_gyro:magnitude_spectrum:log_energy_band1,0.003908684484435337
location_quick_features:mean_abs_long_deriv,0.003876712287875105
proc_gyro:3d:mean_x,0.0029317128064226296
proc_gyro:magnitude_stats:value_entropy,0.002595129665347776
discrete:time_of_day:between3and9,0.002510661480641031
proc_gyro:magnitude_spectrum:log_energy_band2,0.0024072339915322187
raw_acc:magnitude_spectrum:log_energy_band1,0.0023638453160444955
proc_gyro:3d:mean_z,0.002318465632926518
discrete:battery_state:is_unplugged,0.0022106290716241645
raw_acc:magnitude_spectrum:log_energy_band3,0.002122376315611053
discrete:time_of_day:between21and3,0.0020261801890120116
discrete:time_of_day:between6and12,0.0019128917302039564
raw_acc:magnitude_stats:value_entropy,0.001901423889535837
proc_gyro:magnitude_spectrum:log_energy_band3,0.0018758503207362061
location_quick_features:lat_change,0.0017399009920414028
location_quick_features:long_change,0.001687322026240959
discrete:time_of_day:between0and6,0.0016834750236817619
discrete:battery_state:is_charging,0.0016422929891078816
raw_acc:3d:ro_yz,0.0015875201128553154
discrete:time_of_day:between15and21,0.0014720707771644548
raw_acc:magnitude_spectrum:spectral_entropy,0.0014485384744436273
raw_acc:magnitude_stats:moment3,0.001410026406961229
proc_gyro:3d:mean_y,0.0013859501726234886
raw_acc:magnitude_autocorrelation:period,0.0012110055832585617
raw_acc:magnitude_spectrum:log_energy_band0,0.001200328423839785
raw_acc:3d:ro_xz,0.0011794188619578096
proc_gyro:magnitude_spectrum:log_energy_band0,0.0009966104724415336
raw_acc:3d:ro_xy,0.0009478968148349105
raw_acc:magnitude_autocorrelation:normalized_ac,0.000936902751199517
proc_gyro:magnitude_autocorrelation:normalized_ac,0.0008653526254729652
discrete:battery_state:is_full,0.0008633255930672803
discrete:time_of_day:between12and18,0.0008554796914228298
discrete:time_of_day:between9and15,0.0006760082994421463
discrete:time_of_day:between18and24,0.0006648886096527351
proc_gyro:magnitude_autocorrelation:period,0.0005733212631075997
discrete:ringer_mode:is_silent_no_vibrate,0.0004182144760961292
discrete:battery_state:is_discharging,0.00028652326091294246
discrete:ringer_mode:is_normal,0.00018861938013350907
discrete:battery_plugged:missing,6.596469001235928e-05
discrete:on_the_phone:is_False,4.9262226718934686e-05
discrete:app_state:is_active,3.0312228082513217e-05
discrete:on_the_phone:is_True,1.9359041302264745e-05
discrete:app_state:is_inactive,6.6386876201183695e-06
discrete:ringer_mode:is_silent_with_vibrate,2.323960032044232e-06
discrete:battery_plugged:is_ac,1.1967526963006987e-06
discrete:on_the_phone:missing,0.0
discrete:battery_state:missing,0.0
discrete:battery_state:is_not_charging,0.0
discrete:battery_state:is_unknown,0.0
discrete:battery_plugged:is_wireless,0.0
discrete:battery_plugged:is_usb,0.0
discrete:wifi_status:missing,0.0
discrete:wifi_status:is_reachable_via_wwan,0.0
