feature,group,category,behavioural_candidate,explicit_missingness_flag,pooled_missing_frac,median_participant_missing_frac,n_participants_fully_missing,in_stage1_pool,in_stage1_valid_101,in_stage1_selected,in_primary_set,note
raw_acc:magnitude_stats:mean,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:std,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:moment3,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:moment4,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:percentile25,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:percentile50,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:percentile75,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:value_entropy,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_stats:time_entropy,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_spectrum:log_energy_band0,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_spectrum:log_energy_band1,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_spectrum:log_energy_band2,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_spectrum:log_energy_band3,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
