target_name,partition,mechanism,params_str,n_users,genuine_hours,false_locks,false_locks_per_hour_pooled,fr_frames,frr_time_pooled,X_fa_frames,X_impostor_frames,X_far_frame_pooled,M_fa_frames,M_impostor_frames,M_far_frame_pooled,X_ania_median__median,X_ania_median__ci_lo,X_ania_median__ci_hi,X_ania_median__mean,M_ania_median__median,M_ania_median__ci_lo,M_ania_median__ci_hi,M_ania_median__mean,X_first_lock_median__median,X_first_lock_median__ci_lo,X_first_lock_median__ci_hi,X_first_lock_median__mean,M_first_lock_median__median,M_first_lock_median__ci_lo,M_first_lock_median__ci_hi,M_first_lock_median__mean,X_recovery_median__median,X_recovery_median__ci_lo,X_recovery_median__ci_hi,X_recovery_median__mean,M_recovery_median__median,M_recovery_median__ci_lo,M_recovery_median__ci_hi,M_recovery_median__mean,X_miss_rate__median,X_miss_rate__ci_lo,X_miss_rate__ci_hi,X_miss_rate__mean,M_miss_rate__median,M_miss_rate__ci_lo,M_miss_rate__ci_hi,M_miss_rate__mean,X_far_frame__median,X_far_frame__ci_lo,X_far_frame__ci_hi,X_far_frame__mean,M_far_frame__median,M_far_frame__ci_lo,M_far_frame__ci_hi,M_far_frame__mean,frr_time__median,frr_time__ci_lo,frr_time__ci_hi,frr_time__mean,false_locks_per_hour__median,false_locks_per_hour__ci_lo,false_locks_per_hour__ci_hi,false_locks_per_hour__mean,transitions_per_hour__median,transitions_per_hour__ci_lo,transitions_per_hour__ci_hi,transitions_per_hour__mean,pingpong_per_hour__median,pingpong_per_hour__ci_lo,pingpong_per_hour__ci_hi,pingpong_per_hour__mean,lockout_mean_frames__median,lockout_mean_frames__ci_lo,lockout_mean_frames__ci_hi,lockout_mean_frames__mean
primary,test,threshold,theta=0.04311,33,714.1999999999999,168,0.2352282273872865,298,0.00695416783347335,6370,13596,0.4685201529861724,6117,13596,0.4499117387466902,1.5,0.5,3.0,3.212121212121212,2.0,1.0,3.0,3.409090909090909,0.0,0.0,1.0,1.7575757575757576,0.5,0.0,1.0,2.212121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.3125,0.3333333333333333,0.25,0.1875,0.375,0.3314393939393939,0.425,0.37395833333333334,0.5104166666666666,0.4546085858585859,0.43333333333333335,0.3875,0.5145833333333333,0.4777777777777778,0.0010799136069114472,0.0,0.003931847968545216,0.008857185074644036,0.06479481641468682,0.0,0.19801980198019803,0.2744056205142874,0.12958963282937364,0.0,0.39603960396039606,0.5470494369411892,0.06479481641468682,0.0,0.23166023166023167,0.4046099178368138,1.2666666666666666,1.0,1.34375,1.5799598427887904
primary,test,moving_average,"k=2, theta=0.09975",33,714.1999999999999,155,0.21702604312517504,472,0.011014655091944367,5740,13596,0.42218299499852896,5537,13596,0.40725213298028834,1.0,1.0,2.0,2.5,1.0,1.0,2.0,2.727272727272727,1.0,1.0,1.0,1.8333333333333333,1.0,1.0,1.5,2.1515151515151514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.3125,0.2518939393939394,0.1875,0.125,0.25,0.2481060606060606,0.45625,0.37916666666666665,0.475,0.4573863636363637,0.43020833333333336,0.4010416666666667,0.5,0.47067550505050504,0.0032397408207343412,0.0010395010395010396,0.006211180124223602,0.014506521805471177,0.09266409266409267,0.04633204633204634,0.15915119363395225,0.23633131069344743,0.18532818532818535,0.07164179104477611,0.3183023872679045,0.47266262138689485,0.08862629246676514,0.035820895522388055,0.15915119363395225,0.3014030064429878,1.71,1.5,3.0,4.063275462962963
primary,test,ewma,"alpha=0.7, theta=0.1091",33,714.1999999999999,167,0.23382805936712409,495,0.011551386166339961,5620,13596,0.41335686966754925,5461,13596,0.40166225360400115,1.5,1.0,2.5,2.6363636363636362,2.0,2.0,2.5,2.772727272727273,1.5,1.0,2.0,2.212121212121212,2.0,1.5,2.0,2.4696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.25,0.24431818181818182,0.1875,0.125,0.25,0.25757575757575757,0.4510416666666667,0.378125,0.48333333333333334,0.46038510101010105,0.459375,0.4083333333333333,0.528125,0.4821338383838384,0.002881844380403458,0.0,0.006211180124223602,0.015261138757916563,0.09266409266409267,0.03143006809848088,0.1744186046511628,0.2553748014420617,0.18532818532818535,0.06286013619696176,0.3145478374836173,0.508987798796738,0.08645533141210375,0.0,0.15727391874180865,0.3458108334762188,2.0,1.2222222222222223,2.454021739130345,4.044600135807273
primary,test,majority_vote,"k=3, theta=0.1091",33,714.1999999999999,134,0.18762251470176422,627,0.014631755810697283,5115,13596,0.3762135922330097,4880,13596,0.3589290967931745,1.0,1.0,1.5,2.090909090909091,1.0,1.0,2.0,2.3333333333333335,1.0,1.0,1.5,1.7878787878787878,1.0,1.0,1.5,2.1666666666666665,1.0,0.5,1.0,0.696969696969697,1.0,0.5,1.0,0.6666666666666666,0.1875,0.12343750000000053,0.1875,0.20075757575757575,0.125,0.125,0.25,0.20454545454545456,0.41770833333333335,0.3385416666666667,0.4395833333333333,0.4222853535353535,0.4,0.35,0.45,0.4346906565656566,0.005305039787798408,0.0029542097488921715,0.010484927916120577,0.01884849861622697,0.09367681498829039,0.050890585241730284,0.1729106628242075,0.20328216958768494,0.18735362997658078,0.09266409266409267,0.345821325648415,0.4048025350879844,0.08862629246676514,0.035820895522388055,0.1729106628242075,0.2127578845316714,3.0,2.0,5.0,5.270095238095239
primary,test,debounce,"T=2, theta=0.1545",33,714.1999999999999,148,0.2072248669840381,941,0.02195930178288061,4378,13596,0.3220064724919094,4165,13596,0.3063401000294204,1.0,1.0,1.0,1.6363636363636365,1.0,1.0,1.5,1.893939393939394,1.0,1.0,1.0,1.621212121212121,1.0,1.0,1.0,1.6363636363636365,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,0.8181818181818182,0.125,0.0625,0.1875,0.17613636363636365,0.125,0.0625,0.125,0.1571969696969697,0.3854166666666667,0.2989583333333333,0.4395833333333333,0.3804608585858586,0.35,0.315625,0.4041666666666667,0.38661616161616164,0.008645533141210375,0.003861003861003861,0.012376237623762377,0.025776129671768955,0.11627906976744186,0.07863695937090433,0.1729106628242075,0.21823042715218235,0.23255813953488372,0.15727391874180865,0.345821325648415,0.432004526318625,0.111731843575419,0.046838407494145196,0.15915119363395225,0.20384274984025638,4.083333333333333,3.0,6.0,6.103078922377168
primary,test,margin,"m=0.3, theta=0.1978",33,714.1999999999999,111,0.1554186502380286,710,0.016568654905255296,4534,13596,0.333480435422183,4508,13596,0.3315681082671374,0.0,0.0,1.0,1.6666666666666667,1.0,0.0,1.5,2.484848484848485,0.0,0.0,0.5,1.5454545454545454,0.5,0.0,1.0,2.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.1875,0.20454545454545456,0.125,0.125,0.25,0.23863636363636365,0.3125,0.26145833333333335,0.3614583333333333,0.34513888888888894,0.31354166666666666,0.259375,0.41875,0.37894570707070707,0.005763688760806916,0.0,0.007722007722007722,0.020038290937381523,0.08645533141210375,0.0,0.12958963282937364,0.15743192179965892,0.1729106628242075,0.0,0.25917926565874727,0.30864571152619263,0.046838407494145196,0.0,0.09355509355509355,0.14001263881472403,4.0,3.0,7.8,7.567115299070186
primary,test,hysteresis,"m=0.3, T=2, theta=0.3318",33,714.1999999999999,137,0.1918230187622515,1782,0.041584990198823855,3041,13596,0.22366872609591057,2849,13596,0.20954692556634305,1.0,1.0,1.0,1.4242424242424243,1.0,1.0,1.0,1.4848484848484849,1.0,1.0,1.0,1.393939393939394,1.0,1.0,1.0,1.4848484848484849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1515151515151516,0.125,0.0625,0.1875,0.14583333333333334,0.125,0.0625,0.125,0.12121212121212122,0.28125,0.225,0.365625,0.30410353535353535,0.26145833333333335,0.25625,0.346875,0.30694444444444446,0.01585014409221902,0.007957559681697613,0.03980099502487562,0.045039519478443805,0.138996138996139,0.07164179104477611,0.23217247097844113,0.1997657555601213,0.2387267904509284,0.14328358208955222,0.46434494195688225,0.3857237183589428,0.08645533141210375,0.046838407494145196,0.12024048096192386,0.10872463635293331,9.23076923076923,5.0,13.5,11.491001965366756
primary,test,trust,"r=0.5, tau=0.5, theta=0.4256",33,714.1999999999999,156,0.21842621114533747,2179,0.0508494352655652,2911,13596,0.21410709032068256,2674,13596,0.19667549279199764,2.0,2.0,2.5,2.303030303030303,2.0,2.0,2.0,2.272727272727273,2.0,2.0,2.5,2.287878787878788,2.0,2.0,2.0,2.257575757575758,1.0,1.0,1.0,1.196969696969697,1.0,1.0,1.0,2.1666666666666665,0.125,0.0625,0.1875,0.14583333333333334,0.125,0.125,0.1875,0.1553030303030303,0.346875,0.309375,0.40625,0.3557765151515152,0.3458333333333333,0.31145833333333334,0.38958333333333334,0.3656881313131313,0.018731988472622477,0.0064034151547491995,0.05693800084352594,0.05444772033949438,0.138996138996139,0.064034151547492,0.27635619242579323,0.22571864352417575,0.277992277992278,0.128068303094984,0.5527123848515865,0.44117937432949333,0.111731843575419,0.035820895522388055,0.22352315061202768,0.16906392675803356,7.354166666666666,5.8,15.75,13.221318922305766
primary,test,sprt,"alpha=0.001, beta=0.01336",33,714.1999999999999,122,0.1708204984598152,3212,0.07495566134602819,1863,13596,0.13702559576345985,1860,13596,0.13680494263018536,1.0,1.0,1.5,1.303030303030303,1.0,1.0,1.0,1.4393939393939394,1.0,1.0,1.5,1.303030303030303,1.0,1.0,1.5,1.4393939393939394,1.0,1.0,2.0,2.227272727272727,1.0,1.0,1.5,3.757575757575758,0.125,0.0625,0.125,0.11363636363636363,0.0625,0.0625,0.125,0.10416666666666667,0.20833333333333334,0.16979166666666667,0.25729166666666664,0.22752525252525252,0.196875,0.16666666666666666,0.26979166666666665,0.24002525252525253,0.02621231979030144,0.012355212355212355,0.08070757324488667,0.07790543125357312,0.15727391874180865,0.06896551724137931,0.21829521829521828,0.17331955274543445,0.3145478374836173,0.111731843575419,0.4054054054054054,0.32501426985667903,0.0,0.0,0.035820895522388055,0.03154853968209836,20.392857142857142,10.416666666666668,26.025,24.570585961657393
primary,test,hmm,"rho=0.0001, theta=0.7685",33,714.1999999999999,131,0.18342201064127697,2877,0.06713805656678802,2089,13596,0.15364813180347162,1976,13596,0.14533686378346572,1.0,1.0,2.0,1.5606060606060606,1.0,1.0,2.0,1.7272727272727273,1.0,1.0,1.5,1.5454545454545454,1.0,1.0,2.0,1.7121212121212122,2.0,2.0,2.0,2.984848484848485,2.0,2.0,2.0,4.621212121212121,0.125,0.0625,0.125,0.11553030303030302,0.125,0.0625,0.125,0.125,0.259375,0.20515625,0.275,0.26619318181818186,0.2604166666666667,0.22291666666666665,0.284375,0.28121843434343435,0.020969855832241154,0.012355212355212355,0.07660455486542443,0.06986587119880235,0.12409513960703206,0.064034151547492,0.25936599423631124,0.18434684376740418,0.223463687150838,0.128068303094984,0.5187319884726225,0.35201596754491676,0.07957559681697612,0.0,0.12024048096192386,0.08979054176066077,15.1,9.25,19.05,21.722774943310657
