mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
threshold,M,3,132,2.0,0.48484848484848486,0.5025252525252525,0.0
threshold,M,10,132,5.5,0.3939393939393939,0.5204545454545455,0.0
threshold,M,30,132,2.5,0.25757575757575757,0.4553030303030303,0.0
threshold,M,60,132,3.0,0.1893939393939394,0.43282828282828284,0.0
threshold,X,3,132,2.0,0.4318181818181818,0.452020202020202,0.0
threshold,X,10,132,2.0,0.3409090909090909,0.425,0.0
threshold,X,30,132,1.0,0.30303030303030304,0.46111111111111114,0.0
threshold,X,60,132,3.0,0.25757575757575757,0.4803030303030303,0.0
moving_average,M,3,132,1.0,0.36363636363636365,0.5782828282828283,0.0
moving_average,M,10,132,4.0,0.3181818181818182,0.5174242424242425,0.0
moving_average,M,30,132,1.0,0.16666666666666666,0.40606060606060607,0.0
moving_average,M,60,132,1.0,0.14393939393939395,0.3809343434343434,0.0
moving_average,X,3,132,1.0,0.4015151515151515,0.5909090909090909,0.0
moving_average,X,10,132,1.0,0.25757575757575757,0.4015151515151515,0.0
moving_average,X,30,132,1.0,0.1893939393939394,0.41767676767676765,0.0
moving_average,X,60,132,2.0,0.1590909090909091,0.41944444444444445,0.0
ewma,M,3,132,2.0,0.3939393939393939,0.6414141414141414,0.0
ewma,M,10,132,4.0,0.3181818181818182,0.5166666666666667,0.0
ewma,M,30,132,2.0,0.17424242424242425,0.3982323232323232,0.0
ewma,M,60,132,2.0,0.14393939393939395,0.37222222222222223,0.0
ewma,X,3,132,2.0,0.3787878787878788,0.6262626262626263,0.0
ewma,X,10,132,1.0,0.25,0.4022727272727273,0.0
ewma,X,30,132,2.0,0.18181818181818182,0.4035353535353535,0.0
ewma,X,60,132,2.0,0.16666666666666666,0.40946969696969693,0.0
majority_vote,M,3,132,1.0,0.36363636363636365,0.5858585858585859,1.0
majority_vote,M,10,132,2.0,0.23484848484848486,0.46893939393939393,1.0
majority_vote,M,30,132,1.0,0.11363636363636363,0.3505050505050505,1.0
majority_vote,M,60,132,1.0,0.10606060606060606,0.33345959595959596,1.0
majority_vote,X,3,132,1.0,0.3560606060606061,0.5833333333333334,1.0
majority_vote,X,10,132,1.0,0.1893939393939394,0.36818181818181817,1.0
majority_vote,X,30,132,1.0,0.12878787878787878,0.36464646464646466,1.0
majority_vote,X,60,132,1.0,0.12878787878787878,0.3729797979797979,1.0
debounce,M,3,132,1.0,0.3106060606060606,0.5479797979797979,1.0
debounce,M,10,132,1.0,0.1893939393939394,0.425,1.0
debounce,M,30,132,1.0,0.05303030303030303,0.29166666666666663,1.0
debounce,M,60,132,1.0,0.07575757575757576,0.2818181818181818,1.0
debounce,X,3,132,1.0,0.3409090909090909,0.5631313131313131,1.0
debounce,X,10,132,1.0,0.16666666666666666,0.3356060606060606,1.0
debounce,X,30,132,1.0,0.09848484848484848,0.30883838383838386,1.0
debounce,X,60,132,1.0,0.09848484848484848,0.3142676767676767,1.0
margin,M,3,132,1.0,0.4015151515151515,0.45454545454545453,0.0
margin,M,10,132,2.0,0.29545454545454547,0.42045454545454547,0.0
margin,M,30,132,0.0,0.13636363636363635,0.3287878787878788,0.0
margin,M,60,132,0.0,0.12121212121212122,0.3119949494949495,0.0
margin,X,3,132,0.0,0.3560606060606061,0.4090909090909091,0.0
margin,X,10,132,0.0,0.18181818181818182,0.30606060606060603,0.0
margin,X,30,132,0.0,0.14393939393939395,0.3287878787878788,0.0
margin,X,60,132,0.0,0.13636363636363635,0.3366161616161616,0.0
hysteresis,M,3,132,1.0,0.2803030303030303,0.5151515151515151,1.0
hysteresis,M,10,132,1.0,0.12878787878787878,0.34318181818181814,1.0
hysteresis,M,30,132,1.0,0.045454545454545456,0.18535353535353533,1.0
hysteresis,M,60,132,1.0,0.030303030303030304,0.18409090909090906,1.0
hysteresis,X,3,132,1.0,0.3106060606060606,0.5252525252525252,1.0
hysteresis,X,10,132,1.0,0.13636363636363635,0.2765151515151515,1.0
hysteresis,X,30,132,1.0,0.06060606060606061,0.20606060606060603,1.0
hysteresis,X,60,132,1.0,0.07575757575757576,0.20858585858585854,1.0
trust,M,3,132,2.0,0.3787878787878788,0.73989898989899,0.0
trust,M,10,132,2.0,0.1893939393939394,0.40378787878787875,1.0
trust,M,30,132,2.0,0.03787878787878788,0.17146464646464643,1.0
trust,M,60,132,2.0,0.015151515151515152,0.1476010101010101,1.0
trust,X,3,132,2.0,0.3560606060606061,0.7222222222222222,0.0
trust,X,10,132,2.0,0.12121212121212122,0.325,1.0
trust,X,30,132,2.0,0.05303030303030303,0.1972222222222222,1.0
trust,X,60,132,2.0,0.05303030303030303,0.17866161616161616,1.0
