Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.065 [0.000, 0.198]",0.235,168,"0.130 [0.000, 0.396]","0.065 [0.000, 0.232]","1.27 [1.00, 1.34]"
Moving avg,"0.093 [0.046, 0.159]",0.217,155,"0.185 [0.072, 0.318]","0.089 [0.036, 0.159]","1.71 [1.50, 3.00]"
EWMA,"0.093 [0.031, 0.174]",0.234,167,"0.185 [0.063, 0.315]","0.086 [0.000, 0.157]","2.00 [1.22, 2.45]"
Majority vote,"0.094 [0.051, 0.173]",0.188,134,"0.187 [0.093, 0.346]","0.089 [0.036, 0.173]","3.00 [2.00, 5.00]"
Debounce,"0.116 [0.079, 0.173]",0.207,148,"0.233 [0.157, 0.346]","0.112 [0.047, 0.159]","4.08 [3.00, 6.00]"
Margin,"0.086 [0.000, 0.130]",0.155,111,"0.173 [0.000, 0.259]","0.047 [0.000, 0.094]","4.00 [3.00, 7.80]"
Hysteresis,"0.139 [0.072, 0.232]",0.192,137,"0.239 [0.143, 0.464]","0.086 [0.047, 0.120]","9.23 [5.00, 13.50]"
Trust,"0.139 [0.064, 0.276]",0.218,156,"0.278 [0.128, 0.553]","0.112 [0.036, 0.224]","7.35 [5.80, 15.75]"
SPRT,"0.157 [0.069, 0.218]",0.171,122,"0.315 [0.112, 0.405]","0.000 [0.000, 0.036]","20.39 [10.42, 26.02]"
HMM (supp.),"0.124 [0.064, 0.259]",0.183,131,"0.223 [0.128, 0.519]","0.080 [0.000, 0.120]","15.10 [9.25, 19.05]"
