Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.437 [0.256, 0.862]",0.727,519,"0.873 [0.512, 1.725]","0.519 [0.320, 0.995]","1.39 [1.21, 1.66]"
Moving avg,"0.395 [0.310, 0.784]",0.608,434,"0.790 [0.621, 1.242]","0.494 [0.312, 0.807]","3.51 [2.54, 4.43]"
EWMA,"0.312 [0.236, 0.645]",0.601,429,"0.624 [0.472, 1.290]","0.301 [0.249, 0.768]","3.23 [2.33, 4.51]"
Majority vote,"0.443 [0.283, 0.807]",0.603,431,"0.886 [0.566, 1.468]","0.394 [0.247, 0.798]","4.05 [3.13, 5.09]"
Debounce,"0.463 [0.343, 0.607]",0.573,409,"0.927 [0.655, 1.366]","0.417 [0.247, 0.605]","5.00 [4.61, 6.68]"
Margin,"0.451 [0.315, 0.737]",0.637,455,"0.864 [0.583, 1.474]","0.430 [0.281, 0.661]","3.08 [2.67, 4.00]"
Hysteresis,"0.519 [0.372, 0.723]",0.531,379,"0.958 [0.699, 1.198]","0.157 [0.094, 0.187]","23.08 [20.75, 31.40]"
Trust,"0.495 [0.355, 0.593]",0.553,395,"0.932 [0.709, 1.086]","0.192 [0.175, 0.360]","24.64 [20.00, 33.28]"
SPRT,"0.526 [0.367, 0.648]",0.575,411,"1.014 [0.834, 1.279]","0.311 [0.198, 0.407]","8.43 [6.00, 10.67]"
HMM (supp.),"0.466 [0.346, 0.594]",0.529,378,"0.919 [0.691, 1.188]","0.294 [0.248, 0.430]","8.57 [6.12, 14.41]"
