family,outcome,comparison,n_users,median_a,median_b,median_diff,ci_lo,ci_hi,p_value,p_holm,rank_biserial,significant
primary,ania,hysteresis - margin (best smoother on validation),33,1.0,1.0,0.5,-0.5,1.0,0.9210312291520868,0.9210312291520868,0.0206896551724137,False
primary_secondary_outcomes,first_lock,hysteresis - margin (best smoother on validation),33,1.0,0.5,1.0,0.5,1.0,0.1669819311817981,0.3339638623635963,0.2727272727272727,False
primary_secondary_outcomes,recovery,hysteresis - margin (best smoother on validation),33,1.0,0.0,1.0,1.0,1.0,3.649469992194381e-08,3.284522992974943e-07,1.0,True
primary_secondary_outcomes,miss_rate,hysteresis - margin (best smoother on validation),33,0.125,0.125,-0.0625,-0.125,0.0,4.701795034744507e-05,0.0003291256524321,-0.9565217391304348,True
primary_secondary_outcomes,far_frame,hysteresis - margin (best smoother on validation),33,0.2614583333333333,0.3135416666666666,-0.0333333333333334,-0.0895833333333333,-1.1102230246251563e-16,0.0053126788512542,0.0265633942562711,-0.5561497326203209,True
primary_secondary_outcomes,frr_time,hysteresis - margin (best smoother on validation),33,0.015850144092219,0.0057636887608069,0.0093071354705274,0.0018785222291797,0.0271238485158649,6.28108477823397e-06,5.024867822587176e-05,0.9947089947089948,True
primary_secondary_outcomes,false_locks_per_hour,hysteresis - margin (best smoother on validation),33,0.138996138996139,0.0864553314121037,0.0,0.0,0.0663349917081261,0.0308528249000229,0.1234112996000916,0.525691699604743,False
primary_secondary_outcomes,transitions_per_hour,hysteresis - margin (best smoother on validation),33,0.2387267904509284,0.1729106628242075,0.0,0.0,0.132669983416252,0.0515878672068124,0.1547636016204374,0.463768115942029,False
primary_secondary_outcomes,pingpong_per_hour,hysteresis - margin (best smoother on validation),33,0.0864553314121037,0.0468384074941451,0.0,-0.0319318786588611,0.0,0.6148113070366257,0.6148113070366257,-0.1225296442687747,False
primary_secondary_outcomes,lockout_mean_frames,hysteresis - margin (best smoother on validation),20,10.88157894736842,4.421052631578947,4.881578947368421,2.0625,7.642857142857143,0.0002535338782141,0.0015212032692849,0.9824561403508772,True
H3_component_ablation,ania,hysteresis - margin,33,1.0,1.0,0.5,-0.5,1.0,0.9210312291520868,0.9210312291520868,0.0206896551724137,False
H3_component_ablation,ania,hysteresis - debounce,33,1.0,1.0,0.0,0.0,0.0,0.0070583320485281,0.0141166640970562,-1.0,True
H4_context_matching,ania,threshold: M - X,33,2.0,1.5,0.0,0.0,1.0,0.7027917252656015,1.0,0.0854700854700854,False
H4_context_matching,ania,moving_average: M - X,33,1.0,1.0,0.0,0.0,0.0,0.8807657709438778,1.0,0.0380952380952381,False
H4_context_matching,ania,ewma: M - X,33,2.0,1.5,0.0,0.0,0.5,0.5561267212834601,1.0,0.1366666666666666,False
H4_context_matching,ania,majority_vote: M - X,33,1.0,1.0,0.0,0.0,0.0,0.3519483633592936,1.0,0.2549019607843137,False
H4_context_matching,ania,debounce: M - X,33,1.0,1.0,0.0,0.0,0.0,0.5680928388027523,1.0,0.1568627450980392,False
H4_context_matching,ania,margin: M - X,33,1.0,0.0,0.0,0.0,1.0,0.0582391704228143,0.5241525338053294,0.458498023715415,False
H4_context_matching,ania,hysteresis: M - X,33,1.0,1.0,0.0,0.0,0.0,0.9643827585686132,1.0,-0.0151515151515151,False
H4_context_matching,ania,trust: M - X,33,2.0,2.0,0.0,0.0,0.0,0.7386338425288796,1.0,0.087719298245614,False
H4_context_matching,ania,sprt: M - X,33,1.0,1.0,0.0,0.0,0.5,0.3838714138434984,1.0,0.2094861660079051,False
