target_name,outcome,mechanism,avg_rank,n_users,nemenyi_cd,friedman_p
primary,ania,threshold,6.8125,8,4.247219188075149,0.00020617713674007306
primary,ania,moving_average,5.5,8,4.247219188075149,0.00020617713674007306
primary,ania,ewma,6.4375,8,4.247219188075149,0.00020617713674007306
primary,ania,majority_vote,5.375,8,4.247219188075149,0.00020617713674007306
primary,ania,debounce,5.125,8,4.247219188075149,0.00020617713674007306
primary,ania,margin,3.5,8,4.247219188075149,0.00020617713674007306
primary,ania,hysteresis,4.0625,8,4.247219188075149,0.00020617713674007306
primary,ania,trust,6.6875,8,4.247219188075149,0.00020617713674007306
primary,ania,sprt,1.5,8,4.247219188075149,0.00020617713674007306
primary,first_lock,threshold,3.25,8,4.247219188075149,0.00014575260853869683
primary,first_lock,moving_average,5.625,8,4.247219188075149,0.00014575260853869683
primary,first_lock,ewma,6.625,8,4.247219188075149,0.00014575260853869683
primary,first_lock,majority_vote,6.0,8,4.247219188075149,0.00014575260853869683
primary,first_lock,debounce,6.0,8,4.247219188075149,0.00014575260853869683
primary,first_lock,margin,3.25,8,4.247219188075149,0.00014575260853869683
primary,first_lock,hysteresis,5.0,8,4.247219188075149,0.00014575260853869683
primary,first_lock,trust,7.125,8,4.247219188075149,0.00014575260853869683
primary,first_lock,sprt,2.125,8,4.247219188075149,0.00014575260853869683
primary,recovery,threshold,2.8125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,moving_average,2.8125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,ewma,2.8125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,majority_vote,6.3125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,debounce,6.3125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,margin,2.8125,8,4.247219188075149,7.552252423115517e-08
primary,recovery,hysteresis,7.0625,8,4.247219188075149,7.552252423115517e-08
primary,recovery,trust,7.75,8,4.247219188075149,7.552252423115517e-08
primary,recovery,sprt,6.3125,8,4.247219188075149,7.552252423115517e-08
primary,miss_rate,threshold,7.9375,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,moving_average,5.75,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,ewma,5.8125,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,majority_vote,5.0625,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,debounce,4.5625,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,margin,5.8125,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,hysteresis,3.0,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,trust,4.0625,8,4.247219188075149,2.8118222030318533e-05
primary,miss_rate,sprt,3.0,8,4.247219188075149,2.8118222030318533e-05
primary,far_frame,threshold,7.375,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,moving_average,7.125,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,ewma,7.625,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,majority_vote,5.75,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,debounce,4.375,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,margin,3.75,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,hysteresis,2.5,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,trust,5.125,8,4.247219188075149,1.5148074903933176e-06
primary,far_frame,sprt,1.375,8,4.247219188075149,1.5148074903933176e-06
primary,frr_time,threshold,2.0,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,moving_average,2.75,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,ewma,3.4375,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,majority_vote,5.0,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,debounce,5.0625,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,margin,4.25,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,hysteresis,6.9375,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,trust,6.6875,8,4.247219188075149,8.389562129921714e-08
primary,frr_time,sprt,8.875,8,4.247219188075149,8.389562129921714e-08
primary,false_locks_per_hour,threshold,4.5625,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,moving_average,5.25,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,ewma,6.1875,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,majority_vote,5.3125,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,debounce,4.0,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,margin,3.0,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,hysteresis,5.5625,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,trust,5.125,8,4.247219188075149,0.19884485124630538
primary,false_locks_per_hour,sprt,6.0,8,4.247219188075149,0.19884485124630538
primary,transitions_per_hour,threshold,4.5625,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,moving_average,5.25,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,ewma,6.1875,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,majority_vote,5.4375,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,debounce,4.0,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,margin,3.0,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,hysteresis,5.5,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,trust,5.125,8,4.247219188075149,0.20864120249642445
primary,transitions_per_hour,sprt,5.9375,8,4.247219188075149,0.20864120249642445
primary,pingpong_per_hour,threshold,5.5625,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,moving_average,5.9375,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,ewma,6.625,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,majority_vote,5.6875,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,debounce,4.4375,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,margin,3.9375,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,hysteresis,4.5,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,trust,4.625,8,4.247219188075149,0.12912457212706388
primary,pingpong_per_hour,sprt,3.6875,8,4.247219188075149,0.12912457212706388
primary,lockout_mean_frames,threshold,1.0,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,moving_average,2.7,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,ewma,2.3,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,majority_vote,4.7,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,debounce,5.1,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,margin,5.7,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,hysteresis,6.9,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,trust,8.0,5,5.372354542515409,1.068704986452475e-05
primary,lockout_mean_frames,sprt,8.6,5,5.372354542515409,1.068704986452475e-05
sensitivity_1,ania,threshold,4.625,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,moving_average,7.25,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,ewma,5.625,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,majority_vote,6.875,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,debounce,6.125,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,margin,3.3125,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,hysteresis,4.75,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,trust,4.125,8,4.247219188075149,0.00042198074263731115
sensitivity_1,ania,sprt,2.3125,8,4.247219188075149,0.00042198074263731115
sensitivity_1,first_lock,threshold,3.75,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,moving_average,7.5625,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,ewma,5.8125,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,majority_vote,6.8125,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,debounce,6.5,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,margin,2.625,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,hysteresis,5.125,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,trust,4.375,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,first_lock,sprt,2.4375,8,4.247219188075149,2.251484687578549e-05
sensitivity_1,recovery,threshold,1.75,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,moving_average,4.5,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,ewma,8.625,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,majority_vote,4.5625,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,debounce,4.875,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,margin,2.0,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,hysteresis,7.0625,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,trust,7.75,8,4.247219188075149,7.725519810407e-09
sensitivity_1,recovery,sprt,3.875,8,4.247219188075149,7.725519810407e-09
sensitivity_1,miss_rate,threshold,7.625,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,moving_average,4.8125,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,ewma,4.25,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,majority_vote,5.25,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,debounce,5.25,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,margin,5.8125,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,hysteresis,3.3125,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,trust,4.25,8,4.247219188075149,0.00030226798564346664
sensitivity_1,miss_rate,sprt,4.4375,8,4.247219188075149,0.00030226798564346664
sensitivity_1,far_frame,threshold,7.625,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,moving_average,7.125,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,ewma,4.5,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,majority_vote,7.4375,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,debounce,6.1875,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,margin,4.3125,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,hysteresis,2.375,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,trust,3.0,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,far_frame,sprt,2.4375,8,4.247219188075149,3.999428083546412e-06
sensitivity_1,frr_time,threshold,1.0,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,moving_average,2.9375,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,ewma,7.875,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,majority_vote,3.6875,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,debounce,4.9375,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,margin,2.4375,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,hysteresis,8.4375,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,trust,7.6875,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,frr_time,sprt,6.0,8,4.247219188075149,3.2003129712112824e-10
sensitivity_1,false_locks_per_hour,threshold,5.9375,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,moving_average,5.5625,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,ewma,5.0,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,majority_vote,6.0625,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,debounce,4.25,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,margin,5.125,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,hysteresis,3.5625,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,trust,4.25,8,4.247219188075149,0.6033148697339935
sensitivity_1,false_locks_per_hour,sprt,5.25,8,4.247219188075149,0.6033148697339935
sensitivity_1,transitions_per_hour,threshold,5.9375,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,moving_average,5.5625,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,ewma,4.9375,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,majority_vote,6.0625,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,debounce,4.3125,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,margin,5.25,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,hysteresis,3.4375,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,trust,4.25,8,4.247219188075149,0.5617234073435089
sensitivity_1,transitions_per_hour,sprt,5.25,8,4.247219188075149,0.5617234073435089
sensitivity_1,pingpong_per_hour,threshold,6.8125,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,moving_average,6.1875,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,ewma,4.25,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,majority_vote,6.625,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,debounce,4.9375,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,margin,6.0,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,hysteresis,1.625,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,trust,3.5,8,4.247219188075149,0.001752017667652904
sensitivity_1,pingpong_per_hour,sprt,5.0625,8,4.247219188075149,0.001752017667652904
sensitivity_1,lockout_mean_frames,threshold,1.625,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,moving_average,3.375,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,ewma,6.875,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,majority_vote,3.3125,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,debounce,5.0625,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,margin,3.5,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,hysteresis,8.4375,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,trust,7.1875,8,4.247219188075149,1.1098267908752878e-06
sensitivity_1,lockout_mean_frames,sprt,5.625,8,4.247219188075149,1.1098267908752878e-06
sensitivity_2,ania,threshold,6.0625,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,moving_average,4.9375,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,ewma,5.5,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,majority_vote,3.5625,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,debounce,3.75,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,margin,2.4375,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,hysteresis,3.6875,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,trust,8.5625,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,ania,sprt,6.5,8,4.247219188075149,6.72157666973649e-05
sensitivity_2,first_lock,threshold,3.375,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,moving_average,3.625,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,ewma,5.8125,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,majority_vote,4.25,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,debounce,4.125,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,margin,3.25,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,hysteresis,4.6875,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,trust,8.75,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,first_lock,sprt,7.125,8,4.247219188075149,2.882579861920737e-05
sensitivity_2,recovery,threshold,3.5,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,moving_average,3.5,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,ewma,3.5,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,majority_vote,5.625,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,debounce,6.0625,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,margin,3.5,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,hysteresis,6.6875,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,trust,3.8125,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,recovery,sprt,8.8125,8,4.247219188075149,5.600209894455292e-08
sensitivity_2,miss_rate,threshold,7.25,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,moving_average,6.0,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,ewma,5.25,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,majority_vote,3.6875,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,debounce,4.1875,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,margin,4.0,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,hysteresis,3.4375,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,trust,6.1875,8,4.247219188075149,0.01850440201601254
sensitivity_2,miss_rate,sprt,5.0,8,4.247219188075149,0.01850440201601254
sensitivity_2,far_frame,threshold,6.4375,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,moving_average,6.5,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,ewma,7.6875,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,majority_vote,4.375,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,debounce,4.25,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,margin,2.875,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,hysteresis,1.75,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,trust,7.25,8,4.247219188075149,1.6166842428768993e-05
sensitivity_2,far_frame,sprt,3.875,8,4.247219188075149,1.6166842428768993e-05
