target_name,target_false_locks_per_hour,tolerance,selection_condition,mechanism,cell_id,params,sweep_name,sweep_value,params_str,in_band,n_in_band_cells,n_rate_band_cells,n_excluded_absorbing,max_lockout_frames,val_lockout_mean_frames,val_frr_time,n_cells,val_false_locks_per_hour,val_ania_median,val_far_frame,val_miss_rate,val_transitions_per_hour,best_smoother
primary,0.125,0.15,M,threshold,threshold|0|40,{},theta,0.0474258731775667,theta=0.04743,True,2,2,0,30.0,1.0869565217391304,0.0024243599689681,141,0.1338246702870442,0.0,0.3813802083333333,0.25,0.2676493405740884,margin
primary,0.125,0.15,M,moving_average,moving_average|0|49,"{""k"": 2}",theta,0.1090968211956129,"k=2, theta=0.1091",True,7,7,0,30.0,1.875,0.0043638479441427,705,0.1396431342125678,1.0,0.405078125,0.1640625,0.2792862684251357,margin
primary,0.125,0.15,M,ewma,ewma|5|50,"{""alpha"": 0.7}",theta,0.1192029220221175,"alpha=0.7, theta=0.1192",True,16,16,0,30.0,1.9545454545454544,0.0041698991466252,846,0.1280062063615205,1.0,0.4125,0.15625,0.2560124127230411,margin
primary,0.125,0.15,M,majority_vote,majority_vote|0|50,"{""k"": 3}",theta,0.1192029220221175,"k=3, theta=0.1192",True,10,10,0,30.0,2.6956521739130435,0.0060124127230411,564,0.1338246702870442,1.0,0.3662760416666666,0.125,0.2676493405740884,margin
primary,0.125,0.15,M,debounce,debounce|0|52,"{""T"": 2}",theta,0.1418510649004878,"T=2, theta=0.1419",True,8,9,1,30.0,4.0,0.0093095422808378,564,0.1396431342125678,1.0,0.3516927083333333,0.1328125,0.2792862684251357,margin
primary,0.125,0.15,M,margin,margin|3|56,"{""m"": 0.3}",theta,0.1978161114414183,"m=0.3, theta=0.1978",True,4,181,177,30.0,3.421052631578948,0.0063033359193173,564,0.1105508145849495,0.0,0.2809895833333333,0.15625,0.2211016291698991,margin
primary,0.125,0.15,M,hysteresis,hysteresis|12|63,"{""T"": 2, ""m"": 0.3}",theta,0.331812227831834,"m=0.3, T=2, theta=0.3318",True,33,553,520,30.0,11.08695652173913,0.0247284716834755,2256,0.1338246702870442,1.0,0.2799479166666667,0.1015625,0.2676493405740884,margin
primary,0.125,0.15,M,trust,trust|11|67,"{""r"": 0.5, ""tau"": 0.5}",theta,0.4255574831883411,"r=0.5, tau=0.5, theta=0.4256",True,13,268,255,30.0,11.304347826086955,0.0252133436772692,1692,0.1338246702870442,2.0,0.3446614583333333,0.1015625,0.2676493405740884,margin
primary,0.125,0.15,M,sprt,sprt|2|46,"{""alpha"": 0.05}",beta,0.0098990432181464,"alpha=0.05, beta=0.009899",True,41,41,0,30.0,12.833333333333334,0.0298681148176881,300,0.1396431342125678,0.0,0.143359375,0.046875,0.2792862684251357,margin
primary,0.125,0.15,M,hmm,hmm|0|98,"{""rho"": 0.0001}",theta,0.9426758241011312,"rho=0.0001, theta=0.9427",True,101,102,1,30.0,14.666666666666666,0.0341349883630721,705,0.1396431342125678,1.0,0.2149739583333333,0.046875,0.2792862684251357,margin
sensitivity_1,0.5,0.15,M,threshold,threshold|0|51,{},theta,0.1301084743629979,theta=0.1301,True,3,3,0,30.0,1.449438202247191,0.0125096974398758,141,0.5178432893716058,0.0,0.2690104166666667,0.125,1.0356865787432117,margin
sensitivity_1,0.5,0.15,M,moving_average,moving_average|1|65,"{""k"": 3}",theta,0.3775406687981454,"k=3, theta=0.3775",True,16,45,29,30.0,3.978260869565217,0.0354926299456943,705,0.5352986811481768,1.0,0.2287760416666666,0.0234375,1.06477889837083,margin
sensitivity_1,0.5,0.15,M,ewma,ewma|1|83,"{""alpha"": 0.1}",theta,0.7858349830425586,"alpha=0.1, theta=0.7858",True,17,54,37,30.0,23.989795918367346,0.2279868114817688,846,0.5702094647013188,1.0,0.1567708333333333,0.0390625,1.117145073700543,margin
sensitivity_1,0.5,0.15,M,majority_vote,majority_vote|0|64,"{""k"": 3}",theta,0.3543436937742046,"k=3, theta=0.3543",True,20,27,7,30.0,4.326530612244898,0.0411171450737005,564,0.5702094647013188,1.0,0.2354166666666666,0.0390625,1.1287820015515904,margin
sensitivity_1,0.5,0.15,M,debounce,debounce|0|66,"{""T"": 2}",theta,0.4013123398875481,"T=2, theta=0.4013",True,7,36,29,30.0,5.11578947368421,0.0471295577967416,564,0.5527540729247479,1.0,0.226171875,0.046875,1.0938712179984484,margin
sensitivity_1,0.5,0.15,M,margin,margin|3|62,"{""m"": 0.3}",theta,0.3100255188723876,"m=0.3, theta=0.31",True,9,9,0,30.0,3.744444444444445,0.0326803723816912,564,0.5236617532971295,0.0,0.1658854166666666,0.0546875,1.047323506594259,margin
sensitivity_1,0.5,0.15,M,hysteresis,hysteresis|12|85,"{""T"": 2, ""m"": 0.3}",theta,0.8175744761936437,"m=0.3, T=2, theta=0.8176",True,35,49,14,30.0,28.959183673469383,0.2752133436772692,2256,0.5702094647013188,1.0,0.1088541666666666,0.0078125,1.0938712179984484,margin
sensitivity_1,0.5,0.15,M,trust,trust|11|83,"{""r"": 0.5, ""tau"": 0.5}",theta,0.7858349830425586,"r=0.5, tau=0.5, theta=0.7858",True,25,49,24,30.0,29.584415584415584,0.2209076803723817,1692,0.4480217222653219,1.0,0.1138020833333333,0.015625,0.8669511249030256,margin
sensitivity_1,0.5,0.15,M,sprt,sprt|2|58,"{""alpha"": 0.05}",beta,0.3627947693701998,"alpha=0.05, beta=0.3628",True,8,8,0,30.0,7.020618556701031,0.0660395655546935,300,0.5643910007757952,0.0,0.087890625,0.0234375,1.117145073700543,margin
sensitivity_1,0.5,0.15,M,hmm,hmm|0|139,"{""rho"": 0.0001}",theta,0.9989932291799144,"rho=0.0001, theta=0.999",True,41,41,0,30.0,8.01086956521739,0.0714701318851823,705,0.5352986811481768,0.0,0.08515625,0.0234375,1.06477889837083,margin
sensitivity_2,0.0416667,0.15,M,threshold,threshold|0|34,{},theta,0.0265969935768658,theta=0.0266,True,2,2,0,30.0,1.0,0.0007757951900698,141,0.0465477114041892,1.5,0.4583333333333333,0.3515625,0.0930954228083785,margin
sensitivity_2,0.0416667,0.15,M,moving_average,moving_average|0|41,"{""k"": 2}",theta,0.0521535630784177,"k=2, theta=0.05215",True,6,6,0,30.0,1.25,0.0009697439875872,705,0.0465477114041892,1.0,0.4786458333333333,0.265625,0.0930954228083785,margin
sensitivity_2,0.0416667,0.15,M,ewma,ewma|5|44,"{""alpha"": 0.7}",theta,0.0691384203433468,"alpha=0.7, theta=0.06914",True,4,4,0,30.0,1.625,0.0012606671838634,846,0.0465477114041892,2.0,0.5385416666666667,0.25,0.0930954228083785,margin
sensitivity_2,0.0416667,0.15,M,majority_vote,majority_vote|0|43,"{""k"": 3}",theta,0.0629733560569964,"k=3, theta=0.06297",True,6,6,0,30.0,2.375,0.0018425135764158,564,0.0465477114041892,1.0,0.4287760416666667,0.1640625,0.0930954228083785,margin
sensitivity_2,0.0416667,0.15,M,debounce,debounce|0|44,"{""T"": 2}",theta,0.0691384203433468,"T=2, theta=0.06914",True,9,14,5,30.0,2.857142857142857,0.0019394879751745,564,0.0407292474786656,1.0,0.4240885416666666,0.1875,0.0814584949573312,margin
sensitivity_2,0.0416667,0.15,M,margin,margin|2|51,"{""m"": 0.2}",theta,0.1301084743629979,"m=0.2, theta=0.1301",True,3,3,0,30.0,2.875,0.0022304111714507,564,0.0465477114041892,0.0,0.3583333333333333,0.21875,0.0930954228083785,margin
