target_name,mechanism,params_str,partition,genuine_uuid,run,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks
primary,threshold,theta=0.04743,test,11B5EC4D-4133-4289-B475-4E737182A406,7,1407,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,11B5EC4D-4133-4289-B475-4E737182A406,8,333,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,30,406,1,1,2,1,1,1
primary,threshold,theta=0.04743,test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,31,875,8,8,16,61,12,5
primary,threshold,theta=0.04743,test,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9,1394,16,16,32,20,19,16
primary,threshold,theta=0.04743,test,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,10,485,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,B09E373F-8A54-44C8-895B-0039390B859F,11,566,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,B09E373F-8A54-44C8-895B-0039390B859F,12,833,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,B09E373F-8A54-44C8-895B-0039390B859F,14,198,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,34,134,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,35,109,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,36,169,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,37,133,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,38,307,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,39,85,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,14,121,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,15,826,3,3,6,3,3,3
primary,threshold,theta=0.04743,test,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,16,265,1,1,2,1,1,1
primary,threshold,theta=0.04743,test,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,5,657,21,21,42,32,36,20
primary,threshold,theta=0.04743,test,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,20,966,1,1,2,1,1,1
primary,moving_average,"k=2, theta=0.1091",test,11B5EC4D-4133-4289-B475-4E737182A406,7,1407,0,0,0,0,0,0
primary,moving_average,"k=2, theta=0.1091",test,11B5EC4D-4133-4289-B475-4E737182A406,8,333,0,0,0,0,0,0
primary,moving_average,"k=2, theta=0.1091",test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,30,406,1,1,2,1,1,1
primary,moving_average,"k=2, theta=0.1091",test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,31,875,1,1,2,74,0,0
primary,moving_average,"k=2, theta=0.1091",test,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9,1394,25,25,50,55,36,25
