mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
threshold,M,3,32,2.0,0.4375,0.4375,0.0
threshold,M,10,32,5.0,0.34375,0.4875,0.0
threshold,M,30,32,0.0,0.125,0.32708333333333334,0.0
threshold,M,60,32,3.0,0.21875,0.5005208333333333,0.0
threshold,X,3,32,0.0,0.25,0.32291666666666663,0.0
threshold,X,10,32,3.5,0.3125,0.40625,0.0
threshold,X,30,32,0.0,0.21875,0.434375,0.0
threshold,X,60,32,0.0,0.21875,0.4083333333333333,0.0
moving_average,M,3,32,1.0,0.21875,0.5,0.0
moving_average,M,10,32,3.0,0.25,0.4625,0.0
moving_average,M,30,32,1.0,0.03125,0.2770833333333333,0.0
moving_average,M,60,32,1.0,0.125,0.4161458333333333,0.0
moving_average,X,3,32,1.0,0.21875,0.46875,0.0
moving_average,X,10,32,1.0,0.3125,0.38125,0.0
moving_average,X,30,32,1.0,0.15625,0.3833333333333333,0.0
moving_average,X,60,32,1.0,0.125,0.3182291666666666,0.0
ewma,M,3,32,1.0,0.3125,0.5833333333333333,0.0
ewma,M,10,32,3.0,0.21875,0.45625,0.0
ewma,M,30,32,1.0,0.03125,0.26666666666666666,0.0
ewma,M,60,32,2.5,0.0625,0.4041666666666666,0.0
ewma,X,3,32,1.0,0.1875,0.47916666666666663,0.0
ewma,X,10,32,1.5,0.25,0.371875,0.0
ewma,X,30,32,1.0,0.15625,0.3708333333333333,0.0
ewma,X,60,32,1.0,0.09375,0.30104166666666665,0.0
majority_vote,M,3,32,1.0,0.28125,0.5208333333333334,1.0
majority_vote,M,10,32,2.5,0.1875,0.421875,1.0
majority_vote,M,30,32,1.0,0.03125,0.2208333333333333,1.0
majority_vote,M,60,32,1.0,0.0625,0.35885416666666664,1.0
majority_vote,X,3,32,1.0,0.1875,0.47916666666666663,1.0
majority_vote,X,10,32,1.0,0.15625,0.325,1.0
majority_vote,X,30,32,1.0,0.15625,0.346875,1.0
majority_vote,X,60,32,1.0,0.03125,0.2770833333333333,1.0
debounce,M,3,32,1.0,0.25,0.4895833333333333,1.0
debounce,M,10,32,2.0,0.1875,0.384375,1.0
debounce,M,30,32,1.0,0.0,0.1958333333333333,1.0
debounce,M,60,32,1.0,0.0625,0.33229166666666665,1.0
debounce,X,3,32,1.0,0.21875,0.4895833333333333,1.0
debounce,X,10,32,1.0,0.15625,0.328125,1.0
debounce,X,30,32,1.0,0.125,0.31666666666666665,1.0
debounce,X,60,32,1.0,0.0625,0.2458333333333333,1.0
margin,M,3,32,0.0,0.34375,0.3854166666666667,0.0
margin,M,10,32,2.0,0.21875,0.359375,0.0
margin,M,30,32,0.0,0.0625,0.2125,0.0
margin,M,60,32,0.0,0.09375,0.36874999999999997,0.0
margin,X,3,32,0.0,0.21875,0.3020833333333333,0.0
margin,X,10,32,0.0,0.125,0.26875,0.0
margin,X,30,32,0.0,0.15625,0.34791666666666665,0.0
margin,X,60,32,0.0,0.0625,0.2552083333333333,0.0
hysteresis,M,3,32,1.0,0.15625,0.4270833333333333,1.0
hysteresis,M,10,32,2.0,0.03125,0.278125,1.0
hysteresis,M,30,32,1.0,0.0,0.11249999999999998,1.0
hysteresis,M,60,32,1.0,0.0,0.18281249999999996,1.0
hysteresis,X,3,32,1.0,0.21875,0.4583333333333333,1.0
hysteresis,X,10,32,1.0,0.125,0.278125,1.0
hysteresis,X,30,32,1.0,0.125,0.23437499999999997,1.0
hysteresis,X,60,32,1.0,0.03125,0.13385416666666664,1.0
trust,M,3,32,2.0,0.3125,0.6666666666666666,0.0
trust,M,10,32,2.5,0.09375,0.36875,1.0
trust,M,30,32,2.0,0.0,0.12291666666666663,1.0
trust,M,60,32,2.0,0.0,0.1442708333333333,1.0
trust,X,3,32,2.0,0.1875,0.625,0.0
trust,X,10,32,2.0,0.125,0.303125,1.0
trust,X,30,32,2.0,0.09375,0.22812499999999997,1.0
trust,X,60,32,2.0,0.0625,0.12916666666666665,1.0
sprt,M,3,32,1.0,0.15625,0.3125,0.0
sprt,M,10,32,0.0,0.03125,0.190625,1.0
sprt,M,30,32,0.0,0.0,0.07708333333333331,1.0
sprt,M,60,32,0.0,0.0,0.09583333333333331,1.0
sprt,X,3,32,0.0,0.15625,0.23958333333333334,0.0
sprt,X,10,32,0.0,0.03125,0.1375,0.5
sprt,X,30,32,0.0,0.03125,0.1489583333333333,0.0
sprt,X,60,32,0.0,0.03125,0.09010416666666665,0.0
hmm,M,3,32,1.0,0.21875,0.46875,2.0
hmm,M,10,32,1.0,0.03125,0.215625,2.0
hmm,M,30,32,1.0,0.0,0.08854166666666664,3.0
hmm,M,60,32,1.0,0.0,0.09322916666666664,3.0
hmm,X,3,32,1.0,0.15625,0.375,2.0
hmm,X,10,32,1.0,0.03125,0.196875,3.0
hmm,X,30,32,1.0,0.03125,0.1520833333333333,3.0
hmm,X,60,32,1.0,0.03125,0.09531249999999995,2.0
