Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.000 [0.000, 0.096]",0.099,17,"0.000 [0.000, 0.192]","0.000 [0.000, 0.096]","1.00 [1.00, 3.85]"
Moving avg,"0.000 [0.000, 0.281]",0.134,23,"0.000 [0.000, 0.562]","0.000 [0.000, 0.375]","3.00 [1.33, 10.83]"
EWMA,"0.000 [0.000, 0.255]",0.105,18,"0.000 [0.000, 0.511]","0.000 [0.000, 0.319]","10.40 [1.50, 13.80]"
Majority vote,"0.000 [0.000, 0.160]",0.064,11,"0.000 [0.000, 0.319]","0.000 [0.000, 0.192]","13.00 [2.20, 37.00]"
Debounce,"0.000 [0.000, 0.183]",0.058,10,"0.000 [0.000, 0.365]","0.000 [0.000, 0.091]","28.00 [2.71, 75.00]"
Margin,"0.025 [0.000, 0.094]",0.07,12,"0.050 [0.000, 0.187]","0.000 [0.000, 0.050]","21.69 [1.00, 44.00]"
Hysteresis,"0.000 [0.000, 0.096]",0.035,6,"0.000 [0.000, 0.192]","0.000 [0.000, 0.000]","48.00 [13.67, 75.00]"
Trust,"0.048 [0.000, 0.160]",0.093,16,"0.096 [0.000, 0.319]","0.000 [0.000, 0.064]","16.25 [11.00, 70.00]"
SPRT,"0.048 [0.000, 0.183]",0.082,14,"0.096 [0.000, 0.365]","0.000 [0.000, 0.000]","35.00 [26.50, 125.00]"
HMM (supp.),"0.115 [0.000, 0.297]",0.14,24,"0.229 [0.000, 0.594]","0.000 [0.000, 0.149]","26.92 [15.33, 128.50]"
