Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"2.25 [0.00, 4.50]","0.25 [0.00, 2.25]","0.00 [0.00, 0.00]","0.75 [0.00, 6.00]","0.219 [0.125, 0.375]"
Moving avg,"1.00 [1.00, 3.00]","1.00 [1.00, 2.00]","0.00 [0.00, 0.00]","1.00 [1.00, 3.00]","0.188 [0.062, 0.375]"
EWMA,"2.00 [1.00, 3.00]","1.50 [1.00, 3.00]","0.00 [0.00, 0.00]","1.00 [1.00, 3.25]","0.125 [0.062, 0.312]"
Majority vote,"1.25 [1.00, 2.50]","1.00 [1.00, 3.00]","1.00 [1.00, 1.00]","1.00 [1.00, 2.00]","0.062 [0.000, 0.282]"
Debounce,"1.00 [1.00, 2.25]","1.00 [1.00, 3.00]","1.00 [1.00, 1.00]","1.00 [1.00, 2.50]","0.094 [0.062, 0.250]"
Margin,"0.75 [0.25, 3.00]","0.25 [0.00, 2.27]","0.00 [0.00, 0.00]","0.25 [0.00, 3.00]","0.094 [0.062, 0.250]"
Hysteresis,"1.00 [1.00, 2.00]","1.00 [1.00, 2.00]","1.00 [1.00, 1.00]","1.00 [1.00, 2.50]","0.094 [0.031, 0.250]"
Trust,"2.00 [2.00, 3.00]","2.00 [2.00, 3.00]","1.00 [1.00, 2.50]","2.00 [2.00, 3.00]","0.062 [0.062, 0.250]"
SPRT,"0.25 [0.00, 1.00]","0.25 [0.00, 1.00]","1.00 [0.00, 3.00]","0.25 [0.00, 1.50]","0.000 [0.000, 0.188]"
HMM (supp.),"1.00 [0.50, 2.00]","1.00 [0.50, 2.00]","2.25 [2.00, 7.50]","1.00 [1.00, 2.00]","0.000 [0.000, 0.188]"
