target_name,mechanism,params_str,partition,seq_id,genuine_uuid,impostor_uuid,condition,L_frames,far_auth_frames,locked_at_switch,first_lock,ania,miss,recovery,recovery_censored,locked_at_return,block_transitions,far_frame
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L03-00032,11B5EC4D-4133-4289-B475-4E737182A406,136562B6-95B2-483D-88DC-065F28409FD2,X,3,3,0,3,3,1,0,0,0,0,1.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L03-00033,11B5EC4D-4133-4289-B475-4E737182A406,78A91A4E-4A51-4065-BDA7-94755F0BB3BB,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L03-00034,11B5EC4D-4133-4289-B475-4E737182A406,CA820D43-E5E2-42EF-9798-BE56F776370B,X,3,3,0,3,3,1,0,0,0,0,1.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L03-00035,11B5EC4D-4133-4289-B475-4E737182A406,00EABED2-271D-49D8-B599-1D4A09240601,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L10-00036,11B5EC4D-4133-4289-B475-4E737182A406,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,X,10,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L10-00037,11B5EC4D-4133-4289-B475-4E737182A406,24E40C4C-A349-4F9F-93AB-01D00FB994AF,X,10,10,0,10,10,1,0,0,0,0,1.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L10-00038,11B5EC4D-4133-4289-B475-4E737182A406,00EABED2-271D-49D8-B599-1D4A09240601,X,10,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L10-00039,11B5EC4D-4133-4289-B475-4E737182A406,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,X,10,3,0,0,5,0,0,0,1,7,0.3
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L30-00040,11B5EC4D-4133-4289-B475-4E737182A406,CA820D43-E5E2-42EF-9798-BE56F776370B,X,30,16,0,1,11,0,0,0,1,9,0.5333333333333333
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L30-00041,11B5EC4D-4133-4289-B475-4E737182A406,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,X,30,30,0,30,30,1,0,0,0,0,1.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L30-00042,11B5EC4D-4133-4289-B475-4E737182A406,00EABED2-271D-49D8-B599-1D4A09240601,X,30,24,0,16,19,0,0,0,0,6,0.8
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L30-00043,11B5EC4D-4133-4289-B475-4E737182A406,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,X,30,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L60-00044,11B5EC4D-4133-4289-B475-4E737182A406,00EABED2-271D-49D8-B599-1D4A09240601,X,60,1,0,1,1,0,0,0,1,1,0.016666666666666666
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L60-00045,11B5EC4D-4133-4289-B475-4E737182A406,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,X,60,39,0,0,0,0,0,0,0,2,0.65
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L60-00046,11B5EC4D-4133-4289-B475-4E737182A406,24E40C4C-A349-4F9F-93AB-01D00FB994AF,X,60,40,0,9,15,0,0,0,0,22,0.6666666666666666
primary,threshold,theta=0.04743,test,test-11B5EC4D-X-L60-00047,11B5EC4D-4133-4289-B475-4E737182A406,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,X,60,0,0,0,0,0,0,0,1,1,0.0
