target_name,partition,mechanism,params_str,n_users,genuine_hours,false_locks,false_locks_per_hour_pooled,fr_frames,frr_time_pooled,X_fa_frames,X_impostor_frames,X_far_frame_pooled,M_fa_frames,M_impostor_frames,M_far_frame_pooled,X_ania_median__median,X_ania_median__ci_lo,X_ania_median__ci_hi,X_ania_median__mean,M_ania_median__median,M_ania_median__ci_lo,M_ania_median__ci_hi,M_ania_median__mean,X_first_lock_median__median,X_first_lock_median__ci_lo,X_first_lock_median__ci_hi,X_first_lock_median__mean,M_first_lock_median__median,M_first_lock_median__ci_lo,M_first_lock_median__ci_hi,M_first_lock_median__mean,X_recovery_median__median,X_recovery_median__ci_lo,X_recovery_median__ci_hi,X_recovery_median__mean,M_recovery_median__median,M_recovery_median__ci_lo,M_recovery_median__ci_hi,M_recovery_median__mean,X_miss_rate__median,X_miss_rate__ci_lo,X_miss_rate__ci_hi,X_miss_rate__mean,M_miss_rate__median,M_miss_rate__ci_lo,M_miss_rate__ci_hi,M_miss_rate__mean,X_far_frame__median,X_far_frame__ci_lo,X_far_frame__ci_hi,X_far_frame__mean,M_far_frame__median,M_far_frame__ci_lo,M_far_frame__ci_hi,M_far_frame__mean,frr_time__median,frr_time__ci_lo,frr_time__ci_hi,frr_time__mean,false_locks_per_hour__median,false_locks_per_hour__ci_lo,false_locks_per_hour__ci_hi,false_locks_per_hour__mean,transitions_per_hour__median,transitions_per_hour__ci_lo,transitions_per_hour__ci_hi,transitions_per_hour__mean,pingpong_per_hour__median,pingpong_per_hour__ci_lo,pingpong_per_hour__ci_hi,pingpong_per_hour__mean,lockout_mean_frames__median,lockout_mean_frames__ci_lo,lockout_mean_frames__ci_hi,lockout_mean_frames__mean
primary,test,threshold,theta=0.04743,56,1159.7833333333333,292,0.25177116415422424,503,0.007228361619267967,6839,23072,0.2964199029126214,7792,23072,0.3377253814147018,0.0,0.0,0.0,1.7321428571428572,0.25,0.0,1.75,2.2857142857142856,0.0,0.0,0.0,0.8214285714285714,0.0,0.0,0.0,0.8035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.25,0.21651785714285715,0.1875,0.125,0.25,0.22209821428571427,0.26197916666666665,0.18697916666666667,0.3510416666666667,0.29823288690476196,0.29791666666666666,0.18854166666666666,0.41874999999999996,0.32669270833333336,0.001563634945473868,0.0007989008040509007,0.0030244883040935673,0.008642574821253333,0.09369586228276527,0.04497751124437781,0.16568187620819197,0.27242578576928095,0.18739172456553055,0.07337934086391919,0.32357103625843836,0.5408979810651059,0.09652781819710404,0.025445292620865142,0.17035786108389625,0.37861903562168864,1.0,1.0,1.48,1.5974028822055137
primary,test,moving_average,"k=2, theta=0.1192",56,1159.7833333333333,287,0.24746001408309024,955,0.013723827726443158,5936,23072,0.25728155339805825,6911,23072,0.29954056865464634,1.0,1.0,1.0,1.5089285714285714,1.0,1.0,1.0,1.6160714285714286,1.0,1.0,1.0,1.2678571428571428,1.0,1.0,1.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.1875,0.15736607142857142,0.125,0.0625,0.1875,0.14955357142857142,0.28020833333333334,0.22447916666666667,0.35625,0.31888020833333336,0.3197916666666667,0.2515625,0.38645833333333335,0.34730282738095236,0.001894990080700904,0.0012062204801055344,0.004422332780541736,0.015983151207356012,0.1007797204967192,0.06335797254487856,0.12838256151164207,0.2592926803857391,0.2015594409934384,0.13296354099035418,0.2481902792140641,0.5171255529497425,0.1007797204967192,0.05511648627243928,0.13266998341625208,0.3238156526138748,1.8,1.0,2.4505050505050505,2.521516677766678
primary,test,ewma,"alpha=0.7, theta=0.1301",56,1159.7833333333333,286,0.24659778406886346,1000,0.014370500237113254,5816,23072,0.25208044382801664,6746,23072,0.2923890429958391,1.0,1.0,1.0,1.6607142857142858,1.0,1.0,1.0,1.7142857142857142,1.0,1.0,1.0,1.4642857142857142,1.0,1.0,1.0,1.4910714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.1875,0.16517857142857142,0.125,0.0625,0.1875,0.15178571428571427,0.2869791666666667,0.2375,0.35625,0.3243117559523809,0.32708333333333334,0.2552083333333333,0.39166666666666666,0.34964657738095234,0.0016410105028697556,0.0005530973451327434,0.004422332780541736,0.016605020737464716,0.06493840977576522,0.033994312465351215,0.11838559797253012,0.2595517722814279,0.12987681955153044,0.06637168141592921,0.23582698318245104,0.513909154585578,0.05484500943846245,0.0,0.11267605633802817,0.3339532826226554,1.9375,1.5,2.8,2.8154633216036724
primary,test,majority_vote,"k=3, theta=0.1545",56,1159.7833333333333,245,0.21124635348556484,1441,0.020707890841680197,5009,23072,0.21710298196948682,5583,23072,0.24198162274618584,1.0,1.0,1.0,1.375,1.0,1.0,1.0,1.2946428571428572,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.1428571428571428,1.0,1.0,1.0,0.9017857142857143,1.0,1.0,1.0,0.8660714285714286,0.125,0.0625,0.125,0.11830357142857142,0.0625,0.0,0.125,0.10267857142857142,0.253125,0.20625,0.3,0.2850074404761905,0.2635416666666667,0.23072916666666665,0.31927083333333334,0.29521949404761905,0.005266003660092057,0.0024242231527864745,0.009309061217572828,0.023506779987770916,0.11791349159122552,0.06924943085603352,0.16742578188867868,0.23090548286356302,0.21614019624363245,0.12987681955153044,0.3222232307907321,0.45100592292168834,0.09907917633410673,0.04127397791398602,0.1571761653777318,0.2389286654228054,3.8,2.2857142857142856,4.714285714285714,4.547844224527681
primary,test,debounce,"T=2, theta=0.1824",56,1159.7833333333333,212,0.1827927630160806,1607,0.023093393881040997,4699,23072,0.20366678224687934,5171,23072,0.224124479889043,1.0,1.0,1.0,1.3928571428571428,1.0,1.0,1.0,1.1785714285714286,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.1071428571428572,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9196428571428571,0.0625,0.03125,0.125,0.11607142857142858,0.0625,0.03125,0.125,0.10044642857142858,0.2359375,0.19374999999999998,0.28802083333333334,0.27505580357142856,0.25468749999999996,0.21197916666666666,0.30104166666666665,0.2839657738095238,0.006542723585252621,0.0016677231602604736,0.009522715918064755,0.026107299411481304,0.0957595388089861,0.04262298381010837,0.1795266861173778,0.199609259540511,0.1718117739198538,0.08524596762021674,0.32185812977931777,0.38730548395766434,0.05824028422273782,0.017241379310344827,0.15017476020060883,0.17181242125005697,4.0,3.2,5.5,5.908454650762343
primary,test,margin,"m=0.3, theta=0.1978",56,1159.7833333333333,183,0.15778809260350354,1118,0.016066219265092618,4792,23072,0.20769764216366157,5503,23072,0.2385142163661581,0.0,0.0,0.0,0.9464285714285714,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.8035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0625,0.125,0.15401785714285715,0.125,0.0625,0.1875,0.15178571428571427,0.17552083333333335,0.11458333333333334,0.23541666666666666,0.22553943452380953,0.22083333333333333,0.1375,0.24739583333333334,0.24226190476190476,0.0029957306353819105,0.0007989008040509007,0.005319148936170213,0.017626853720104533,0.07297363911645266,0.0459079593692615,0.14074876061314034,0.165832879198269,0.14594727823290532,0.04950495049504951,0.2796640169922441,0.3233935589637982,0.06486482698040388,0.0,0.10333955058175681,0.1572202105655782,2.8166666666666664,1.9450000000000016,4.094594594594595,7.314529777029776
primary,test,hysteresis,"m=0.3, T=2, theta=0.4013",56,1159.7833333333333,224,0.19313952318680214,2692,0.03868538663830888,3262,23072,0.14138349514563106,3389,23072,0.1468880027739251,1.0,1.0,1.0,1.1964285714285714,1.0,1.0,1.0,1.0357142857142858,1.0,1.0,1.0,1.1071428571428572,1.0,1.0,1.0,1.0178571428571428,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.1339285714285714,0.0,0.0,0.0625,0.07142857142857142,0.0625,0.0,0.0625,0.06584821428571429,0.184375,0.14166666666666666,0.23281249999999998,0.21763392857142858,0.19583333333333333,0.17604166666666665,0.23020833333333332,0.21860119047619048,0.01393796265826172,0.006134969325153374,0.02045328911000553,0.040807093804718995,0.12018710468723695,0.07380123830614183,0.18404907975460122,0.20440840004490854,0.20480319828069304,0.13857108568685494,0.3089716325221016,0.3891077534684639,0.04565477878821207,0.0,0.10448828807620221,0.11934581758530978,6.34920634920635,5.0,9.0,11.219044777973348
primary,test,trust,"r=0.5, tau=0.5, theta=0.5",56,1159.7833333333333,199,0.17158377283113227,2941,0.04226364119735008,3331,23072,0.144374133148405,3486,23072,0.15109223300970873,2.0,2.0,2.0,2.0357142857142856,2.0,2.0,2.0,2.0357142857142856,2.0,2.0,2.0,2.0357142857142856,2.0,2.0,2.0,2.0089285714285716,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1160714285714284,0.0625,0.0,0.0625,0.07700892857142858,0.0625,0.03125,0.09375,0.08258928571428571,0.265625,0.24895833333333334,0.30052083333333335,0.29486607142857146,0.2911458333333333,0.26302083333333337,0.31354166666666666,0.30349702380952387,0.00935422206163472,0.003964860645712979,0.02211075812719758,0.044069052250062746,0.09185251124437781,0.06468949160180681,0.15776847257718463,0.17585109312714417,0.18302637719402964,0.11921580307235312,0.3032741653637451,0.33434377689921474,0.047857381190714525,0.0,0.08667116379882336,0.10601408627055608,9.0,6.5,13.0,13.197589723690633
primary,test,sprt,"alpha=0.05, beta=0.005431",56,1159.7833333333333,181,0.15606363257504993,2737,0.03933205914897898,2425,23072,0.10510575589459084,2436,23072,0.10558252427184465,0.0,0.0,0.0,0.41964285714285715,0.0,0.0,0.5,0.5089285714285714,0.0,0.0,0.0,0.4017857142857143,0.0,0.0,0.5,0.5089285714285714,0.0,0.0,0.0,0.25892857142857145,0.0,0.0,0.0,0.3482142857142857,0.0625,0.0,0.0625,0.06808035714285714,0.0625,0.0,0.0625,0.07254464285714286,0.103125,0.06302083333333333,0.14791666666666667,0.1421875,0.11770833333333333,0.07708333333333334,0.16249999999999998,0.14719122023809522,0.009909358749376138,0.005602934721264188,0.021301093839953943,0.0414413340519109,0.10448828807620221,0.0768889242690464,0.15776847257718463,0.166530368676667,0.1909947325769854,0.14500864078683354,0.28018053924789676,0.3130949488143439,0.048882792620865145,0.0,0.07867308680771036,0.07322708183916248,7.75,5.5,10.462499999999938,13.12638232979142
primary,test,hmm,"rho=0.0001, theta=0.9608",56,1159.7833333333333,198,0.17072154281690546,3243,0.04660353226895828,2665,23072,0.11550797503467407,2630,23072,0.11399098474341193,1.0,1.0,1.0,1.1785714285714286,1.0,1.0,1.0,1.1428571428571428,1.0,1.0,1.0,1.1696428571428572,1.0,1.0,1.0,1.1339285714285714,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.7857142857142856,0.0625,0.0,0.0625,0.07254464285714286,0.0625,0.0,0.0625,0.07366071428571429,0.16145833333333331,0.134375,0.20989583333333334,0.20437127976190478,0.18020833333333333,0.15885416666666666,0.21614583333333331,0.20850074404761904,0.01192309628063818,0.00429246537841122,0.026978552885288637,0.04851390475446859,0.09851150154348162,0.07921209670672877,0.15452875362280394,0.18226884167298193,0.1909947325769854,0.15727391874180865,0.27574914674588125,0.3471792739908902,0.06114426682946886,0.03383429966432713,0.09064519256542891,0.11794396713020339,8.5,6.0,13.0,14.154320185986853
