target_name,target_false_locks_per_hour,tolerance,selection_condition,mechanism,cell_id,params,sweep_name,sweep_value,params_str,in_band,n_in_band_cells,n_rate_band_cells,n_excluded_absorbing,max_lockout_frames,val_lockout_mean_frames,val_frr_time,n_cells,val_false_locks_per_hour,val_ania_median,val_far_frame,val_miss_rate,val_transitions_per_hour,best_smoother
primary,0.125,0.15,M,threshold,threshold|0|40,{},theta,0.0474258731775667,theta=0.04743,True,3,3,0,30.0,1.309090909090909,0.003110375116999,141,0.1425588595291237,0.0,0.2762834821428571,0.1651785714285714,0.2825257397940816,margin
primary,0.125,0.15,M,moving_average,moving_average|0|50,"{""k"": 2}",theta,0.1192029220221175,"k=2, theta=0.1192",True,17,17,0,30.0,2.4125,0.0055583555331557,705,0.1382388940888473,1.0,0.3025483630952381,0.1261160714285714,0.2747498020015839,margin
primary,0.125,0.15,M,ewma,ewma|5|51,"{""alpha"": 0.7}",theta,0.1301084743629979,"alpha=0.7, theta=0.1301",True,18,18,0,30.0,2.367088607594937,0.0053855569155446,846,0.1365109079127366,1.0,0.3055803571428571,0.1160714285714285,0.272157822737418,margin
primary,0.125,0.15,M,majority_vote,majority_vote|0|53,"{""k"": 3}",theta,0.1544652650835348,"k=3, theta=0.1545",True,16,16,0,30.0,3.915151515151515,0.0093023255813953,564,0.1425588595291237,1.0,0.2642671130952381,0.0970982142857142,0.2825257397940816,margin
primary,0.125,0.15,M,debounce,debounce|0|55,"{""T"": 2}",theta,0.1824255238063563,"T=2, theta=0.1824",True,10,16,6,30.0,4.902597402597403,0.0108719130246958,564,0.1330549355605155,1.0,0.2526227678571428,0.0915178571428571,0.2635178918568651,margin
primary,0.125,0.15,M,margin,margin|3|56,"{""m"": 0.3}",theta,0.1978161114414183,"m=0.3, theta=0.1978",True,7,7,0,30.0,3.3161764705882355,0.0064943480452156,564,0.1175030599755201,0.0,0.2063430059523809,0.1194196428571428,0.2324141406868745,margin
primary,0.125,0.15,M,hysteresis,hysteresis|12|66,"{""T"": 2, ""m"": 0.3}",theta,0.4013123398875481,"m=0.3, T=2, theta=0.4013",True,34,230,196,30.0,9.853658536585366,0.0232702138382892,2256,0.1416948664410684,1.0,0.203031994047619,0.0613839285714285,0.2782057743538051,margin
primary,0.125,0.15,M,trust,trust|11|70,"{""r"": 0.5, ""tau"": 0.5}",theta,0.5,"r=0.5, tau=0.5, theta=0.5",True,8,156,148,30.0,13.688741721854305,0.0297645618835049,1692,0.1304629562963496,2.0,0.2883184523809524,0.0658482142857142,0.2531499748002015,margin
primary,0.125,0.15,M,sprt,sprt|2|44,"{""alpha"": 0.05}",beta,0.0054314433504513,"alpha=0.05, beta=0.005431",True,19,19,0,30.0,11.459627329192546,0.0265677874577003,300,0.1391028871769025,0.0,0.1279761904761905,0.0569196428571428,0.2695658434732522,margin
primary,0.125,0.15,M,hmm,hmm|0|102,"{""rho"": 0.0001}",theta,0.9608342772032356,"rho=0.0001, theta=0.9608",True,86,86,0,30.0,13.115853658536585,0.0309741522067823,705,0.1416948664410684,1.0,0.1925223214285714,0.0625,0.2738858089135286,margin
sensitivity_1,0.5,0.15,M,threshold,threshold|0|54,{},theta,0.1679816148660755,theta=0.168,True,3,3,0,30.0,1.6741214057507987,0.0150910792713658,141,0.540859673122615,0.0,0.1570126488095238,0.0848214285714285,1.0748074015407876,margin
sensitivity_1,0.5,0.15,M,moving_average,moving_average|1|69,"{""k"": 3}",theta,0.4750208125210601,"k=3, theta=0.475",True,20,22,2,30.0,4.48688524590164,0.0394124847001224,705,0.5270357837137303,1.0,0.17109375,0.0323660714285714,1.0445676434588522,margin
sensitivity_1,0.5,0.15,M,ewma,ewma|5|63,"{""alpha"": 0.7}",theta,0.331812227831834,"alpha=0.7, theta=0.3318",True,14,67,53,30.0,2.7136150234741785,0.024969400244798,846,0.5520915832673339,0.0,0.1233816964285714,0.0580357142857142,1.0981352149182806,margin
sensitivity_1,0.5,0.15,M,majority_vote,majority_vote|0|68,"{""k"": 3}",theta,0.4501660026875223,"k=3, theta=0.4502",True,24,24,0,30.0,4.512195121951219,0.0399596803225574,564,0.5313557491540067,1.0,0.1787202380952381,0.0368303571428571,1.049751601987184,margin
sensitivity_1,0.5,0.15,M,debounce,debounce|0|72,"{""T"": 2}",theta,0.549833997312478,"T=2, theta=0.5498",True,11,34,23,30.0,6.048895899053628,0.0552235582115343,564,0.5477716178270573,1.0,0.1636718749999999,0.0290178571428571,1.0782633738930087,margin
sensitivity_1,0.5,0.15,M,margin,margin|3|64,"{""m"": 0.3}",theta,0.3543436937742046,"m=0.3, theta=0.3543",True,9,9,0,30.0,3.105008077544426,0.0276765785873713,564,0.5348117215062279,0.0,0.1023809523809523,0.0591517857142857,1.0540715674274606,margin
sensitivity_1,0.5,0.15,M,hysteresis,hysteresis|8|89,"{""T"": 2, ""m"": 0.2}",theta,0.8698915256370021,"m=0.2, T=2, theta=0.8699",True,30,42,12,30.0,28.025316455696203,0.2231694146446828,2256,0.4777881776945784,1.0,0.107328869047619,0.0111607142857142,0.8907768737850097,margin
