partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.04743,threshold,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,7,7,14,25,10,6,6.8,1.0294117647058825,0.061274509803921566,2.058823529411765,1.4705882352941178,0.8823529411764706,3.5714285714285716,16,0.0,8.5625,0.0,0.1875,0.2708333333333333,150,412,0.0,0.0,0.0625,0.6875,16,0.5,3.8125,0.0,0.1875,0.33125,107,412,0.0,0.0,0.0625,0.625
test,theta=0.04743,threshold,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,1,0,1,1,0,0,22.233333333333334,0.04497751124437781,0.0007496251874062968,0.04497751124437781,0.0,0.0,1.0,16,0.0,1.3125,0.0,0.0,0.13958333333333334,71,412,0.0,0.0,0.0,1.0,16,0.0,7.5,0.0,0.0625,0.2625,176,412,0.0,0.0,0.0,0.875
test,theta=0.04743,threshold,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,2,2,4,2,2,2,12.716666666666667,0.15727391874180865,0.002621231979030144,0.3145478374836173,0.15727391874180865,0.15727391874180865,1.0,16,3.0,10.375,0.0,0.3125,0.5520833333333334,239,412,0.0,0.0,0.0,0.5,16,1.5,10.0625,0.0,0.25,0.42708333333333337,227,412,0.0,0.0,0.0,0.5625
test,theta=0.04743,threshold,primary,0BFC35E2-4817-4865-BFA7-764742302A2D,556,6,6,12,26,8,4,9.266666666666667,0.6474820143884892,0.046762589928057555,1.2949640287769784,0.8633093525179856,0.4316546762589928,4.333333333333333,16,0.0,3.1875,0.0,0.1875,0.240625,68,412,0.0,0.0,0.0,0.8125,16,0.0,1.9375,0.0,0.125,0.284375,100,412,0.0,0.0,0.0625,0.6875
test,theta=0.04743,threshold,primary,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,1279,0,0,0,0,0,0,21.316666666666666,0.0,0.0,0.0,0.0,0.0,,16,0.0,2.8125,0.0,0.0625,0.14270833333333333,50,412,0.0,0.0,0.0,0.9375,16,0.0,0.9375,0.0,0.125,0.171875,60,412,0.0,0.0,0.0,0.8125
test,theta=0.04743,threshold,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,1.5,7.1875,0.0,0.1875,0.3510416666666667,111,412,0.0,0.0,0.0,0.75,16,0.0,1.1875,0.0,0.0,0.18125,68,412,0.0,0.0,0.0,0.75
test,theta=0.04743,threshold,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,2,2,4,3,2,2,20.25,0.09876543209876543,0.0024691358024691358,0.19753086419753085,0.09876543209876543,0.09876543209876543,1.5,16,6.5,17.8125,3.0,0.625,0.6427083333333333,288,412,0.0,0.0,0.0,0.3125,16,5.5,14.1875,2.0,0.5,0.60625,245,412,0.0,0.0,0.0,0.4375
test,theta=0.04743,threshold,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,5,5,10,26,7,4,21.35,0.23419203747072598,0.02029664324746292,0.46838407494145196,0.32786885245901637,0.18735362997658078,5.2,16,1.0,5.75,0.0,0.1875,0.265625,129,412,0.0,0.0,0.0625,0.6875,16,2.5,7.0625,0.5,0.25,0.396875,148,412,0.0,0.0,0.0,0.625
test,theta=0.04743,threshold,primary,1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,1423,0,0,0,0,0,0,23.716666666666665,0.0,0.0,0.0,0.0,0.0,,16,0.0,0.0,0.0,0.0,0.015625,11,412,0.0,0.0,0.0,0.9375,16,0.0,2.125,0.0,0.125,0.1125,44,412,0.0,0.0,0.0,0.875
test,theta=0.04743,threshold,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,12,12,24,14,16,12,15.433333333333334,0.7775377969762419,0.01511879049676026,1.5550755939524838,1.036717062634989,0.7775377969762419,1.1666666666666667,16,0.0,9.6875,0.0,0.3125,0.43333333333333335,183,412,0.0,0.0,0.0,0.5625,16,3.0,11.4375,0.0,0.4375,0.459375,193,412,0.0,0.0,0.0,0.5
test,theta=0.04743,threshold,primary,27E04243-B138-4F40-A164-F40B60165CF3,947,1,1,2,1,1,1,15.783333333333333,0.06335797254487856,0.0010559662090813093,0.12671594508975711,0.06335797254487856,0.06335797254487856,1.0,16,0.0,0.125,0.0,0.0,0.06041666666666666,8,412,0.0,0.0,0.0,0.9375,16,0.0,0.0,0.0,0.0,0.02291666666666667,19,412,0.0,0.0,0.0,0.9375
test,theta=0.04743,threshold,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,0,0,0,0,0,0,27.916666666666668,0.0,0.0,0.0,0.0,0.0,,16,10.0,16.5625,0.5,0.4375,0.5572916666666666,279,412,0.0,0.0,0.0,0.5,16,3.0,6.1875,0.0,0.375,0.5354166666666667,178,412,0.0,0.0,0.0,0.375
test,theta=0.04743,threshold,primary,33A85C34-CFE4-4732-9E73-0A7AC861B27A,1065,0,0,0,0,0,0,17.75,0.0,0.0,0.0,0.0,0.0,,16,1.0,7.5625,0.0,0.25,0.38229166666666664,179,412,0.0,0.0,0.0,0.6875,16,0.0,2.0625,0.0,0.125,0.18125,67,412,0.0,0.0,0.0,0.8125
test,theta=0.04743,threshold,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,2,2,4,3,3,2,17.2,0.11627906976744186,0.0029069767441860465,0.23255813953488372,0.1744186046511628,0.11627906976744186,1.5,16,0.0,2.4375,0.0,0.125,0.2895833333333333,113,412,0.0,0.0,0.0,0.5625,16,2.0,7.5625,0.0,0.3125,0.46875,177,412,0.0,0.0,0.0,0.5625
test,theta=0.04743,threshold,primary,40E170A7-607B-4578-AF04-F021C3B0384A,1490,0,0,0,0,0,0,24.833333333333332,0.0,0.0,0.0,0.0,0.0,,16,0.0,0.75,0.0,0.0625,0.12083333333333333,35,412,0.0,0.0,0.0,0.75,16,0.0,5.0625,0.0,0.0,0.16979166666666667,102,412,0.0,0.0,0.0,0.8125
test,theta=0.04743,threshold,primary,481F4DD2-7689-43B9-A2AA-C8772227162B,1280,4,4,8,4,4,4,21.333333333333332,0.1875,0.003125,0.375,0.1875,0.1875,1.0,16,0.0,0.625,0.0,0.0,0.05520833333333333,37,412,0.0,0.0,0.0,0.875,16,0.0,0.125,0.0,0.0,0.08541666666666667,63,412,0.0,0.0,0.0625,1.0
test,theta=0.04743,threshold,primary,4E98F91F-4654-42EF-B908-A3389443F2E7,326,1,1,2,1,1,1,5.433333333333334,0.18404907975460122,0.003067484662576687,0.36809815950920244,0.18404907975460122,0.18404907975460122,1.0,16,0.0,4.25,0.0,0.0,0.16458333333333333,72,412,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,0.0,0.029166666666666667,15,412,0.0,0.0,0.0,0.875
test,theta=0.04743,threshold,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,0,0,0,0,0,0,16.116666666666667,0.0,0.0,0.0,0.0,0.0,,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0
test,theta=0.04743,threshold,primary,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1295,0,0,0,0,0,0,21.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,0.0,4.375,0.0,0.25,0.3145833333333333,106,412,0.0,0.0,0.0,0.5625,16,0.0,2.375,0.0,0.25,0.28020833333333334,75,412,0.0,0.0,0.0,0.625
test,theta=0.04743,threshold,primary,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1295,0,0,0,0,0,0,21.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,6.0,20.9375,3.0,0.6875,0.759375,332,412,0.0,0.0,0.0,0.3125,16,20.0,24.625,3.0,0.8125,0.8489583333333334,384,412,0.0,0.0,0.0,0.1875
test,theta=0.04743,threshold,primary,59818CD2-24D7-4D32-B133-24C2FE3801E5,1151,0,0,0,0,0,0,19.183333333333334,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.25,0.0,0.25,0.3510416666666667,105,412,0.0,0.0,0.0,0.625,16,10.0,17.4375,6.5,0.625,0.73125,313,412,0.0,0.0,0.0,0.25
test,theta=0.04743,threshold,primary,59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,1271,25,22,47,37,32,22,21.183333333333334,1.1801730920535012,0.029110936270653028,2.2187254130605822,1.5106215578284814,1.038552321007081,1.48,16,0.0,4.5,0.0,0.125,0.31875,155,412,0.0,0.0,0.0,0.5625,16,0.5,8.25,0.0,0.25,0.42083333333333334,205,412,0.0,0.0,0.0625,0.5625
test,theta=0.04743,threshold,primary,5EF64122-B513-46AE-BCF1-E62AAC285D2C,754,1,1,2,1,1,1,12.566666666666666,0.07957559681697612,0.001326259946949602,0.15915119363395225,0.07957559681697612,0.07957559681697612,1.0,16,0.0,3.125,0.0,0.0,0.15729166666666666,74,412,0.0,0.0,0.0,0.8125,16,1.5,2.6875,0.0,0.0625,0.30104166666666665,174,412,0.0,0.0,0.0,0.6875
test,theta=0.04743,threshold,primary,61359772-D8D8-480D-B623-7C636EAD0C81,1168,0,0,0,0,0,0,19.466666666666665,0.0,0.0,0.0,0.0,0.0,,16,0.0,0.0,0.0,0.0,0.0,0,412,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0,412,0.0,0.0,0.0,1.0
test,theta=0.04743,threshold,primary,61976C24-1C50-4355-9C49-AAE44A7D09F6,1717,0,0,0,0,0,0,28.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,0.0,0.875,0.0,0.0,0.057291666666666664,37,412,0.0,0.0,0.0,0.875,16,0.0,1.8125,0.0,0.0,0.08229166666666667,53,412,0.0,0.0,0.0,1.0
