target_name,mechanism,params_str,partition,genuine_uuid,run,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks
primary,threshold,theta=0.04743,test,00EABED2-271D-49D8-B599-1D4A09240601,25,300,2,2,4,3,2,2
primary,threshold,theta=0.04743,test,00EABED2-271D-49D8-B599-1D4A09240601,42,96,5,5,10,22,8,4
primary,threshold,theta=0.04743,test,00EABED2-271D-49D8-B599-1D4A09240601,44,12,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,15,114,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,16,733,1,0,1,1,0,0
primary,threshold,theta=0.04743,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,17,292,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,18,91,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,19,104,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0A986513-7828-4D53-AA1F-E02D6DF9561B,8,763,2,2,4,2,2,2
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,194,14,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,201,50,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,202,77,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,204,72,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,207,165,6,6,12,26,8,4
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,208,16,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,210,31,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0BFC35E2-4817-4865-BFA7-764742302A2D,211,131,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,479,16,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,483,18,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,485,67,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,486,29,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,487,10,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,488,37,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,489,11,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,496,12,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,497,16,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,498,394,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,503,64,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,504,61,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,505,11,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,507,16,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,508,15,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,512,55,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,513,36,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,518,76,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,523,12,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,524,19,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,526,10,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,527,52,0,0,0,0,0,0
primary,threshold,theta=0.04743,test,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,538,13,0,0,0,0,0,0
