Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.168,"0.173 [0.106, 0.226]",4815/23072,"0.062 [0.000, 0.125]","0.0119 [0.0068, 0.0153]",1856
Moving avg,"k=3, theta=0.475","0.178 [0.145, 0.203]",2909/23072,"0.000 [0.000, 0.000]","0.0238 [0.0158, 0.0432]",3600
EWMA,"alpha=0.7, theta=0.3318","0.135 [0.087, 0.167]",3457/23072,"0.062 [0.000, 0.062]","0.0158 [0.0093, 0.0284]",2585
Majority vote,"k=3, theta=0.4502","0.176 [0.151, 0.213]",3125/23072,"0.000 [0.000, 0.000]","0.0225 [0.0163, 0.0467]",3607
Debounce,"T=2, theta=0.5498","0.169 [0.136, 0.187]",2582/23072,"0.000 [0.000, 0.000]","0.0341 [0.0214, 0.0524]",4521
Margin,"m=0.3, theta=0.3543","0.099 [0.067, 0.147]",3160/23072,"0.000 [0.000, 0.062]","0.0176 [0.0103, 0.0284]",2791
Hysteresis,"m=0.2, T=2, theta=0.8699","0.116 [0.102, 0.119]",937/23072,"0.000 [0.000, 0.000]","0.1389 [0.0875, 0.2117]",15794
Trust,"r=0.5, tau=0.5, theta=0.8176","0.121 [0.106, 0.123]",1080/23072,"0.000 [0.000, 0.000]","0.0926 [0.0687, 0.1980]",13344
SPRT,"alpha=0.01, beta=0.4898","0.045 [0.021, 0.079]",1585/23072,"0.000 [0.000, 0.000]","0.0311 [0.0210, 0.0513]",4420
HMM (supp.),"rho=0.001, theta=0.995","0.043 [0.023, 0.065]",1225/23072,"0.000 [0.000, 0.000]","0.0336 [0.0239, 0.0581]",5050
