Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.062 [0.062, 0.125]"
Moving avg,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
EWMA,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.062 [0.000, 0.062]"
Majority vote,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
Debounce,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
Margin,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.062]"
Hysteresis,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
Trust,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","5.00 [5.00, 5.50]","1.00 [1.00, 1.00]","0.000 [0.000, 0.000]"
SPRT,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.000]"
HMM (supp.),"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","2.00 [2.00, 2.00]","0.00 [0.00, 0.00]","0.000 [0.000, 0.000]"
