outcome,comparison,n_users,median_diff,ci_lo,ci_hi,p_holm,rank_biserial,significant
ania,moving_average - threshold,56,0.75,-0.5,1.0,1.0,0.0289562289562289,False
ania,ewma - threshold,56,1.0,0.0,1.0,1.0,0.1465892597968069,False
ania,majority_vote - threshold,56,1.0,-0.75,1.0,1.0,-0.1873433583959899,False
ania,debounce - threshold,56,1.0,-0.75,1.0,1.0,-0.1873433583959899,False
ania,margin - threshold,56,0.0,-1.0,0.0,5.588228640385793e-05,-1.0,True
ania,hysteresis - threshold,56,0.75,-0.75,1.0,1.0,-0.1904761904761904,False
ania,trust - threshold,56,1.75,0.25,2.0,0.3916221977775777,0.2821548821548821,False
ania,sprt - threshold,56,0.0,-1.0,0.0,4.1399119088575374e-05,-0.935483870967742,True
first_lock,moving_average - threshold,56,1.0,1.0,1.0,3.281457784770669e-06,0.7299663299663299,True
first_lock,ewma - threshold,56,1.0,1.0,1.0,1.665036891661792e-07,0.8215488215488216,True
first_lock,majority_vote - threshold,56,1.0,1.0,1.0,2.5226357979768247e-05,0.6645702306079665,True
first_lock,debounce - threshold,56,1.0,1.0,1.0,5.163137701195664e-05,0.6356902356902356,True
first_lock,margin - threshold,56,0.0,0.0,0.0,1.0,0.0,False
first_lock,hysteresis - threshold,56,1.0,1.0,1.0,0.0001858540746844,0.5776942355889725,True
first_lock,trust - threshold,56,2.0,2.0,2.0,1.2640938731376745e-07,0.8356902356902357,True
first_lock,sprt - threshold,56,0.0,0.0,0.0,1.0,0.0718954248366013,False
recovery,moving_average - threshold,56,0.0,0.0,0.0,1.0,0.0,False
recovery,ewma - threshold,56,0.0,0.0,0.0,1.0,0.0,False
recovery,majority_vote - threshold,56,1.0,1.0,1.0,3.545633744185873e-11,1.0,True
recovery,debounce - threshold,56,1.0,1.0,1.0,1.564440195452282e-11,1.0,True
recovery,margin - threshold,56,0.0,0.0,0.0,1.0,0.0,False
recovery,hysteresis - threshold,56,1.0,1.0,1.0,9.315455681084401e-13,1.0,True
recovery,trust - threshold,56,2.0,2.0,2.0,5.691627401855606e-12,1.0,True
recovery,sprt - threshold,56,0.0,0.0,0.0,0.008190928614675,1.0,True
miss_rate,moving_average - threshold,56,-0.0625,-0.0625,0.0,4.267405832991022e-06,-0.9193277310924368,True
miss_rate,ewma - threshold,56,-0.0625,-0.0625,0.0,4.267405832991022e-06,-0.939516129032258,True
miss_rate,majority_vote - threshold,56,-0.0625,-0.125,-0.0625,5.709992110450967e-07,-1.0,True
miss_rate,debounce - threshold,56,-0.0625,-0.15625,-0.0625,6.315003114414974e-07,-0.9829302987197724,True
miss_rate,margin - threshold,56,-0.0625,-0.0625,0.0,1.6864714728072064e-06,-1.0,True
miss_rate,hysteresis - threshold,56,-0.125,-0.1875,-0.0625,2.498125541481472e-07,-0.9872241579558652,True
miss_rate,trust - threshold,56,-0.0625,-0.125,-0.0625,5.709992110450967e-07,-1.0,True
miss_rate,sprt - threshold,56,-0.125,-0.1875,-0.0625,2.498125541481472e-07,-1.0,True
far_frame,moving_average - threshold,56,0.03125,0.0057291666666667,0.0791666666666666,0.1774090014054214,0.3045112781954887,False
far_frame,ewma - threshold,56,0.0416666666666666,0.0088541666666667,0.0739713541666664,0.1612576518789557,0.3289473684210526,False
far_frame,majority_vote - threshold,56,-0.0031249999999999,-0.0682291666666666,0.0318098958333327,0.1863009424636766,-0.2626262626262626,False
far_frame,debounce - threshold,56,-0.0161458333333332,-0.0755208333333333,0.0296874999999999,0.1774090014054214,-0.3088972431077694,False
far_frame,margin - threshold,56,-0.0708333333333333,-0.0989583333333333,-0.0520833333333332,1.6695312460770801e-09,-1.0,True
far_frame,hysteresis - threshold,56,-0.0947916666666666,-0.1479166666666667,-0.0015625,0.000289890440347,-0.6298701298701299,True
far_frame,trust - threshold,56,-0.00625,-0.0802083333333333,0.0927083333333333,0.80667902307645,-0.037593984962406,False
far_frame,sprt - threshold,56,-0.1760416666666667,-0.2052083333333332,-0.1114583333333333,1.1670813671363255e-09,-0.9935064935064936,True
frr_time,moving_average - threshold,56,0.0006733200563897,0.0,0.0020381422276489,0.0006631005457157,0.6680161943319838,True
frr_time,ewma - threshold,56,0.0,0.0,0.0016410105028697,0.0013850343983386,0.5951417004048583,True
frr_time,majority_vote - threshold,56,0.0039294514425508,0.0005279831045406,0.0050816767167594,1.0930809428456289e-06,0.9180509413067552,True
frr_time,debounce - threshold,56,0.0035284231823522,0.0005747126436781,0.0070775443981802,2.3553530936714387e-06,0.8646464646464647,True
frr_time,margin - threshold,56,0.0,0.0,0.0016063325082508,3.6870966630745226e-05,1.0,True
frr_time,hysteresis - threshold,56,0.0121509268250723,0.0037188187820983,0.0172084130019119,1.4248042625280937e-07,0.9537465309898242,True
frr_time,trust - threshold,56,0.0065155927092982,0.0016732597556642,0.0179322140552409,6.657185788184392e-07,0.9401993355481728,True
frr_time,sprt - threshold,56,0.0076701883433283,0.0028356554257537,0.0174418604651163,2.498571743126224e-07,1.0,True
false_locks_per_hour,moving_average - threshold,56,0.0,0.0,0.0,1.0,-0.0761904761904762,False
false_locks_per_hour,ewma - threshold,56,0.0,0.0,0.0,1.0,-0.1697478991596638,False
false_locks_per_hour,majority_vote - threshold,56,0.0,0.0,0.0,1.0,-0.0099573257467994,False
false_locks_per_hour,debounce - threshold,56,0.0,-0.0456535153688919,0.0,1.0,-0.233468286099865,False
false_locks_per_hour,margin - threshold,56,0.0,0.0,0.0,0.0035022175565973,-1.0,True
false_locks_per_hour,hysteresis - threshold,56,0.0,-0.0373112373278509,0.0,1.0,-0.1140642303433001,False
false_locks_per_hour,trust - threshold,56,0.0,-0.0321762635195471,0.0,0.8801450096261301,-0.2666666666666666,False
false_locks_per_hour,sprt - threshold,56,0.0,-0.031307549641756,0.0,0.5579440202856966,-0.3445378151260504,False
transitions_per_hour,moving_average - threshold,56,0.0,0.0,0.0,1.0,-0.0571428571428571,False
transitions_per_hour,ewma - threshold,56,0.0,0.0,0.0,1.0,-0.1682539682539682,False
transitions_per_hour,majority_vote - threshold,56,0.0,0.0,0.0,1.0,-0.0589743589743589,False
transitions_per_hour,debounce - threshold,56,0.0,-0.1209996710806826,0.0,0.6785166975394994,-0.2707317073170732,False
transitions_per_hour,margin - threshold,56,0.0,0.0,0.0,0.0023444201615399,-1.0,True
transitions_per_hour,hysteresis - threshold,56,0.0,-0.1119337119835525,0.0,1.0,-0.1585623678646934,False
transitions_per_hour,trust - threshold,56,0.0,-0.0965254683989415,0.0,0.4175353576528443,-0.3292682926829268,False
transitions_per_hour,sprt - threshold,56,0.0,-0.0813192033534698,0.0,0.1972430410091303,-0.4253968253968254,False
pingpong_per_hour,moving_average - threshold,56,0.0,0.0,0.0,0.5850409011217563,-0.1495798319327731,False
pingpong_per_hour,ewma - threshold,56,0.0,-0.0165929203539823,0.0,0.5850409011217563,-0.2012012012012012,False
pingpong_per_hour,majority_vote - threshold,56,0.0,-0.0655649040614063,0.0,0.1741886244189976,-0.3439024390243902,False
pingpong_per_hour,debounce - threshold,56,-0.0155925155925156,-0.1204819277108433,0.0,0.0042718006244859,-0.586527293844367,True
pingpong_per_hour,margin - threshold,56,0.0,0.0,0.0,0.0013750570834861,-1.0,True
pingpong_per_hour,hysteresis - threshold,56,-0.0316789862724392,-0.1202513361259569,0.0,0.0023111851816086,-0.6131078224101479,True
pingpong_per_hour,trust - threshold,56,-0.0404063920739318,-0.0911881462333825,0.0,0.0013750570834861,-0.6984352773826458,True
pingpong_per_hour,sprt - threshold,56,0.0,-0.1057550570426984,0.0,0.000201371335044,-0.8669354838709677,True
lockout_mean_frames,moving_average - threshold,33,0.706432748538012,0.0,1.423076923076923,0.0002382337746787,0.9166666666666666,True
lockout_mean_frames,ewma - threshold,30,0.7749999999999999,0.4208333333333334,1.5297619047619049,0.0002382337746787,0.9166666666666666,True
lockout_mean_frames,majority_vote - threshold,33,2.875,1.448717948717949,4.0,5.502698028550586e-06,1.0,True
lockout_mean_frames,debounce - threshold,30,3.5375,2.6500000000000004,5.377777777777778,1.2626721121617209e-05,1.0,True
lockout_mean_frames,margin - threshold,36,1.5,0.2714285714285713,2.6666666666666665,3.667086852775688e-05,1.0,True
lockout_mean_frames,hysteresis - threshold,31,6.533333333333333,4.0,9.0,1.0393297398864684e-05,1.0,True
lockout_mean_frames,trust - threshold,32,8.2,5.5,12.611746758199846,1.2626721121617209e-05,1.0,True
lockout_mean_frames,sprt - threshold,36,6.75,3.75,10.15938434153563,4.2976041524521e-06,1.0,True
