target_name,partition,mechanism,params_str,n_users,genuine_hours,false_locks,false_locks_per_hour_pooled,fr_frames,frr_time_pooled,X_fa_frames,X_impostor_frames,X_far_frame_pooled,M_fa_frames,M_impostor_frames,M_far_frame_pooled,X_ania_median__median,X_ania_median__ci_lo,X_ania_median__ci_hi,X_ania_median__mean,M_ania_median__median,M_ania_median__ci_lo,M_ania_median__ci_hi,M_ania_median__mean,X_first_lock_median__median,X_first_lock_median__ci_lo,X_first_lock_median__ci_hi,X_first_lock_median__mean,M_first_lock_median__median,M_first_lock_median__ci_lo,M_first_lock_median__ci_hi,M_first_lock_median__mean,X_recovery_median__median,X_recovery_median__ci_lo,X_recovery_median__ci_hi,X_recovery_median__mean,M_recovery_median__median,M_recovery_median__ci_lo,M_recovery_median__ci_hi,M_recovery_median__mean,X_miss_rate__median,X_miss_rate__ci_lo,X_miss_rate__ci_hi,X_miss_rate__mean,M_miss_rate__median,M_miss_rate__ci_lo,M_miss_rate__ci_hi,M_miss_rate__mean,X_far_frame__median,X_far_frame__ci_lo,X_far_frame__ci_hi,X_far_frame__mean,M_far_frame__median,M_far_frame__ci_lo,M_far_frame__ci_hi,M_far_frame__mean,frr_time__median,frr_time__ci_lo,frr_time__ci_hi,frr_time__mean,false_locks_per_hour__median,false_locks_per_hour__ci_lo,false_locks_per_hour__ci_hi,false_locks_per_hour__mean,transitions_per_hour__median,transitions_per_hour__ci_lo,transitions_per_hour__ci_hi,transitions_per_hour__mean,pingpong_per_hour__median,pingpong_per_hour__ci_lo,pingpong_per_hour__ci_hi,pingpong_per_hour__mean,lockout_mean_frames__median,lockout_mean_frames__ci_lo,lockout_mean_frames__ci_hi,lockout_mean_frames__mean
primary,test,threshold,theta=0.05732,33,714.1999999999999,163,0.2282273872864744,215,0.005017268738915336,6920,13596,0.5089732274198293,7144,13596,0.5254486613709914,3.0,2.0,3.0,3.9393939393939394,3.0,2.5,5.5,5.348484848484849,1.0,0.0,2.0,1.9696969696969697,1.5,0.5,3.0,2.4696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.3125,0.4375,0.4166666666666667,0.375,0.3125,0.5,0.4053030303030303,0.490625,0.46875,0.5927083333333333,0.5296717171717172,0.54375,0.478125,0.6354166666666666,0.5574179292929292,0.0015444015444015444,0.0005824111822947001,0.003795866722901729,0.006481550037592848,0.09266409266409267,0.034944670937682006,0.23255813953488372,0.30450715013663743,0.18532818532818535,0.06988934187536401,0.4048924504428511,0.6090143002732749,0.09266409266409267,0.03143006809848088,0.22775200337410376,0.41732508088846293,1.0,1.0,1.125,1.1455420112709116
primary,test,moving_average,"k=3, theta=0.1978",33,714.1999999999999,164,0.2296275553066368,517,0.01206478110706618,6245,13596,0.45932627243306856,6266,13596,0.46087084436599,2.5,2.0,3.0,2.9696969696969697,2.5,2.0,3.0,3.515151515151515,2.0,2.0,2.5,2.4545454545454546,2.5,2.0,3.0,3.106060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1875,0.31406249999997726,0.29545454545454547,0.25,0.1875,0.375,0.2935606060606061,0.5645833333333333,0.5041666666666667,0.59375,0.5524305555555554,0.578125,0.5125,0.6354166666666666,0.5748106060606061,0.002598752598752599,0.0014992503748125937,0.00655307994757536,0.01614951097887327,0.10483401281304601,0.04633204633204634,0.19886081272218664,0.2764700979456047,0.20966802562609202,0.09266409266409267,0.39603960396039606,0.5422657358323443,0.12474012474012473,0.04497751124437781,0.19801980198019803,0.3337688821204773,2.0,1.5,3.0,2.347394580727914
primary,test,ewma,"alpha=0.7, theta=0.1419",33,714.1999999999999,161,0.22542705124614956,340,0.007934285447587043,6443,13596,0.47388937922918506,6513,13596,0.4790379523389232,2.5,2.0,3.0,3.227272727272727,3.0,2.5,3.512499999999818,3.9545454545454546,2.0,1.5,2.0,2.1515151515151514,2.0,1.5,3.0,2.742424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.375,0.3522727272727273,0.3125,0.1875,0.375,0.3371212121212121,0.5354166666666667,0.4916666666666667,0.55625,0.5365214646464647,0.5697916666666667,0.47604166666666664,0.6239583333333334,0.5617108585858587,0.0015592515592515593,0.0005824111822947001,0.004140786749482402,0.01110604075189746,0.07164179104477611,0.034482758620689655,0.12422360248447203,0.30270499162272413,0.14328358208955222,0.06988934187536401,0.24844720496894407,0.5947355231865833,0.06204756980351603,0.034482758620689655,0.1254407789929477,0.43263078733013205,1.5,1.0,2.0,1.6031159420289853
primary,test,majority_vote,"k=3, theta=0.1545",33,714.1999999999999,147,0.20582469896387567,487,0.011364697096984972,5909,13596,0.4346131215063254,5948,13596,0.4374816122388938,2.0,1.0,2.5,2.4393939393939394,2.5,1.5,3.0,3.090909090909091,2.0,1.0,2.5,2.1515151515151514,2.5,1.5,3.0,2.6818181818181817,0.5,0.0,1.0,0.48484848484848486,0.5,0.0,0.5,0.4393939393939394,0.25,0.1875,0.375,0.30113636363636365,0.25,0.1875,0.375,0.29545454545454547,0.5135416666666667,0.425,0.5458333333333333,0.499810606060606,0.5416666666666666,0.43020833333333336,0.5822916666666667,0.5268623737373738,0.0031185031185031187,0.0016460905349794238,0.005813953488372093,0.015229875906450419,0.07514088916718847,0.04633204633204634,0.19801980198019803,0.2525704553380115,0.15028177833437695,0.09266409266409267,0.38885288399222295,0.49892277860289774,0.09900990099009901,0.04633204633204634,0.18423746161719548,0.30661068361311516,2.0,2.0,3.0,2.595640817515817
primary,test,debounce,"T=3, theta=0.31",33,714.1999999999999,126,0.17642117054046488,1315,0.03068701577522636,4643,13596,0.3414974992644896,4817,13596,0.3542953809944101,2.0,2.0,2.5,2.4393939393939394,2.5,2.0,3.0,3.0,2.0,2.0,2.5,2.4242424242424243,2.5,2.0,3.0,3.0,2.0,2.0,2.0,1.5303030303030303,2.0,2.0,2.0,1.4848484848484849,0.25,0.1875,0.25,0.2518939393939394,0.25,0.1875,0.3125,0.24053030303030304,0.48125,0.4302083333333333,0.546875,0.4805239898989899,0.48541666666666666,0.4239583333333333,0.546875,0.49826388888888884,0.01440922190201729,0.0064065230052417,0.023255813953488372,0.03579045390173282,0.13493253373313344,0.07957559681697612,0.192102454642476,0.19072554726994023,0.2698650674662669,0.15915119363395225,0.384204909284952,0.36781092341053345,0.0777705767984446,0.04633204633204634,0.12409513960703206,0.09099444117144573,6.8,5.4,8.625,8.796222810111699
primary,test,margin,"m=0.2, theta=0.1545",33,714.1999999999999,125,0.17502100252030245,356,0.008307663586297023,6117,13596,0.4499117387466902,6399,13596,0.4706531332744925,1.5,1.0,3.0,2.727272727272727,3.0,1.5,3.5,4.015151515151516,1.0,0.0,2.0,1.9848484848484849,1.5,0.5,3.0,2.4696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.375,0.32765151515151514,0.3125,0.25,0.4375,0.3371212121212121,0.44166666666666665,0.375,0.5125,0.4774305555555556,0.49895833333333334,0.3927083333333333,0.5770833333333333,0.5095643939393941,0.0016963528413910093,0.0005824111822947001,0.005197505197505198,0.011422882583842317,0.09211873080859774,0.034944670937682006,0.1791044776119403,0.23049769727195926,0.18423746161719548,0.06988934187536401,0.3582089552238806,0.4565390665581787,0.06141248720573183,0.034944670937682006,0.1791044776119403,0.25863069513048065,1.6,1.3333333333333333,2.9166666666666665,2.2460117685518144
primary,test,hysteresis,"m=0.3, T=2, theta=0.3543",33,714.1999999999999,124,0.17362083450014004,1518,0.035424250910109215,3967,13596,0.2917769932333039,4279,13596,0.31472491909385114,1.5,1.0,2.0,1.893939393939394,1.5,1.0,3.0,2.378787878787879,1.5,1.0,2.0,1.8333333333333333,1.5,1.0,3.0,2.242424242424242,1.0,1.0,1.0,0.7575757575757576,1.0,1.0,1.0,0.8484848484848485,0.1875,0.125,0.25,0.22916666666666666,0.25,0.1875,0.25,0.22348484848484848,0.38229166666666664,0.30833333333333335,0.4552083333333333,0.3878156565656566,0.4,0.35520833333333335,0.48125,0.4240214646464646,0.015921616656460504,0.006988934187536401,0.021613832853025938,0.0405975381630705,0.11022657685241886,0.06896551724137931,0.19801980198019803,0.19135515057470734,0.19753086419753085,0.13977868375072802,0.3706563706563707,0.36705888559459837,0.04938271604938271,0.03316749585406302,0.09900990099009901,0.09871659384120444,8.666666666666666,5.0,11.5,10.98934249906472
primary,test,trust,"r=0.5, tau=0.5, theta=0.4013",33,714.1999999999999,86,0.12041444973396809,1435,0.0334873518155512,4015,13596,0.2953074433656958,4219,13596,0.3103118564283613,3.0,2.5,3.0,2.8181818181818183,3.0,3.0,3.0,3.409090909090909,3.0,2.5,3.0,2.772727272727273,3.0,3.0,3.0,3.378787878787879,1.0,0.5,1.0,0.7878787878787878,1.0,1.0,1.0,0.8939393939393939,0.25,0.1875,0.3125,0.2803030303030303,0.25,0.1875,0.3125,0.2765151515151515,0.47291666666666665,0.41041666666666665,0.5166666666666667,0.46152146464646465,0.484375,0.4375,0.5416666666666666,0.48737373737373735,0.004268943436499467,0.00078064012490242,0.02471042471042471,0.03784097181862634,0.05813953488372093,0.034482758620689655,0.08645533141210375,0.1381141495802381,0.09876543209876543,0.06896551724137931,0.1729106628242075,0.26245905940087916,0.0,0.0,0.04950495049504951,0.10170750528391513,9.0,5.0,14.875,13.811332070707069
primary,test,sprt,"alpha=0.001, beta=0.01804",33,714.1999999999999,103,0.14421730607672922,3032,0.07075515728554094,2501,13596,0.18395116210650192,2713,13596,0.19954398352456604,1.5,1.0,2.0,1.621212121212121,1.5,1.0,2.5,2.0303030303030303,1.5,1.0,2.0,1.606060606060606,1.5,1.0,2.5,2.0303030303030303,2.0,1.0,2.0,2.757575757575758,1.0,1.0,2.0,2.1818181818181817,0.1875,0.125,0.1875,0.1875,0.1875,0.125,0.1875,0.1875,0.3,0.21875,0.34270833333333334,0.30050505050505044,0.3229166666666667,0.2635416666666667,0.37395833333333334,0.32881944444444444,0.0395010395010395,0.014560279557367502,0.08085808580858085,0.07295717090790824,0.13977868375072802,0.05813953488372093,0.1729106628242075,0.15275381729240514,0.27955736750145604,0.06896551724137931,0.39603960396039606,0.28307194096532146,0.0,0.0,0.0,0.026578693515480704,20.333333333333336,15.333333333333334,27.92840909090903,30.137716450216452
primary,test,hmm,"rho=0.0001, theta=0.4013",33,714.1999999999999,94,0.13161579389526745,2340,0.05460655278633436,3079,13596,0.22646366578405414,3217,13596,0.23661370991468078,2.0,1.5,2.5,2.106060606060606,3.0,1.5,3.0,2.712121212121212,2.0,1.0,2.0,2.0757575757575757,3.0,1.5,3.0,2.696969696969697,1.0,1.0,2.0,2.0303030303030303,1.0,1.0,1.0,1.8333333333333333,0.25,0.1875,0.25,0.23674242424242425,0.25,0.1875,0.25,0.23106060606060605,0.3802083333333333,0.2864583333333333,0.43645833333333334,0.370770202020202,0.36354166666666665,0.325,0.4510416666666667,0.3950441919191919,0.013513513513513514,0.004076878276062901,0.050672182006204755,0.057125894366195744,0.08645533141210375,0.04497751124437781,0.14814814814814814,0.14109663824291527,0.1729106628242075,0.06988934187536401,0.2962962962962963,0.2620855329452745,0.035820895522388055,0.0,0.07863695937090433,0.07519906973471066,16.166666666666664,6.916666666666666,21.136363636363637,25.638082750582747
