mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
threshold,M,3,132,3.0,0.5606060606060606,0.5707070707070707,0.0
threshold,M,10,132,9.0,0.48484848484848486,0.5984848484848485,0.0
threshold,M,30,132,15.0,0.3787878787878788,0.5734848484848485,0.0
threshold,M,60,132,8.5,0.19696969696969696,0.4869949494949495,0.0
threshold,X,3,132,3.0,0.5984848484848485,0.5858585858585859,0.0
threshold,X,10,132,4.5,0.4015151515151515,0.5151515151515151,0.0
threshold,X,30,132,10.0,0.38636363636363635,0.5181818181818182,0.0
threshold,X,60,132,5.0,0.2803030303030303,0.49949494949494955,0.0
moving_average,M,3,132,2.0,0.4772727272727273,0.808080808080808,0.0
moving_average,M,10,132,6.0,0.3712121212121212,0.5909090909090909,0.0
moving_average,M,30,132,4.0,0.2196969696969697,0.495959595959596,0.0
moving_average,M,60,132,3.0,0.10606060606060606,0.4042929292929293,0.0
moving_average,X,3,132,2.0,0.4772727272727273,0.7904040404040403,0.0
moving_average,X,10,132,2.0,0.3333333333333333,0.5325757575757576,0.0
moving_average,X,30,132,2.0,0.21212121212121213,0.453030303030303,0.0
moving_average,X,60,132,2.0,0.1590909090909091,0.4337121212121212,0.0
ewma,M,3,132,3.0,0.5378787878787878,0.7045454545454546,0.0
ewma,M,10,132,8.0,0.3939393939393939,0.5954545454545455,0.0
ewma,M,30,132,5.0,0.2727272727272727,0.5179292929292929,0.0
ewma,M,60,132,3.5,0.14393939393939395,0.42891414141414136,0.0
ewma,X,3,132,3.0,0.5303030303030303,0.696969696969697,0.0
ewma,X,10,132,3.0,0.3787878787878788,0.5196969696969697,0.0
ewma,X,30,132,4.0,0.2878787878787879,0.47474747474747475,0.0
ewma,X,60,132,3.0,0.21212121212121213,0.45467171717171717,0.0
majority_vote,M,3,132,3.0,0.5075757575757576,0.6919191919191919,0.0
majority_vote,M,10,132,5.0,0.3409090909090909,0.5545454545454546,0.0
majority_vote,M,30,132,4.0,0.2196969696969697,0.47398989898989896,0.0
majority_vote,M,60,132,1.0,0.11363636363636363,0.38699494949494945,1.0
majority_vote,X,3,132,2.0,0.4696969696969697,0.6565656565656566,0.0
majority_vote,X,10,132,2.0,0.3560606060606061,0.49393939393939396,1.0
majority_vote,X,30,132,1.0,0.2196969696969697,0.4356060606060606,1.0
majority_vote,X,60,132,2.0,0.1590909090909091,0.4131313131313131,0.0
debounce,M,3,132,3.0,0.5075757575757576,0.8181818181818182,1.0
debounce,M,10,132,3.0,0.26515151515151514,0.5068181818181818,2.0
debounce,M,30,132,3.0,0.12878787878787878,0.3704545454545454,2.0
debounce,M,60,132,2.0,0.06060606060606061,0.2976010101010101,2.0
debounce,X,3,132,3.0,0.5151515151515151,0.8181818181818182,0.0
debounce,X,10,132,2.0,0.2803030303030303,0.48333333333333334,2.0
debounce,X,30,132,2.0,0.11363636363636363,0.31161616161616157,2.0
debounce,X,60,132,2.0,0.09848484848484848,0.30896464646464644,2.0
margin,M,3,132,3.0,0.5227272727272727,0.5505050505050505,0.0
margin,M,10,132,5.0,0.38636363636363635,0.5378787878787878,0.0
margin,M,30,132,6.0,0.2878787878787879,0.5181818181818182,0.0
margin,M,60,132,3.5,0.15151515151515152,0.4316919191919192,0.0
margin,X,3,132,3.0,0.5303030303030303,0.553030303030303,0.0
margin,X,10,132,3.0,0.3333333333333333,0.46136363636363636,0.0
margin,X,30,132,2.5,0.25757575757575757,0.45505050505050504,0.0
margin,X,60,132,2.0,0.1893939393939394,0.44027777777777777,0.0
hysteresis,M,3,132,2.0,0.4696969696969697,0.6515151515151515,1.0
hysteresis,M,10,132,3.0,0.20454545454545456,0.44393939393939397,1.0
hysteresis,M,30,132,3.0,0.1590909090909091,0.3338383838383838,1.0
hysteresis,M,60,132,1.0,0.06060606060606061,0.26679292929292925,1.0
hysteresis,X,3,132,1.0,0.42424242424242425,0.6161616161616161,1.0
hysteresis,X,10,132,1.0,0.24242424242424243,0.38636363636363635,1.0
hysteresis,X,30,132,1.0,0.12878787878787878,0.2861111111111111,1.0
hysteresis,X,60,132,1.0,0.12121212121212122,0.2626262626262626,1.0
trust,M,3,132,3.0,0.5984848484848485,0.8383838383838385,0.0
trust,M,10,132,5.0,0.30303030303030304,0.5484848484848486,1.0
trust,M,30,132,4.0,0.13636363636363635,0.3265151515151515,1.0
trust,M,60,132,3.0,0.06818181818181818,0.2361111111111111,1.0
trust,X,3,132,3.0,0.6136363636363636,0.8333333333333334,0.0
trust,X,10,132,3.0,0.2727272727272727,0.4863636363636364,1.0
trust,X,30,132,3.0,0.12878787878787878,0.28434343434343434,1.0
trust,X,60,132,3.0,0.10606060606060606,0.2420454545454545,1.0
sprt,M,3,132,2.0,0.45454545454545453,0.5833333333333334,1.0
sprt,M,10,132,2.0,0.16666666666666666,0.3659090909090909,1.0
sprt,M,30,132,2.0,0.09090909090909091,0.22727272727272724,2.0
sprt,M,60,132,1.0,0.03787878787878788,0.13876262626262623,2.0
sprt,X,3,132,2.0,0.42424242424242425,0.5505050505050505,1.0
sprt,X,10,132,1.0,0.17424242424242425,0.3196969696969697,2.0
sprt,X,30,132,1.0,0.07575757575757576,0.19368686868686866,3.0
sprt,X,60,132,1.0,0.07575757575757576,0.1381313131313131,2.0
hmm,M,3,132,3.0,0.5681818181818182,0.7146464646464646,0.0
hmm,M,10,132,4.0,0.2196969696969697,0.4409090909090909,1.0
hmm,M,30,132,3.0,0.09090909090909091,0.25530303030303025,1.0
hmm,M,60,132,3.0,0.045454545454545456,0.16931818181818178,1.5
hmm,X,3,132,3.0,0.5303030303030303,0.6691919191919191,0.0
hmm,X,10,132,2.0,0.21212121212121213,0.40681818181818186,1.0
hmm,X,30,132,2.0,0.11363636363636363,0.2391414141414141,3.0
hmm,X,60,132,2.0,0.09090909090909091,0.16792929292929287,1.0
