target_name,target_false_locks_per_hour,mechanism,params_str,in_band,n_in_band_cells,n_excluded_absorbing,val_false_locks_per_hour,val_lockout_mean_frames,val_ania_median,val_far_frame,val_miss_rate,best_smoother
primary,0.125,threshold,theta=0.05732,True,3,0,0.1399482191589112,1.14,3.0,0.5384469696969697,0.4090909090909091,debounce
primary,0.125,moving_average,"k=3, theta=0.1978",True,7,0,0.1427471835420894,2.362745098039216,2.5,0.5515467171717172,0.2424242424242424,debounce
primary,0.125,ewma,"alpha=0.7, theta=0.1419",True,6,8,0.113358057518718,1.9259259259259256,3.0,0.5414772727272728,0.3143939393939394,debounce
primary,0.125,majority_vote,"k=3, theta=0.1545",True,6,0,0.1315513260093765,2.776595744680851,2.0,0.4943181818181818,0.231060606060606,debounce
primary,0.125,debounce,"T=3, theta=0.31",True,6,3,0.1385487369673221,8.06060606060606,2.0,0.4591540404040403,0.1875,debounce
primary,0.125,margin,"m=0.2, theta=0.1545",True,5,177,0.1259533972430201,1.8444444444444448,2.0,0.4900568181818182,0.3162878787878788,debounce
primary,0.125,hysteresis,"m=0.3, T=2, theta=0.3543",True,17,613,0.1357497725841438,9.1340206185567,2.0,0.3846590909090909,0.1893939393939394,debounce
primary,0.125,trust,"r=0.5, tau=0.5, theta=0.4013",True,5,380,0.1091596109439507,12.461538461538462,3.0,0.4484848484848484,0.2443181818181818,debounce
primary,0.125,sprt,"alpha=0.001, beta=0.01804",True,29,0,0.1427471835420894,24.15686274509804,1.5,0.2853535353535353,0.1590909090909091,debounce
primary,0.125,hmm,"rho=0.0001, theta=0.4013",True,49,1,0.1427471835420894,18.19607843137255,2.5,0.3513573232323232,0.2045454545454545,debounce
sensitivity_1,0.5,threshold,theta=0.1301,True,2,0,0.5248058218459171,1.2293333333333334,2.0,0.4408775252525253,0.2632575757575757,debounce
sensitivity_1,0.5,moving_average,"k=2, theta=0.2689",True,11,34,0.5541949478692884,1.9646464646464648,1.0,0.4018623737373737,0.1666666666666666,debounce
sensitivity_1,0.5,ewma,"alpha=0.7, theta=0.2497",True,8,37,0.5220068574627388,1.7319034852546915,1.5,0.409090909090909,0.1761363636363636,debounce
sensitivity_1,0.5,majority_vote,"k=3, theta=0.2891",True,6,22,0.5248058218459171,2.837333333333333,1.0,0.3750315656565656,0.1458333333333333,debounce
sensitivity_1,0.5,debounce,"T=2, theta=0.3543",True,5,19,0.5569939122524666,4.369346733668341,1.0,0.3300189393939393,0.1174242424242424,debounce
sensitivity_1,0.5,margin,"m=0.3, theta=0.2891",True,4,0,0.5206073752711498,2.252688172043011,1.0,0.333175505050505,0.1553030303030303,debounce
sensitivity_1,0.5,hysteresis,"m=0.3, T=2, theta=0.5498",True,17,21,0.5262053040375062,14.018617021276595,1.0,0.224810606060606,0.0928030303030303,debounce
sensitivity_1,0.5,trust,"r=0.5, tau=0.5, theta=0.6225",True,8,15,0.5555944300608775,19.46095717884131,1.0,0.2037247474747474,0.0890151515151515,debounce
sensitivity_1,0.5,sprt,"alpha=0.01, beta=0.2687",True,8,0,0.5010146245889021,11.40782122905028,0.0,0.1624368686868686,0.096590909090909,debounce
sensitivity_1,0.5,hmm,"rho=0.001, theta=0.9802",True,38,0,0.5723882163599469,10.02200488997555,0.0,0.1665719696969697,0.0890151515151515,debounce
sensitivity_2,0.0416667,threshold,theta=0.02931,True,3,0,0.0461829123224407,1.0303030303030305,3.5,0.5982323232323231,0.4696969696969697,debounce
sensitivity_2,0.0416667,moving_average,"k=2, theta=0.07586",True,6,0,0.0461829123224407,1.5151515151515151,3.0,0.6157828282828283,0.3939393939393939,debounce
sensitivity_2,0.0416667,ewma,"alpha=0.7, theta=0.09112",True,8,0,0.0475823945140298,1.588235294117647,3.0,0.6300505050505051,0.3977272727272727,debounce
sensitivity_2,0.0416667,majority_vote,"k=3, theta=0.09112",True,7,0,0.0461829123224407,2.4545454545454546,2.5,0.5603535353535354,0.3257575757575757,debounce
sensitivity_2,0.0416667,debounce,"T=2, theta=0.09975",True,4,1,0.037786019172906,3.2222222222222223,3.0,0.554861111111111,0.3314393939393939,debounce
sensitivity_2,0.0416667,margin,"m=0.2, theta=0.1301",True,3,0,0.0461829123224407,1.818181818181818,2.5,0.536489898989899,0.3674242424242424,debounce
sensitivity_2,0.0416667,hysteresis,"m=0.3, T=2, theta=0.2689",True,12,6,0.0475823945140298,8.117647058823529,2.5,0.4727272727272727,0.2746212121212121,debounce
sensitivity_2,0.0416667,trust,"r=0.5, tau=0.5, theta=0.3318",True,6,7,0.0447834301308515,8.59375,3.0,0.5614898989898991,0.3882575757575757,debounce
sensitivity_2,0.0416667,sprt,"alpha=0.1, beta=1.343e-05",False,0,60,0.0657756630046882,29.78723404255319,3.0,0.4281565656565656,0.2367424242424242,debounce
sensitivity_2,0.0416667,hmm,"rho=0.05, theta=0.001007",True,8,0,0.0475823945140298,1.1470588235294117,3.5,0.6226325757575758,0.4412878787878788,debounce
