Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.05732,"0.544 [0.478, 0.635]",7144/13596,"0.375 [0.312, 0.500]","0.0015 [0.0006, 0.0038]",215
Moving avg,"k=3, theta=0.1978","0.578 [0.512, 0.635]",6266/13596,"0.250 [0.188, 0.375]","0.0026 [0.0015, 0.0066]",517
EWMA,"alpha=0.7, theta=0.1419","0.570 [0.476, 0.624]",6513/13596,"0.312 [0.188, 0.375]","0.0016 [0.0006, 0.0041]",340
Majority vote,"k=3, theta=0.1545","0.542 [0.430, 0.582]",5948/13596,"0.250 [0.188, 0.375]","0.0031 [0.0016, 0.0058]",487
Debounce,"T=3, theta=0.31","0.485 [0.424, 0.547]",4817/13596,"0.250 [0.188, 0.312]","0.0144 [0.0064, 0.0233]",1315
Margin,"m=0.2, theta=0.1545","0.499 [0.393, 0.577]",6399/13596,"0.312 [0.250, 0.438]","0.0017 [0.0006, 0.0052]",356
Hysteresis,"m=0.3, T=2, theta=0.3543","0.400 [0.355, 0.481]",4279/13596,"0.250 [0.188, 0.250]","0.0159 [0.0070, 0.0216]",1518
Trust,"r=0.5, tau=0.5, theta=0.4013","0.484 [0.438, 0.542]",4219/13596,"0.250 [0.188, 0.312]","0.0043 [0.0008, 0.0247]",1435
SPRT,"alpha=0.001, beta=0.01804","0.323 [0.264, 0.374]",2713/13596,"0.188 [0.125, 0.188]","0.0395 [0.0146, 0.0809]",3032
HMM (supp.),"rho=0.0001, theta=0.4013","0.364 [0.325, 0.451]",3217/13596,"0.250 [0.188, 0.250]","0.0135 [0.0041, 0.0507]",2340
