Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.510 [0.225, 0.784]",0.703,502,"1.019 [0.451, 1.491]","0.649 [0.280, 0.994]","1.10 [1.03, 1.22]"
Moving avg,"0.562 [0.310, 0.919]",0.743,531,"1.124 [0.593, 1.802]","0.743 [0.310, 1.044]","1.92 [1.60, 2.20]"
EWMA,"0.609 [0.188, 0.743]",0.699,499,"1.218 [0.376, 1.485]","0.763 [0.263, 1.037]","1.63 [1.48, 2.25]"
Majority vote,"0.545 [0.247, 0.756]",0.648,463,"1.089 [0.494, 1.395]","0.510 [0.256, 0.829]","2.62 [2.33, 3.50]"
Debounce,"0.573 [0.276, 0.865]",0.679,485,"1.146 [0.629, 1.628]","0.510 [0.280, 0.904]","3.90 [3.33, 4.32]"
Margin,"0.530 [0.188, 0.743]",0.626,447,"1.060 [0.376, 1.489]","0.649 [0.180, 0.792]","1.92 [1.59, 2.40]"
Hysteresis,"0.575 [0.409, 0.681]",0.566,404,"1.150 [0.817, 1.312]","0.276 [0.187, 0.365]","11.50 [8.12, 15.12]"
Trust,"0.560 [0.405, 0.741]",0.606,433,"1.118 [0.810, 1.383]","0.435 [0.346, 0.463]","19.18 [15.82, 25.35]"
SPRT,"0.543 [0.375, 0.649]",0.563,402,"1.066 [0.765, 1.221]","0.249 [0.128, 0.407]","10.00 [8.71, 13.24]"
HMM (supp.),"0.583 [0.365, 0.814]",0.622,444,"1.166 [0.731, 1.393]","0.440 [0.315, 0.556]","7.31 [4.95, 12.61]"
