Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"2.50 [1.50, 3.50]","0.50 [0.00, 1.00]","0.00 [0.00, 0.00]","2.00 [1.50, 3.00]","0.312 [0.250, 0.375]"
Moving avg,"1.50 [1.00, 2.50]","1.00 [1.00, 1.50]","0.00 [0.00, 0.00]","1.00 [1.00, 1.50]","0.188 [0.125, 0.250]"
EWMA,"2.00 [1.00, 3.00]","1.00 [1.00, 2.00]","0.00 [0.00, 0.00]","1.50 [1.00, 2.00]","0.188 [0.188, 0.250]"
Majority vote,"1.00 [1.00, 2.50]","1.00 [1.00, 2.00]","1.00 [1.00, 1.00]","1.50 [1.00, 1.50]","0.188 [0.125, 0.250]"
Debounce,"1.00 [1.00, 2.50]","1.00 [1.00, 1.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.50]","0.125 [0.125, 0.188]"
Margin,"1.50 [0.00, 2.00]","0.50 [0.00, 2.00]","0.00 [0.00, 0.00]","1.00 [0.00, 1.00]","0.125 [0.125, 0.250]"
Hysteresis,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.062 [0.062, 0.125]"
Trust,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","2.50 [2.00, 3.50]","1.00 [1.00, 1.00]","0.062 [0.062, 0.125]"
SPRT,"0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","0.062 [0.062, 0.125]"
HMM (supp.),"0.50 [0.00, 1.00]","0.50 [0.00, 1.00]","2.00 [2.00, 2.51]","0.00 [0.00, 0.50]","0.062 [0.062, 0.125]"
