partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.04311,threshold,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,6,6,12,9,9,6,6.8,0.8823529411764706,0.022058823529411766,1.7647058823529411,1.3235294117647058,0.8823529411764706,1.5,16,0.0,2.25,0.0,0.0625,0.1875,104,412,0.0,0.0,0.0625,0.6875,16,0.0,0.5625,0.0,0.0,0.11770833333333333,44,412,0.0,0.0,0.0,0.8125
test,theta=0.04311,threshold,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,0,0,0,0,0,0,22.233333333333334,0.0,0.0,0.0,0.0,0.0,,16,0.0,6.9375,0.0,0.1875,0.30104166666666665,167,412,0.0,0.0,0.0,0.8125,16,2.0,7.0,1.0,0.125,0.4427083333333333,181,412,0.0,0.0,0.0,0.6875
test,theta=0.04311,threshold,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,0,0,0,0,0,0,12.716666666666667,0.0,0.0,0.0,0.0,0.0,,16,3.0,6.5,2.0,0.3125,0.46770833333333334,137,412,0.0,0.0,0.0,0.6875,16,0.0,1.0625,0.0,0.0625,0.19375,79,412,0.0,0.0,0.0,0.75
test,theta=0.04311,threshold,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,1,1,2,1,1,1,29.0,0.034482758620689655,0.0005747126436781609,0.06896551724137931,0.034482758620689655,0.034482758620689655,1.0,16,1.0,5.0,0.0,0.0625,0.35625,147,412,0.0,0.0,0.0,0.6875,16,0.5,4.25,0.0,0.0625,0.3802083333333333,194,412,0.0,0.0,0.0,0.75
test,theta=0.04311,threshold,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,0,0,0,0,0,0,20.25,0.0,0.0,0.0,0.0,0.0,,16,0.0,3.1875,0.0,0.125,0.38645833333333335,173,412,0.0,0.0,0.0,0.6875,16,0.0,3.1875,0.0,0.125,0.25729166666666664,105,412,0.0,0.0,0.0,0.6875
test,theta=0.04311,threshold,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,2,2,4,2,2,2,21.35,0.09367681498829039,0.00156128024980484,0.18735362997658078,0.09367681498829039,0.09367681498829039,1.0,16,0.0,3.4375,0.0,0.125,0.221875,128,412,0.0,0.0,0.0625,0.5625,16,0.0,3.25,0.0,0.125,0.3,105,412,0.0,0.0,0.0,0.8125
test,theta=0.04311,threshold,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,1,1,2,1,1,1,15.433333333333334,0.06479481641468682,0.0010799136069114472,0.12958963282937364,0.06479481641468682,0.06479481641468682,1.0,16,18.5,21.875,8.5,0.75,0.85,353,412,0.0,0.0,0.0,0.0625,16,20.0,24.375,16.5,0.9375,0.975,388,412,0.0,0.0,0.0,0.0625
test,theta=0.04311,threshold,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,9,9,18,11,13,9,27.916666666666668,0.32238805970149254,0.006567164179104477,0.6447761194029851,0.46567164179104475,0.32238805970149254,1.2222222222222223,16,0.5,5.6875,0.0,0.1875,0.26979166666666665,103,412,0.0,0.0,0.0,0.75,16,0.0,0.875,0.0,0.0,0.171875,58,412,0.0,0.0,0.0,0.875
test,theta=0.04311,threshold,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,0,0,0,0,0,0,17.2,0.0,0.0,0.0,0.0,0.0,,16,10.0,22.0,10.0,0.875,0.9260416666666667,361,412,0.0,0.0,0.0,0.125,16,10.0,22.0,10.0,0.875,0.921875,367,412,0.0,0.0,0.0,0.125
test,theta=0.04311,threshold,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,0,0,0,0,0,0,16.116666666666667,0.0,0.0,0.0,0.0,0.0,,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0
test,theta=0.04311,threshold,primary,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1295,2,2,4,2,2,2,21.583333333333332,0.09266409266409267,0.0015444015444015444,0.18532818532818535,0.09266409266409267,0.09266409266409267,1.0,16,0.0,1.75,0.0,0.0,0.08958333333333333,49,412,0.0,0.0,0.0,0.875,16,0.0,1.5,0.0,0.125,0.26458333333333334,95,412,0.0,0.0,0.0,0.625
test,theta=0.04311,threshold,primary,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1295,4,4,8,4,5,4,21.583333333333332,0.18532818532818535,0.003088803088803089,0.3706563706563707,0.23166023166023167,0.18532818532818535,1.0,16,1.5,7.5,0.0,0.25,0.4135416666666667,126,412,0.0,0.0,0.0,0.6875,16,3.0,6.5,0.0,0.375,0.5072916666666667,177,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,5EF64122-B513-46AE-BCF1-E62AAC285D2C,754,5,5,10,6,6,5,12.566666666666666,0.3978779840848806,0.007957559681697613,0.7957559681697612,0.4774535809018568,0.3978779840848806,1.2,16,0.0,3.9375,0.0,0.125,0.165625,74,412,0.0,0.0,0.0,0.8125,16,0.0,0.8125,0.0,0.0,0.06875,36,412,0.0,0.0,0.0,0.9375
test,theta=0.04311,threshold,primary,61976C24-1C50-4355-9C49-AAE44A7D09F6,1717,1,1,2,1,1,1,28.616666666666667,0.034944670937682006,0.0005824111822947001,0.06988934187536401,0.034944670937682006,0.034944670937682006,1.0,16,0.0,6.3125,0.0,0.25,0.23229166666666667,92,412,0.0,0.0,0.0,0.6875,16,0.0,1.25,0.0,0.0,0.125,55,412,0.0,0.0,0.0,0.875
test,theta=0.04311,threshold,primary,78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2371,21,21,42,35,33,21,39.516666666666666,0.5314213412062421,0.014761703922395614,1.0628426824124841,0.8350906790383804,0.5314213412062421,1.6666666666666667,16,1.0,3.1875,0.0,0.1875,0.3625,142,412,0.0,0.0,0.0,0.5,16,1.5,6.375,0.0,0.25,0.33229166666666665,144,412,0.0,0.0,0.0,0.5
test,theta=0.04311,threshold,primary,7CE37510-56D0-4120-A1CF-0E23351428D2,1924,3,3,6,3,3,3,32.06666666666667,0.09355509355509355,0.0015592515592515593,0.1871101871101871,0.09355509355509355,0.09355509355509355,1.0,16,0.0,6.1875,0.0,0.125,0.22916666666666666,105,412,0.0,0.0,0.0,0.6875,16,0.0,5.75,0.0,0.3125,0.4395833333333333,141,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,1809,7,7,14,11,9,7,30.15,0.23217247097844113,0.006080707573244887,0.46434494195688225,0.2985074626865672,0.23217247097844113,1.5714285714285714,16,0.0,6.875,0.0,0.1875,0.26145833333333335,117,412,0.0,0.0,0.0,0.75,16,0.0,6.3125,0.0,0.0,0.16354166666666667,122,412,0.0,0.0,0.0,0.9375
test,theta=0.04311,threshold,primary,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,1879,17,17,34,355,27,15,31.316666666666666,0.5428419372006387,0.18893028206492815,1.0856838744012773,0.8621607237892496,0.47897817988291647,20.88235294117647,16,0.0,0.625,0.0,0.0625,0.06979166666666667,17,412,0.0,0.1875,0.1875,0.9375,16,0.0,0.375,0.0,0.0,0.06458333333333334,13,412,0.0,0.1875,0.1875,0.9375
test,theta=0.04311,threshold,primary,9759096F-1119-4E19-A0AD-6F16989C7E1C,1954,47,47,94,112,62,42,32.56666666666667,1.4431934493346978,0.057318321392016376,2.8863868986693957,1.9037871033776865,1.2896622313203683,2.382978723404255,16,0.0,3.4375,0.0,0.1875,0.26458333333333334,125,412,0.0,0.0,0.0625,0.5625,16,1.0,3.125,0.0,0.25,0.3979166666666667,142,412,0.0,0.0,0.0625,0.5625
test,theta=0.04311,threshold,primary,9DC38D04-E82E-4F29-AB52-B476535226F2,1909,39,39,78,71,58,37,31.816666666666666,1.2257726558407542,0.03719224724986904,2.4515453116815085,1.822943949711891,1.1629125196437926,1.8205128205128205,16,0.0,4.5,0.0,0.0,0.17291666666666666,109,412,0.0,0.0,0.0625,0.875,16,0.0,3.625,0.0,0.125,0.28854166666666664,103,412,0.0,0.0,0.0,0.8125
test,theta=0.04311,threshold,primary,A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,1179,5,5,10,5,5,5,19.65,0.2544529262086514,0.004240882103477523,0.5089058524173028,0.2544529262086514,0.2544529262086514,1.0,16,0.0,3.5625,0.0,0.0625,0.21354166666666666,69,412,0.0,0.0,0.0,0.9375,16,1.0,2.6875,0.0,0.1875,0.20833333333333334,61,412,0.0,0.0,0.0625,0.6875
test,theta=0.04311,threshold,primary,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,1475,0,0,0,0,0,0,24.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,6.0,20.5,6.0,0.625,0.71875,335,412,0.0,0.0,0.0,0.25,16,3.0,9.5,1.0,0.375,0.5635416666666666,201,412,0.0,0.0,0.0,0.4375
test,theta=0.04311,threshold,primary,B09E373F-8A54-44C8-895B-0039390B859F,1597,11,11,22,19,18,11,26.616666666666667,0.41327489041953663,0.011897307451471509,0.8265497808390733,0.6762680025046963,0.41327489041953663,1.7272727272727273,16,3.5,16.0,1.0,0.375,0.5291666666666667,267,412,0.0,0.0,0.0,0.5,16,2.5,5.3125,0.0,0.1875,0.3666666666666667,134,412,0.0,0.0,0.125,0.5
test,theta=0.04311,threshold,primary,B9724848-C7E2-45F4-9B3F-A1F38D864495,1497,20,20,40,40,29,19,24.95,0.8016032064128257,0.026720106880427523,1.6032064128256514,1.1623246492985972,0.7615230460921844,2.0,16,0.0,1.875,0.0,0.1875,0.25729166666666664,91,412,0.0,0.0,0.0,0.75,16,0.0,3.0,0.0,0.0,0.24791666666666665,140,412,0.0,0.0,0.0625,0.875
test,theta=0.04311,threshold,primary,BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,1633,24,24,48,36,43,24,27.216666666666665,0.8818126148193509,0.02204531537048377,1.7636252296387018,1.5799142682180038,0.8818126148193509,1.5,16,0.0,9.0625,0.0,0.375,0.50625,225,412,0.0,0.0,0.0,0.3125,16,3.0,6.3125,1.5,0.3125,0.540625,150,412,0.0,0.0,0.0,0.5
test,theta=0.04311,threshold,primary,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,937,0,0,0,0,0,0,15.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,3.0,9.375,1.0,0.25,0.5052083333333334,179,412,0.0,0.0,0.0,0.625,16,3.5,12.25,0.0,0.3125,0.521875,243,412,0.0,0.0,0.0,0.25
test,theta=0.04311,threshold,primary,CA820D43-E5E2-42EF-9798-BE56F776370B,1543,9,8,17,15,11,8,25.716666666666665,0.34996759559300067,0.009721322099805573,0.661049902786779,0.42773817239144524,0.3110823071937784,1.6666666666666667,16,0.5,5.75,0.0,0.125,0.2895833333333333,143,412,0.0,0.0,0.0,0.75,16,0.0,2.1875,0.0,0.125,0.19375,88,412,0.0,0.0,0.0,0.6875
test,theta=0.04311,threshold,primary,CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,537,0,0,0,0,0,0,8.95,0.0,0.0,0.0,0.0,0.0,,16,0.0,0.0,0.0,0.0,0.0,0,412,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0,412,0.0,0.0,0.0,1.0
test,theta=0.04311,threshold,primary,CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,694,3,3,6,5,3,3,11.566666666666666,0.25936599423631124,0.007204610951008645,0.5187319884726225,0.25936599423631124,0.25936599423631124,1.6666666666666667,16,0.5,8.75,0.0,0.375,0.359375,171,412,0.0,0.0,0.0625,0.625,16,3.5,9.3125,0.0,0.3125,0.45937500000000003,209,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,1212,1,1,2,1,1,1,20.2,0.04950495049504951,0.0008250825082508251,0.09900990099009901,0.04950495049504951,0.04950495049504951,1.0,16,2.5,6.625,0.5,0.375,0.5427083333333333,213,412,0.0,0.0,0.0,0.4375,16,4.0,12.3125,3.0,0.625,0.74375,256,412,0.0,0.0,0.0,0.1875
test,theta=0.04311,threshold,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,42,41,83,130,61,37,10.95,3.8356164383561646,0.197869101978691,7.5799086757990874,5.570776255707763,3.3789954337899544,3.0952380952380953,16,1.5,4.4375,0.0,0.25,0.4197916666666667,150,412,0.0,0.0,0.3125,0.4375,16,0.5,4.5,0.0,0.3125,0.39375,129,412,0.0,0.0,0.0625,0.5
test,theta=0.04311,threshold,primary,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,677,2,2,4,2,2,2,11.283333333333333,0.17725258493353027,0.0029542097488921715,0.35450516986706054,0.17725258493353027,0.17725258493353027,1.0,16,0.0,1.125,0.0,0.0625,0.18854166666666666,67,412,0.0,0.0,0.0,0.875,16,0.0,0.875,0.0,0.0,0.10416666666666667,38,412,0.0,0.0,0.0,1.0
test,theta=0.04311,threshold,primary,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,966,14,14,28,22,20,14,16.1,0.8695652173913043,0.022774327122153208,1.7391304347826086,1.2422360248447204,0.8695652173913043,1.5714285714285714,16,0.0,0.875,0.0,0.0,0.109375,58,412,0.0,0.0,0.125,0.9375,16,1.0,4.75,0.0,0.0625,0.321875,155,412,0.0,0.0,0.0625,0.6875
test,"k=2, theta=0.07586",moving_average,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,2,2,4,3,2,2,6.8,0.29411764705882354,0.007352941176470588,0.5882352941176471,0.29411764705882354,0.29411764705882354,1.5,16,1.0,2.75,1.0,0.0625,0.24895833333333334,93,412,0.0,0.0,0.0625,0.75,16,1.0,1.4375,1.0,0.0,0.16979166666666667,36,412,0.0,0.0,0.0,1.0
test,"k=2, theta=0.07586",moving_average,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,0,0,0,0,0,0,22.233333333333334,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.0,1.0,0.0625,0.35,155,412,0.0,0.0,0.0,0.8125,16,2.0,5.8125,1.5,0.0625,0.43645833333333334,140,412,0.0,0.0,0.0,0.75
test,"k=2, theta=0.07586",moving_average,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,0,0,0,0,0,0,12.716666666666667,0.0,0.0,0.0,0.0,0.0,,16,3.0,4.9375,2.0,0.3125,0.46875,123,412,0.0,0.0,0.0,0.6875,16,1.0,2.0625,1.0,0.125,0.2989583333333333,85,412,0.0,0.0,0.0,0.75
test,"k=2, theta=0.07586",moving_average,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.25,1.0,0.0625,0.32083333333333336,106,412,0.0,0.0,0.0,0.8125,16,1.0,4.25,1.0,0.0625,0.396875,167,412,0.0,0.0,0.0,0.75
test,"k=2, theta=0.07586",moving_average,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,0,0,0,0,0,0,20.25,0.0,0.0,0.0,0.0,0.0,,16,1.0,3.375,1.0,0.1875,0.4510416666666667,168,412,0.0,0.0,0.0,0.625,16,1.0,3.3125,1.0,0.125,0.33125,102,412,0.0,0.0,0.0,0.75
test,"k=2, theta=0.07586",moving_average,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,0,0,0,0,0,0,21.35,0.0,0.0,0.0,0.0,0.0,,16,1.0,1.125,1.0,0.0625,0.24791666666666667,76,412,0.0,0.0,0.0,0.75,16,1.0,2.9375,1.0,0.125,0.32708333333333334,95,412,0.0,0.0,0.0,0.8125
test,"k=2, theta=0.07586",moving_average,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,1,1,2,1,1,1,15.433333333333334,0.06479481641468682,0.0010799136069114472,0.12958963282937364,0.06479481641468682,0.06479481641468682,1.0,16,5.0,17.125,5.0,0.625,0.7447916666666666,303,412,0.0,0.0,0.0,0.3125,16,19.5,24.3125,13.0,0.875,0.9604166666666667,379,412,0.0,0.0,0.0,0.125
