target_name,mechanism,params_str,partition,genuine_uuid,run,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks
primary,threshold,theta=0.04311,test,00EABED2-271D-49D8-B599-1D4A09240601,25,300,6,6,12,9,9,6
primary,threshold,theta=0.04311,test,00EABED2-271D-49D8-B599-1D4A09240601,42,96,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,00EABED2-271D-49D8-B599-1D4A09240601,44,12,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,15,114,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,16,733,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,17,292,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,18,91,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,19,104,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,0A986513-7828-4D53-AA1F-E02D6DF9561B,8,763,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,11B5EC4D-4133-4289-B475-4E737182A406,7,1407,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,11B5EC4D-4133-4289-B475-4E737182A406,8,333,1,1,2,1,1,1
primary,threshold,theta=0.04311,test,136562B6-95B2-483D-88DC-065F28409FD2,22,145,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,136562B6-95B2-483D-88DC-065F28409FD2,23,747,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,136562B6-95B2-483D-88DC-065F28409FD2,24,323,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,30,406,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,31,875,2,2,4,2,2,2
primary,threshold,theta=0.04311,test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,18,68,0,0,0,0,0,0
primary,threshold,theta=0.04311,test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,19,374,1,1,2,1,1,1
