mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
threshold,M,3,132,0.0,0.3484848484848485,0.3560606060606061,0.0
threshold,M,10,132,2.0,0.2803030303030303,0.4083333333333333,0.0
threshold,M,30,132,0.0,0.18181818181818182,0.36767676767676766,0.0
threshold,M,60,132,0.0,0.10606060606060606,0.33194444444444443,0.0
threshold,X,3,132,0.0,0.3787878787878788,0.37626262626262624,0.0
threshold,X,10,132,0.0,0.2196969696969697,0.3303030303030303,0.0
threshold,X,30,132,0.0,0.19696969696969696,0.3467171717171717,0.0
threshold,X,60,132,1.0,0.1893939393939394,0.38522727272727275,0.0
moving_average,M,3,132,1.0,0.3333333333333333,0.553030303030303,0.0
moving_average,M,10,132,1.0,0.19696969696969696,0.40984848484848485,0.0
moving_average,M,30,132,1.0,0.12878787878787878,0.3325757575757576,0.0
moving_average,M,60,132,1.0,0.06818181818181818,0.2842171717171717,0.0
moving_average,X,3,132,1.0,0.30303030303030304,0.5454545454545454,0.0
moving_average,X,10,132,1.0,0.19696969696969696,0.3348484848484849,0.0
moving_average,X,30,132,1.0,0.14393939393939395,0.3090909090909091,0.0
moving_average,X,60,132,1.0,0.15151515151515152,0.32815656565656565,0.0
ewma,M,3,132,2.0,0.3333333333333333,0.6363636363636364,0.0
ewma,M,10,132,2.0,0.2196969696969697,0.42954545454545456,0.0
ewma,M,30,132,2.0,0.09848484848484848,0.3222222222222222,0.0
ewma,M,60,132,2.0,0.06060606060606061,0.2621212121212121,0.0
ewma,X,3,132,2.0,0.3333333333333333,0.6565656565656565,0.0
ewma,X,10,132,2.0,0.18181818181818182,0.3606060606060606,0.0
ewma,X,30,132,2.0,0.15151515151515152,0.29318181818181815,0.0
ewma,X,60,132,2.0,0.14393939393939395,0.31401515151515147,0.0
majority_vote,M,3,132,1.0,0.2803030303030303,0.5277777777777777,1.0
majority_vote,M,10,132,1.0,0.1590909090909091,0.34015151515151515,1.0
majority_vote,M,30,132,1.0,0.09090909090909091,0.26994949494949494,1.0
majority_vote,M,60,132,1.0,0.05303030303030303,0.21237373737373733,1.0
majority_vote,X,3,132,1.0,0.2727272727272727,0.5176767676767676,1.0
majority_vote,X,10,132,1.0,0.14393939393939395,0.2931818181818182,1.0
majority_vote,X,30,132,1.0,0.12121212121212122,0.24368686868686867,1.0
majority_vote,X,60,132,1.0,0.10606060606060606,0.27449494949494946,1.0
debounce,M,3,132,1.0,0.25757575757575757,0.5126262626262627,1.0
debounce,M,10,132,1.0,0.12121212121212122,0.3037878787878788,1.0
debounce,M,30,132,1.0,0.07575757575757576,0.2328282828282828,1.0
debounce,M,60,132,1.0,0.045454545454545456,0.18219696969696964,1.0
debounce,X,3,132,1.0,0.23484848484848486,0.49242424242424243,1.0
debounce,X,10,132,1.0,0.13636363636363635,0.2606060606060606,1.0
debounce,X,30,132,1.0,0.09848484848484848,0.21060606060606057,1.0
debounce,X,60,132,1.0,0.09090909090909091,0.24924242424242424,1.0
margin,M,3,132,0.0,0.29545454545454547,0.3106060606060606,0.0
margin,M,10,132,0.0,0.14393939393939395,0.2628787878787879,0.0
margin,M,30,132,0.0,0.10606060606060606,0.2303030303030303,0.0
margin,M,60,132,0.0,0.06060606060606061,0.17878787878787877,0.0
margin,X,3,132,0.0,0.30303030303030304,0.32575757575757575,0.0
margin,X,10,132,0.0,0.17424242424242425,0.24242424242424243,0.0
margin,X,30,132,0.0,0.13636363636363635,0.2308080808080808,0.0
margin,X,60,132,0.0,0.09848484848484848,0.2439393939393939,0.0
hysteresis,M,3,132,1.0,0.2196969696969697,0.4823232323232323,1.0
hysteresis,M,10,132,1.0,0.07575757575757576,0.2181818181818182,1.0
hysteresis,M,30,132,1.0,0.06060606060606061,0.16010101010101008,1.0
hysteresis,M,60,132,1.0,0.045454545454545456,0.11376262626262622,1.0
hysteresis,X,3,132,1.0,0.20454545454545456,0.4696969696969697,1.0
hysteresis,X,10,132,1.0,0.07575757575757576,0.21212121212121213,1.0
hysteresis,X,30,132,1.0,0.07575757575757576,0.1535353535353535,1.0
hysteresis,X,60,132,1.0,0.06060606060606061,0.16388888888888883,1.0
trust,M,3,132,2.0,0.32575757575757575,0.7171717171717171,0.0
trust,M,10,132,2.0,0.045454545454545456,0.27954545454545454,1.0
trust,M,30,132,2.0,0.030303030303030304,0.16010101010101008,1.0
trust,M,60,132,2.0,0.022727272727272728,0.09797979797979796,1.0
trust,X,3,132,2.0,0.3181818181818182,0.7247474747474747,0.0
trust,X,10,132,2.0,0.06818181818181818,0.2946969696969697,1.0
trust,X,30,132,2.0,0.03787878787878788,0.15277777777777773,1.0
trust,X,60,132,2.0,0.022727272727272728,0.13270202020202015,1.0
sprt,M,3,132,1.0,0.1893939393939394,0.3207070707070707,1.0
sprt,M,10,132,1.0,0.03787878787878788,0.13333333333333333,1.0
sprt,M,30,132,1.0,0.022727272727272728,0.08737373737373735,1.0
sprt,M,60,132,1.0,0.007575757575757576,0.05707070707070704,1.0
sprt,X,3,132,1.0,0.16666666666666666,0.3207070707070707,1.0
sprt,X,10,132,0.0,0.05303030303030303,0.14242424242424243,1.0
sprt,X,30,132,1.0,0.030303030303030304,0.08888888888888886,1.0
sprt,X,60,132,1.0,0.007575757575757576,0.0674242424242424,1.0
hmm,M,3,132,1.0,0.2803030303030303,0.5,1.0
hmm,M,10,132,1.0,0.03787878787878788,0.2174242424242424,1.0
hmm,M,30,132,1.0,0.030303030303030304,0.11944444444444441,1.0
hmm,M,60,132,1.0,0.015151515151515152,0.06969696969696965,1.0
hmm,X,3,132,1.0,0.2727272727272727,0.5075757575757576,1.0
hmm,X,10,132,1.0,0.05303030303030303,0.22348484848484848,1.0
hmm,X,30,132,1.0,0.03787878787878788,0.12070707070707068,1.0
hmm,X,60,132,1.0,0.015151515151515152,0.09393939393939389,1.0
