Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.02188,"0.419 [0.298, 0.544]",6079/13596,"0.250 [0.125, 0.375]","0.0008 [0.0000, 0.0040]",592
Moving avg,"k=2, theta=0.04311","0.431 [0.352, 0.516]",5476/13596,"0.125 [0.125, 0.312]","0.0000 [0.0000, 0.0052]",701
EWMA,"alpha=0.7, theta=0.05732","0.456 [0.414, 0.551]",5282/13596,"0.188 [0.125, 0.250]","0.0000 [0.0000, 0.0067]",818
Majority vote,"k=3, theta=0.05215","0.360 [0.330, 0.453]",4663/13596,"0.125 [0.062, 0.188]","0.0027 [0.0000, 0.0072]",886
Debounce,"T=2, theta=0.05732","0.356 [0.304, 0.447]",4508/13596,"0.125 [0.062, 0.188]","0.0000 [0.0000, 0.0110]",966
Margin,"m=0.05, theta=0.04743","0.346 [0.251, 0.480]",5099/13596,"0.125 [0.125, 0.250]","0.0008 [0.0000, 0.0066]",748
Hysteresis,"m=0.3, T=2, theta=0.2142","0.274 [0.217, 0.353]",3061/13596,"0.125 [0.062, 0.188]","0.0000 [0.0000, 0.0201]",1676
Trust,"r=0.5, tau=0.5, theta=0.2497","0.490 [0.469, 0.514]",3829/13596,"0.312 [0.250, 0.312]","0.0000 [0.0000, 0.0151]",1700
SPRT,"alpha=0.05, beta=7.37e-06","0.293 [0.272, 0.332]",2141/13596,"0.062 [0.062, 0.125]","0.0293 [0.0042, 0.0640]",3208
HMM (supp.),"rho=0.1, theta=0.0009111","0.453 [0.412, 0.544]",5341/13596,"0.188 [0.125, 0.250]","0.0000 [0.0000, 0.0058]",795
