genuine_uuid,n_train_genuine,n_train_impostor,n_train_impostor_users,n_features_used,platt_coef,platt_intercept,val_eer,val_auc,val_far_at_0.5,val_frr_at_0.5,val_brier_balanced,val_genuine_frac_p_le_0.4,val_genuine_frac_band_0.4_0.6,val_impostor_frac_p_ge_0.6,val_impostor_frac_band_0.4_0.6,val_genuine_median_p,val_impostor_median_p,val_n_genuine,val_n_impostor,val_eer_raw,test_eer,test_auc,test_far_at_0.5,test_frr_at_0.5,test_brier_balanced,test_genuine_frac_p_le_0.4,test_genuine_frac_band_0.4_0.6,test_impostor_frac_p_ge_0.6,test_impostor_frac_band_0.4_0.6,test_genuine_median_p,test_impostor_median_p,test_n_genuine,test_n_impostor,test_eer_raw,val_frac_within_90s_of_train,test_frac_within_90s_of_train,test_transitions_at_0.5,test_transitions_per_hour_at_0.5,fit_seconds
00EABED2-271D-49D8-B599-1D4A09240601,1372,16000,16,52,1.0289274142722464,0.06842727193911066,0.05559957223229646,0.9790349653601154,0.03751243781094527,0.06542056074766354,0.04119444663947482,0.053738317757009345,0.018691588785046728,0.02298507462686567,0.037611940298507465,0.9849244322522257,0.01986279458107562,428,10050,0.05559957223229646,0.20654794973347435,0.8849979716641205,0.08371515104449795,0.2913752913752914,0.14408151377022693,0.2540792540792541,0.07692307692307693,0.05847635318785432,0.058631668866972124,0.9757891034855182,0.045816696980289597,429,12877,0.20654794973347435,0.0,0.0,61,8.531468531468532,0.73
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,4087,16000,16,52,1.081048103642229,2.0502718028399687,0.07269828500383954,0.9848911397959558,0.08107317073170732,0.06146926536731634,0.04898663357403926,0.04272863568215892,0.041979010494752625,0.059317073170731704,0.04224390243902439,0.9966555423416655,0.0010227273238829538,1334,10250,0.07269828500383954,0.0673622118534322,0.9878264931644082,0.1244037397443236,0.03373313343328336,0.05295449834077991,0.019490254872563718,0.02848575712143928,0.09349360809005915,0.06325128792215226,0.9998797698375739,0.0048946992128473515,1334,10482,0.0673622118534322,0.0,0.0,70,3.1484257871064467,1.6
0A986513-7828-4D53-AA1F-E02D6DF9561B,2376,16000,16,52,0.7229812692820765,1.0270052177664573,0.08773069390292235,0.9677032647000301,0.09446137300591503,0.08256880733944955,0.06800533405199793,0.06946264744429882,0.03800786369593709,0.07107008424448825,0.050994801935830794,0.9659690783952978,0.032726431269175744,763,11158,0.08773069390292235,0.09166244950425567,0.971319349231175,0.11080146069575245,0.07732634338138926,0.06683026981787868,0.053735255570117955,0.04456094364351245,0.0834134153373054,0.059388814145685184,0.9230346453120364,0.05354942893509507,763,10406,0.09166244950425567,0.0,0.0,66,5.190039318479686,1.1
11B5EC4D-4133-4289-B475-4E737182A406,5307,16000,16,52,0.7877641099176262,1.3822504119652028,0.08341230622663748,0.9809736698477014,0.08265117507261685,0.08453133985048879,0.056278075154405,0.058654399079930995,0.05405405405405406,0.0656632338702579,0.03591233166094534,0.9978939315599814,0.013348235304554978,1739,11361,0.08341230622663748,0.0647541473800041,0.9874648653820851,0.11737773152965661,0.038505747126436785,0.05195023265742383,0.027586206896551724,0.021839080459770115,0.0841831425598335,0.07180020811654526,0.9987541168197247,0.02717073882420063,1740,9610,0.0647541473800041,0.0,0.0,84,2.896551724137931,1.11
136562B6-95B2-483D-88DC-065F28409FD2,3730,16000,16,52,0.5622827099248394,-0.047976247359842586,0.1384746533978241,0.9440599315726296,0.13915888749879704,0.13333333333333333,0.09710030967317908,0.09053497942386832,0.1168724279835391,0.09700702531036474,0.09007795207391012,0.960964997753415,0.05655426022920626,1215,10391,0.1384746533978241,0.09788073606770377,0.972772780960669,0.09671482469862888,0.09958847736625515,0.07067860819268096,0.047736625514403296,0.12757201646090535,0.05438483482101776,0.09165363025674059,0.8954167863332406,0.030833837019854,1215,10867,0.09788073606770377,0.0,0.0,140,6.91358024691358,1.32
1538C99F-BA1E-4EFB-A949-6C7C47701B20,3929,16000,16,52,1.0901297237973908,0.527647290774157,0.06079261313295305,0.9860140579078525,0.06372188139059305,0.05620608899297424,0.04400287657099651,0.039032006245121,0.03825136612021858,0.0514519427402863,0.02838445807770961,0.9850145159577167,0.004549553176624996,1281,12225,0.06079261313295305,0.0734907767829941,0.9797889792132186,0.06170233182995874,0.07962529274004684,0.05766355809539699,0.07338017174082748,0.01483216237314598,0.050187122157182615,0.025429421360713942,0.9975729190295044,0.0007423892120402054,1281,10421,0.0734907767829941,0.0,0.0,46,2.154566744730679,1.45
24E40C4C-A349-4F9F-93AB-01D00FB994AF,2862,16000,16,52,0.5845819251794725,1.0744703788071077,0.17745102165569349,0.8941800198418663,0.21060437523173897,0.10378378378378378,0.12094865710857272,0.06054054054054054,0.11459459459459459,0.1789024842417501,0.07026325546903968,0.8117623979398602,0.08431008992729556,925,10788,0.17745102165569349,0.20013593396063356,0.8757897735757835,0.21399756074678675,0.18250539956803455,0.1411905714577799,0.1285097192224622,0.132829373650108,0.16324233042499298,0.1072333239515902,0.7577661185415251,0.15813314138910112,926,10659,0.20013593396063356,0.0,0.0,166,10.755939524838013,1.34
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,5109,16000,16,52,0.8666127433978407,0.6145509162867361,0.0750620244051105,0.9786304479339596,0.08017541886877319,0.06869772998805257,0.055820877238566394,0.05017921146953405,0.04121863799283154,0.0639829079050939,0.03733273361070505,0.9773700955551934,0.007146464004166774,1674,8893,0.0750620244051105,0.09068041883650665,0.9734612623120407,0.11987041036717062,0.0608955223880597,0.06550851607514042,0.04119402985074627,0.047164179104477615,0.09434517965835461,0.05772629098763008,0.9899996901647701,0.01337187448380589,1675,10186,0.09068041883650665,0.0,0.0,140,5.014925373134328,1.51
3600D531-0C55-44A7-AE95-A7A38519464E,3121,16000,16,52,0.8799575678629404,0.4064898944460462,0.10124429606825863,0.9706186793294083,0.10469571415842466,0.09724950884086445,0.06987370869733091,0.07072691552062868,0.06385068762278978,0.07511360598770382,0.06575781876503609,0.995420939302541,0.012905573895297517,1018,11223,0.10124429606825863,0.13145037565732248,0.9354534772436157,0.16781263429308121,0.08405797101449275,0.09538389104035949,0.06086956521739131,0.0647342995169082,0.134722819080361,0.063386334336055,0.8746991805456115,0.04063125174073649,1035,9308,0.13145037565732248,0.0,0.0,119,6.898550724637682,1.5
4FC32141-E888-4BFF-8804-12559A491D8C,2987,16000,16,52,0.32361134205044384,0.8384749642661808,0.3234604321526511,0.7826041009658733,0.30744393053495067,0.3453981385729059,0.19058901132430822,0.19648397104446744,0.27094105480868663,0.21206038921371848,0.19137795619163975,0.6252006297391479,0.3175104886344648,967,11459,0.3234604321526511,0.11882658326291118,0.9571644860014485,0.19481656597495842,0.08376421923474664,0.09789564039640727,0.05377456049638056,0.07652533609100311,0.10471937658698888,0.1923649417739252,0.9366554765390165,0.25524725681714633,967,11421,0.11882658326291118,0.0,0.0,43,2.6680455015511892,1.23
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,3970,16000,16,52,0.5900234893519709,0.07380540665186044,0.05555100537068597,0.9897410210908407,0.04301994301994302,0.062596599690881,0.03918751450745439,0.05409582689335394,0.020865533230293665,0.029534662867996202,0.030104463437796773,0.9953481373880304,0.007436951412846966,1294,10530,0.05555100537068597,0.06570101836200042,0.9861565434044117,0.05419974517298834,0.08957528957528957,0.04844816289806719,0.055598455598455596,0.05868725868725869,0.041948446535332744,0.032833480348916984,0.9937860514240183,0.007517817120271921,1295,10203,0.06570101836200042,0.0,0.0,108,5.0038610038610045,1.19
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,3970,16000,16,52,0.8676139946374328,0.5976773642238246,0.1299563582287225,0.9519016178824342,0.1431086076395001,0.10973724884080371,0.08841609320884794,0.07573415765069552,0.08809891808346214,0.10851962682626298,0.07533884879422637,0.9293594547859585,0.029211871270127057,1294,11362,0.1299563582287225,0.09588848981561535,0.964956449976693,0.09540122495588083,0.09575289575289575,0.07206265873498763,0.05714285714285714,0.10038610038610038,0.07391259213121561,0.04910204505346206,0.8530225479115631,0.007773205982266921,1295,9633,0.09588848981561535,0.0,0.0,146,6.764478764478765,1.43
5EF64122-B513-46AE-BCF1-E62AAC285D2C,2346,16000,16,52,0.9851512176616033,2.433729678225622,0.025112512003872066,0.9968649133336442,0.019187247859883894,0.03187250996015936,0.020147700360597567,0.02390438247011952,0.01859229747675963,0.014562629144937519,0.010528387287218341,0.9999468726973669,0.0028787122328445508,753,10163,0.025112512003872066,0.014540836511528557,0.9980050713161441,0.021753097751262048,0.017241379310344827,0.014736301560514146,0.014588859416445624,0.002652519893899204,0.015511702615878843,0.013951353832033043,0.9981763555684544,0.005792016192257103,754,10895,0.014540836511528557,0.0,0.0,16,1.273209549071618,0.74
61976C24-1C50-4355-9C49-AAE44A7D09F6,5238,16000,16,52,0.8392761088396689,0.3451091512445765,0.05954646732886999,0.9893418439332903,0.05785213167835942,0.0629004076878276,0.04179066304840873,0.047757716948165406,0.030285381479324403,0.04069077172153265,0.039071775499190504,0.9995408127626036,0.002467211264190219,1717,9265,0.05954646732886999,0.11820430338360223,0.9581073371612177,0.2086323861960476,0.025043680838672103,0.096394583873297,0.0157251019219569,0.023296447291788,0.18179136761380396,0.054665224658342344,0.9995983816438089,0.02298886489715562,1717,10171,0.11820430338360223,0.0,0.0,62,2.166569598136284,1.41
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,7197,16000,16,52,0.9268572858450667,-0.8624850249395793,0.07186277383128876,0.982701305830414,0.06582138919514884,0.07637130801687764,0.05139218447008047,0.059915611814345994,0.031223628691983123,0.045424476295479604,0.04553472987872106,0.9914298590877901,0.006961568283353715,2370,9070,0.07186277383128876,0.1247078996750384,0.9409558796259161,0.14297886843899113,0.10712779417967103,0.09700262870966442,0.08308730493462674,0.05061155630535639,0.1169904567143831,0.05819700068166326,0.9872209268084908,0.04144513151586173,2371,11736,0.1247078996750384,0.0,0.0,204,5.162378743146352,1.59
7CE37510-56D0-4120-A1CF-0E23351428D2,5856,16000,16,52,1.0451278629174114,0.2473608862538166,0.08011701498708695,0.9794540249172571,0.08324470656482645,0.07852314092563703,0.0568301813178507,0.059802392095683825,0.042641705668226726,0.06042734216378227,0.05085565116503916,0.9833052353363372,0.00874880207430997,1923,10343,0.08011701498708695,0.06398787252315405,0.986105233788769,0.07993076061500866,0.055613305613305616,0.046907418315831145,0.04417879417879418,0.02130977130977131,0.056002443742999695,0.04989308624376337,0.99581315442036,0.011428999432273643,1924,9821,0.06398787252315405,0.0,0.0,124,3.8669438669438665,1.49
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,5513,16000,16,52,0.7885081954371828,-0.35722280741178564,0.0607644036156906,0.9904787395993989,0.045910885504794136,0.06803097345132743,0.03927377104942114,0.05254424778761062,0.03595132743362832,0.030344049633389734,0.03812746756909193,0.999020789421785,0.0016650809936491137,1808,8865,0.0607644036156906,0.11158461227679256,0.9689159559713028,0.0783916202061159,0.1498065229408513,0.0740702349342269,0.10834715312327253,0.08844665561083472,0.04958607872951512,0.06411556006082109,0.998427447957915,0.002985857846995524,1809,11838,0.11158461227679256,0.0,0.0,280,9.286898839137645,1.42
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,5723,16000,16,52,0.7098243669289722,0.06393249300853586,0.08564253096610125,0.9781856762640492,0.10064324591786245,0.06067056945183608,0.057785217510848474,0.04310803618946248,0.034592868547099524,0.08955962394854032,0.023651657595249877,0.96067302963093,0.00693386286015607,1879,10105,0.08564253096610125,0.0734369315656969,0.9834845301297799,0.014057452195931196,0.2362959020755721,0.08983827875468657,0.17935071846726983,0.14369345396487493,0.009342530341395268,0.013970138828254606,0.8398505352568574,0.00462628944936269,1879,11453,0.0734369315656969,0.0,0.0,290,9.260244811069718,1.57
9759096F-1119-4E19-A0AD-6F16989C7E1C,5975,16000,16,52,1.0275707686644737,0.6104569322594536,0.1206358248290331,0.9569305750279115,0.1276347844507997,0.1141110545084055,0.08359768985323252,0.07997962302598065,0.0748853795211411,0.09967164495286517,0.057409172757123185,0.9455146675267571,0.04104765066372746,1963,9441,0.1206358248290331,0.13538151025118378,0.9485409798048571,0.10620574760516452,0.15792154865002547,0.09526706608284091,0.12684666327050434,0.06571574121242996,0.07955018742190754,0.06289046230737193,0.9676324473293128,0.0174111129628561,1963,9604,0.13538151025118378,0.0,0.0,209,6.388181355068772,1.62
9DC38D04-E82E-4F29-AB52-B476535226F2,5811,16000,16,52,0.8780024908066631,-0.07203161033503967,0.10796450816276776,0.9665076934284161,0.1137325298115143,0.10167714884696016,0.07437521553601956,0.06551362683438156,0.08071278825995808,0.07911270675727658,0.08090780869342223,0.9971472572504708,0.00524817494127726,1908,7799,0.10796450816276776,0.101537811496172,0.960189291958934,0.10960183377196706,0.08748035620743845,0.07448715774149625,0.05395495023572551,0.08695652173913043,0.08022752355887597,0.055947024365396045,0.9275591353634507,0.0015541290975356365,1909,11779,0.101537811496172,0.0,0.0,188,5.908852802514406,1.54
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,3624,16000,16,52,0.713914392696484,1.4284893924500135,0.09147899970176343,0.9763488508020307,0.0916874480465503,0.0899067005937235,0.062071206427160346,0.06785411365564037,0.041560644614079725,0.06658354114713216,0.051371571072319204,0.971693419807564,0.019613206300146478,1179,12030,0.09147899970176343,0.10411626146484984,0.9679318683465911,0.08767424798239179,0.12298558100084818,0.07463983013786674,0.09584393553859202,0.06446140797285835,0.0659391049156273,0.04668011738811445,0.9141360376278124,0.019787856949469752,1179,10904,0.10411626146484984,0.0,0.0,162,8.244274809160306,1.39
