partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.04311,threshold,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,15,15,30,41,23,14,6.8,2.2058823529411766,0.10049019607843138,4.411764705882353,3.3823529411764706,2.058823529411765,2.7333333333333334,16,4.5,13.4375,1.5,0.3125,0.5104166666666666,241,412,0.0,0.0,0.125,0.375,16,0.0,7.25,0.0,0.25,0.3510416666666667,142,412,0.0,0.0,0.0625,0.6875
test,theta=0.04311,threshold,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,1,1,2,1,1,1,22.233333333333334,0.04497751124437781,0.0007496251874062968,0.08995502248875561,0.04497751124437781,0.04497751124437781,1.0,16,1.5,5.25,0.0,0.125,0.40729166666666666,206,412,0.0,0.0,0.0,0.5625,16,0.0,5.4375,0.0,0.1875,0.31666666666666665,107,412,0.0,0.0,0.0,0.8125
test,theta=0.04311,threshold,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,3,3,6,3,4,3,12.716666666666667,0.23591087811271297,0.003931847968545216,0.47182175622542594,0.3145478374836173,0.23591087811271297,1.0,16,3.0,9.625,3.0,0.375,0.6270833333333333,220,412,0.0,0.0,0.0,0.375,16,1.0,4.375,0.0,0.3125,0.37395833333333334,104,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,2.0,6.0625,0.5,0.25,0.43854166666666666,171,412,0.0,0.0,0.0,0.5625,16,2.0,7.875,0.5,0.25,0.47291666666666665,235,412,0.0,0.0,0.0,0.4375
test,theta=0.04311,threshold,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,0,0,0,0,0,0,20.25,0.0,0.0,0.0,0.0,0.0,,16,2.5,8.75,0.0,0.375,0.53125,233,412,0.0,0.0,0.0,0.4375,16,1.5,7.1875,0.0,0.375,0.3854166666666667,134,412,0.0,0.0,0.0,0.5
test,theta=0.04311,threshold,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,12,12,24,59,20,10,21.35,0.5620608899297423,0.04605776736924278,1.1241217798594847,0.9367681498829039,0.46838407494145196,4.916666666666667,16,0.0,4.125,0.0,0.125,0.20520833333333333,113,412,0.0,0.0,0.0,0.6875,16,0.0,1.0,0.0,0.125,0.25104166666666666,85,412,0.0,0.0,0.0625,0.8125
test,theta=0.04311,threshold,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,1,1,2,1,1,1,15.433333333333334,0.06479481641468682,0.0010799136069114472,0.12958963282937364,0.06479481641468682,0.06479481641468682,1.0,16,4.5,16.6875,3.0,0.625,0.6697916666666667,268,412,0.0,0.0,0.0,0.375,16,12.5,22.0625,10.5,0.75,0.875,354,412,0.0,0.0,0.0,0.25
test,theta=0.04311,threshold,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,0,0,0,0,0,0,27.916666666666668,0.0,0.0,0.0,0.0,0.0,,16,2.5,7.8125,0.5,0.3125,0.425,170,412,0.0,0.0,0.0,0.5625,16,1.5,5.0,1.0,0.1875,0.47708333333333336,159,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,5,4,9,13,6,3,17.2,0.29069767441860467,0.012596899224806201,0.5232558139534884,0.3488372093023256,0.1744186046511628,2.6,16,0.0,8.5,0.0,0.375,0.378125,153,412,0.0,0.0,0.0,0.5625,16,3.0,8.0,1.0,0.375,0.46875,151,412,0.0,0.0,0.0,0.5625
test,theta=0.04311,threshold,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,0,0,0,0,0,0,16.116666666666667,0.0,0.0,0.0,0.0,0.0,,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0,16,20.0,25.75,20.0,1.0,1.0,412,412,0.0,0.0,0.0,0.0
test,theta=0.04311,threshold,primary,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1295,0,0,0,0,0,0,21.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,0.0,10.0625,0.0,0.375,0.36875,162,412,0.0,0.0,0.0,0.625,16,0.0,5.5625,0.0,0.25,0.42083333333333334,170,412,0.0,0.0,0.0,0.5
test,theta=0.04311,threshold,primary,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1295,3,3,6,7,5,3,21.583333333333332,0.138996138996139,0.005405405405405406,0.277992277992278,0.23166023166023167,0.138996138996139,2.3333333333333335,16,0.0,5.5625,0.0,0.25,0.33958333333333335,118,412,0.0,0.0,0.0,0.6875,16,3.0,5.125,2.5,0.3125,0.559375,183,412,0.0,0.0,0.0,0.375
test,theta=0.04311,threshold,primary,5EF64122-B513-46AE-BCF1-E62AAC285D2C,754,2,2,4,2,2,2,12.566666666666666,0.15915119363395225,0.002652519893899204,0.3183023872679045,0.15915119363395225,0.15915119363395225,1.0,16,0.0,4.3125,0.0,0.125,0.19895833333333332,83,412,0.0,0.0,0.0,0.8125,16,1.0,4.0625,0.0,0.0625,0.25729166666666664,98,412,0.0,0.0,0.1875,0.875
