Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.01984,"0.527 [0.507, 0.588]",7445/13596,"0.375 [0.312, 0.438]","0.0000 [0.0000, 0.0011]",126
Moving avg,"k=2, theta=0.04743","0.516 [0.503, 0.589]",6720/13596,"0.312 [0.250, 0.375]","0.0000 [0.0000, 0.0017]",212
EWMA,"alpha=0.7, theta=0.06297","0.575 [0.545, 0.628]",6657/13596,"0.250 [0.250, 0.438]","0.0000 [0.0000, 0.0006]",254
Majority vote,"k=3, theta=0.06297","0.459 [0.429, 0.537]",5821/13596,"0.188 [0.188, 0.312]","0.0000 [0.0000, 0.0039]",343
Debounce,"T=2, theta=0.07586","0.459 [0.404, 0.533]",5588/13596,"0.188 [0.125, 0.312]","0.0000 [0.0000, 0.0050]",421
Margin,"m=0.05, theta=0.04743","0.461 [0.414, 0.527]",6323/13596,"0.312 [0.188, 0.375]","0.0000 [0.0000, 0.0016]",203
Hysteresis,"m=0.3, T=2, theta=0.2315","0.383 [0.332, 0.459]",4254/13596,"0.188 [0.125, 0.250]","0.0010 [0.0000, 0.0105]",768
Trust,"r=0.5, tau=0.5, theta=0.2689","0.520 [0.496, 0.585]",4593/13596,"0.375 [0.312, 0.438]","0.0000 [0.0000, 0.0080]",908
SPRT,"alpha=0.001, beta=1.35e-08","0.479 [0.457, 0.516]",3607/13596,"0.312 [0.250, 0.312]","0.0031 [0.0000, 0.0393]",2040
HMM (supp.),"rho=0.1, theta=0.0009111","0.593 [0.546, 0.633]",6879/13596,"0.312 [0.250, 0.438]","0.0000 [0.0000, 0.0013]",232
