Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"2.00 [1.00, 3.00]","0.50 [0.00, 1.00]","0.00 [0.00, 0.00]","1.50 [0.50, 3.00]","0.312 [0.250, 0.312]"
Moving avg,"1.00 [1.00, 2.00]","1.00 [1.00, 1.50]","0.00 [0.00, 0.00]","1.00 [1.00, 2.00]","0.188 [0.125, 0.312]"
EWMA,"2.00 [2.00, 2.50]","2.00 [1.50, 2.00]","0.00 [0.00, 0.00]","1.50 [1.00, 2.50]","0.188 [0.125, 0.250]"
Majority vote,"1.00 [1.00, 2.00]","1.00 [1.00, 1.50]","1.00 [0.50, 1.00]","1.00 [1.00, 1.50]","0.188 [0.123, 0.188]"
Debounce,"1.00 [1.00, 1.50]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.125 [0.062, 0.188]"
Margin,"1.00 [0.00, 1.50]","0.50 [0.00, 1.00]","0.00 [0.00, 0.00]","0.00 [0.00, 1.00]","0.125 [0.062, 0.188]"
Hysteresis,"1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","1.00 [1.00, 1.00]","0.125 [0.062, 0.188]"
Trust,"2.00 [2.00, 2.00]","2.00 [2.00, 2.00]","1.00 [1.00, 1.00]","2.00 [2.00, 2.50]","0.125 [0.062, 0.188]"
SPRT,"1.00 [1.00, 1.00]","1.00 [1.00, 1.50]","1.00 [1.00, 1.50]","1.00 [1.00, 1.50]","0.125 [0.062, 0.125]"
HMM (supp.),"1.00 [1.00, 2.00]","1.00 [1.00, 2.00]","2.00 [2.00, 2.00]","1.00 [1.00, 2.00]","0.125 [0.062, 0.125]"
