mechanism,metric,primary_mean,subset_mean,primary_significant,subset_significant,significance_changed
instantaneous,FAR,0.0530017921146953,0.00185185185185185,,,False
instantaneous,FRR,0.0470519713261648,0.004166666666666661,,,False
instantaneous,transition_rate_per_100,2.6833663723193366,1.474239602731223,,,False
instantaneous,detection_latency_frames,1.031720430107527,0.0,,,False
moving_average,FAR,0.0578494623655913,0.020555555555555525,True,False,True
moving_average,FRR,0.0887948028673834,0.04787037037037032,True,False,True
moving_average,transition_rate_per_100,1.539016038925933,1.1638733705772815,True,False,True
moving_average,detection_latency_frames,1.9198924731182796,1.2055555555555555,True,False,True
ewma,FAR,0.0619802867383512,0.012777777777777763,False,False,False
ewma,FRR,0.0907706093189963,0.04708333333333331,True,False,True
ewma,transition_rate_per_100,1.5300054063795283,1.319056486654252,True,False,True
ewma,detection_latency_frames,1.7279569892473114,0.6833333333333332,True,False,True
majority_vote,FAR,0.0705197132616486,0.021296296296296244,True,False,True
majority_vote,FRR,0.0583333333333333,0.015277777777777737,True,False,True
majority_vote,transition_rate_per_100,1.5828677839851029,1.1949099937926755,True,False,True
majority_vote,detection_latency_frames,2.140322580645161,1.277777777777778,True,False,True
debounce,FAR,0.0663351254480286,0.01990740740740736,True,False,True
debounce,FRR,0.1899103942652329,0.12106481481481479,True,False,True
debounce,transition_rate_per_100,1.3410824773232417,1.11731843575419,True,False,True
debounce,detection_latency_frames,2.429569892473119,1.1944444444444444,True,False,True
margin_dual_threshold,FAR,0.0587365591397849,0.002777777777777775,False,False,False
margin_dual_threshold,FRR,0.1160394265232974,0.002777777777777775,False,False,False
margin_dual_threshold,transition_rate_per_100,1.471736649246111,1.3345747982619491,True,False,True
margin_dual_threshold,detection_latency_frames,1.6704301075268817,0.0,False,False,False
hysteresis,FAR,0.067679211469534,0.074537037037037,False,False,False
hysteresis,FRR,0.3546326164874552,0.2408796296296296,True,False,True
hysteresis,transition_rate_per_100,0.904066798822611,0.9466170080695221,True,False,True
hysteresis,detection_latency_frames,2.993010752688172,2.8333333333333335,True,False,True
trust_model,FAR,0.0580017921146953,0.046111111111111075,False,False,False
trust_model,FRR,0.2582974910394265,0.11152777777777774,True,False,True
trust_model,transition_rate_per_100,0.9863639094131076,1.0800744878957171,True,False,True
trust_model,detection_latency_frames,3.2274193548387093,2.766666666666667,True,False,True
sprt,FAR,0.0562724014336917,0.0037962962962962894,False,False,False
sprt,FRR,0.0743548387096773,0.018009259259259246,False,False,False
sprt,transition_rate_per_100,1.3176548327025897,1.2104283054003726,True,False,True
sprt,detection_latency_frames,1.6279569892473116,0.14444444444444446,False,False,False
