mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
instantaneous,{'theta': 0.9159417736176783},0.0305555555555555,0.2458333333333333,0.03,0.01,"[0.019999999999999997, 0.04]",78,14,True,True,within_interval,0.0,0.9694444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.909840779696999, 'w': 3}",0.0305555555555555,0.2152777777777778,0.03,0.01,"[0.019999999999999997, 0.04]",312,44,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.894862983691981, 'alpha': 0.1}",0.0305555555555555,0.2569444444444444,0.03,0.01,"[0.019999999999999997, 0.04]",312,3,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.8850491556499083, 'w': 10, 'k': 8}",0.0305555555555555,0.2055555555555555,0.03,0.01,"[0.019999999999999997, 0.04]",390,64,True,True,within_interval,0.0,0.9972222222222222,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.9116663660409197, 'n': 2}",0.0305555555555555,0.2083333333333333,0.03,0.01,"[0.019999999999999997, 0.04]",312,97,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.9011474765994403, 'margin': 0.05}",0.025,0.1625,0.03,0.01,"[0.019999999999999997, 0.04]",312,23,True,True,within_interval,0.0,0.9944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9362557946540577, 'margin': 0.05, 'ttt_frames': 5}",0.0305555555555555,0.525,0.03,0.01,"[0.019999999999999997, 0.04]",936,171,True,True,within_interval,0.0027777777777777,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.9011474765994403, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.0305555555555555,0.2722222222222222,0.03,0.01,"[0.019999999999999997, 0.04]",702,65,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.9354700751605606, 'sd_gen': 0.054936724117615285, 'mu_imp': 0.6526158769982953, 'sd_imp': 0.2212267131273918}",0.1166666666666666,0.1194444444444444,0.03,0.01,"[0.019999999999999997, 0.04]",25,0,False,False,above_interval,0.1166666666666666,0.2944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 0.8858474369448633},0.0305555555555555,0.0,0.03,0.01,"[0.019999999999999997, 0.04]",79,13,True,True,within_interval,0.0,0.9694444444444444,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 0.8532789522058823, 'w': 10}",0.0305555555555555,0.0597222222222222,0.03,0.01,"[0.019999999999999997, 0.04]",316,25,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 0.8532789522058823, 'alpha': 0.1}",0.0277777777777777,0.125,0.03,0.01,"[0.019999999999999997, 0.04]",316,6,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 0.8946404312259092, 'w': 3, 'k': 2}",0.0305555555555555,0.0083333333333333,0.03,0.01,"[0.019999999999999997, 0.04]",395,86,True,True,within_interval,0.0,0.9888888888888888,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 0.8946404312259092, 'n': 2}",0.0305555555555555,0.0083333333333333,0.03,0.01,"[0.019999999999999997, 0.04]",316,38,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
