enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,instantaneous,"{""theta"": 0.907612140826461}",180,60,120,0.0,0.3833333333333333,0,46,60,120,17,9.497206703910615,14,10.0,2.0,0.4111111111111111,0.0,46,0.3833333333333333,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,moving_average,"{""theta"": 0.8850491556499083, ""w"": 10}",180,60,120,0.0,0.3,0,36,60,120,3,1.675977653631285,0,45.0,42.0,0.4666666666666667,0.0,36,0.3,8.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.5}",180,60,120,0.0,0.3666666666666666,0,44,60,120,9,5.027932960893855,3,18.0,5.0,0.4222222222222222,0.0,44,0.3666666666666666,3.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,majority_vote,"{""theta"": 0.9071614248918118, ""w"": 3, ""k"": 2}",180,60,120,0.0,0.3916666666666666,0,47,60,120,9,5.027932960893855,6,18.0,4.5,0.4055555555555555,0.0,47,0.3916666666666666,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,debounce,"{""theta"": 0.9071614248918118, ""n"": 2}",180,60,120,0.0,0.4083333333333333,0,49,60,120,8,4.46927374301676,4,20.0,7.0,0.3944444444444444,0.0,49,0.4083333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,margin_dual_threshold,"{""theta"": 0.894862983691981, ""margin"": 0.05}",180,60,120,0.0,0.3666666666666666,0,44,60,120,9,5.027932960893855,3,18.0,5.0,0.4222222222222222,0.0,44,0.3666666666666666,2.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,hysteresis,"{""theta"": 0.9555049310045355, ""margin"": 0.05, ""ttt_frames"": 10}",180,60,120,0.0,0.7583333333333333,0,91,60,120,1,0.5586592178770949,0,90.0,90.0,0.1611111111111111,0.0,91,0.7583333333333333,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,trust_model,"{""theta"": 0.894862983691981, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.1583333333333333,0,19,60,120,2,1.11731843575419,0,60.0,60.0,0.5611111111111111,0.0,19,0.1583333333333333,19.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.9354700751605606, ""sd_gen"": 0.054936724117615285, ""mu_imp"": 0.6526158769982953, ""sd_imp"": 0.2212267131273918}",180,60,120,0.0,0.1416666666666666,0,17,60,120,4,2.23463687150838,0,36.0,49.0,0.5722222222222222,0.0,17,0.1416666666666666,7.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,instantaneous,"{""theta"": 0.907612140826461}",180,60,120,0.0,0.3333333333333333,0,40,60,120,17,9.497206703910615,13,10.0,3.5,0.4444444444444444,0.0,40,0.3333333333333333,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,moving_average,"{""theta"": 0.8850491556499083, ""w"": 10}",180,60,120,0.0,0.3416666666666667,0,41,60,120,5,2.793296089385475,0,30.0,12.0,0.4388888888888889,0.0,41,0.3416666666666667,17.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.5}",180,60,120,0.0,0.3416666666666667,0,41,60,120,7,3.910614525139665,2,22.5,9.5,0.4388888888888889,0.0,41,0.3416666666666667,13.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,majority_vote,"{""theta"": 0.9071614248918118, ""w"": 3, ""k"": 2}",180,60,120,0.0166666666666666,0.3083333333333333,1,37,60,120,9,5.027932960893855,4,18.0,8.0,0.4666666666666667,1.0,37,0.3083333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,debounce,"{""theta"": 0.9071614248918118, ""n"": 2}",180,60,120,0.0166666666666666,0.3166666666666666,1,38,60,120,9,5.027932960893855,4,18.0,8.5,0.4611111111111111,1.0,38,0.3166666666666666,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,margin_dual_threshold,"{""theta"": 0.894862983691981, ""margin"": 0.05}",180,60,120,0.0,0.2916666666666667,0,35,60,120,9,5.027932960893855,3,18.0,9.0,0.4722222222222222,0.0,35,0.2916666666666667,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,hysteresis,"{""theta"": 0.9555049310045355, ""margin"": 0.05, ""ttt_frames"": 10}",180,60,120,0.15,0.5,9,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3833333333333333,9.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,trust_model,"{""theta"": 0.894862983691981, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0166666666666666,0.5,1,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3388888888888889,1.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.9354700751605606, ""sd_gen"": 0.054936724117615285, ""mu_imp"": 0.6526158769982953, ""sd_imp"": 0.2212267131273918}",180,60,120,0.0,0.3,0,36,60,120,5,2.793296089385475,0,30.0,13.5,0.4666666666666667,0.0,36,0.3,19.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,instantaneous,"{""theta"": 0.907612140826461}",180,60,120,0.0,0.2083333333333333,0,25,60,120,16,8.938547486033519,13,10.588235294117649,5.0,0.5277777777777778,0.0,25,0.2083333333333333,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,moving_average,"{""theta"": 0.8850491556499083, ""w"": 10}",180,60,120,0.0,0.2583333333333333,0,31,60,120,4,2.23463687150838,0,36.0,29.0,0.4944444444444444,0.0,31,0.2583333333333333,9.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.5}",180,60,120,0.0,0.1916666666666666,0,23,60,120,4,2.23463687150838,0,36.0,26.0,0.5388888888888889,0.0,23,0.1916666666666666,3.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,majority_vote,"{""theta"": 0.9071614248918118, ""w"": 3, ""k"": 2}",180,60,120,0.0166666666666666,0.2083333333333333,1,25,60,120,8,4.46927374301676,4,20.0,20.0,0.5333333333333333,1.0,25,0.2083333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,debounce,"{""theta"": 0.9071614248918118, ""n"": 2}",180,60,120,0.0166666666666666,0.2166666666666666,1,26,60,120,8,4.46927374301676,4,20.0,21.0,0.5277777777777778,1.0,26,0.2166666666666666,1.0
