enrolled_user,target,cell,margin,dwell,cell_class,distinct_calib_impostors,target_FAR,tolerance,n_candidates,n_rejected_unreachable,n_in_band,n_in_band_rejected_unreachable,n_eligible,achievable_min_FAR,achievable_max_FAR,achievable_min_FAR_reachable,achievable_max_FAR_reachable,feasible,chosen_index,chosen_params,calib_FAR,calib_FRR
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k1,0.0,1,instantaneous,12,0.05,0.01,80,0,8,0,8,0.0,0.9694444444444444,0.0,0.9694444444444444,True,36.0,"{""theta"": 0.837345585997521, ""m"": 0.0, ""k"": 1}",0.049305555555555554,0.13819444444444445
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k2,0.0,2,dwell_only,12,0.05,0.01,80,0,9,0,9,0.0,0.9791666666666666,0.0,0.9791666666666666,True,41.0,"{""theta"": 0.8434887432359206, ""m"": 0.0, ""k"": 2}",0.049305555555555554,0.14756944444444445
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k3,0.0,3,dwell_only,12,0.05,0.01,80,0,11,0,11,0.0,0.9861111111111112,0.0,0.9861111111111112,True,40.0,"{""theta"": 0.8422653077888049, ""m"": 0.0, ""k"": 3}",0.05,0.14722222222222223
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k5,0.0,5,dwell_only,12,0.05,0.01,80,0,3,0,3,0.0,1.0,0.0,1.0,True,58.0,"{""theta"": 0.8898002508925986, ""m"": 0.0, ""k"": 5}",0.04722222222222222,0.24375
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0_k10,0.0,10,dwell_only,12,0.05,0.01,80,0,1,0,1,0.0,1.0,0.0,1.0,True,71.0,"{""theta"": 0.9678664479397858, ""m"": 0.0, ""k"": 10}",0.043055555555555555,0.6548611111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k1,0.05,1,margin_only,12,0.05,0.01,80,7,12,0,12,0.0,0.9847222222222223,0.0,0.9847222222222223,True,26.0,"{""theta"": 0.8227400737832079, ""m"": 0.05, ""k"": 1}",0.05,0.13506944444444444
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k2,0.05,2,hysteresis,12,0.05,0.01,80,7,11,0,11,0.003472222222222222,1.0,0.003472222222222222,1.0,True,29.0,"{""theta"": 0.8275537971629836, ""m"": 0.05, ""k"": 2}",0.04791666666666667,0.13090277777777778
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k3,0.05,3,hysteresis,12,0.05,0.01,80,7,4,0,4,0.006944444444444444,1.0,0.006944444444444444,1.0,True,44.0,"{""theta"": 0.8532352526369704, ""m"": 0.05, ""k"": 3}",0.04513888888888889,0.16006944444444443
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k5,0.05,5,hysteresis,12,0.05,0.01,80,7,1,0,1,0.013888888888888888,1.0,0.021527777777777778,1.0,True,60.0,"{""theta"": 0.9054327897327029, ""m"": 0.05, ""k"": 5}",0.041666666666666664,0.3524305555555556
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.05_k10,0.05,10,hysteresis,12,0.05,0.01,80,7,3,3,0,0.03125,1.0,0.06736111111111111,1.0,False,,null,,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,m0.1_k1,0.1,1,margin_only,12,0.05,0.01,80,13,14,0,14,0.0,1.0,0.001388888888888889,1.0,True,21.0,"{""theta"": 0.8168798758898151, ""m"": 0.1, ""k"": 1}",0.04861111111111111,0.11458333333333333
