target,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine,n_users_feasible
0.03,0.0,1,instantaneous,0.03442592592592593,0.0499537037037037,3.5655555555555556,1.6222222222222222,0.05,1.9919304779639975,1.5444444444444445,0.012222222222222223,0.04888888888888889,0.5055555555555556,0.1888888888888889,1.2388888888888887,3.088888888888889,0.0499537037037037,30
0.03,0.0,2,dwell_only,0.04844444444444444,0.05803703703703703,2.6144444444444446,0.6561111111111111,0.034999999999999996,1.4605834885164493,0.41888888888888887,0.012222222222222223,0.042222222222222223,1.5166666666666666,1.3155555555555556,2.237777777777778,3.807777777777778,0.05803703703703703,30
0.03,0.0,3,dwell_only,0.03907706093189964,0.16164874551971326,3.079032258064516,1.121505376344086,0.04247311827956989,1.7201297531086681,0.3655913978494623,0.005376344086021505,0.07311827956989247,1.7123655913978495,4.300000000000001,2.024193548387097,8.508064516129032,0.16164874551971326,31
0.03,0.0,5,dwell_only,0.03840740740740741,0.45075000000000004,2.603333333333333,0.8766666666666667,0.2733333333333333,1.4543761638733705,0.0,0.0,0.36944444444444446,2.2177777777777776,10.382142857142856,2.2177777777777776,28.165555555555557,0.45075000000000004,30
0.03,0.0,10,dwell_only,0.036582125603864736,0.7452234299516908,1.2884057971014493,0.10724637681159421,0.8188405797101449,0.7197797749170107,0.0,0.0,0.8652173913043477,2.194927536231884,19.592592592592595,2.194927536231884,54.1463768115942,0.7452234299516908,23
0.03,0.05,1,margin_only,0.04940972222222222,0.06786458333333334,2.814583333333333,0.9104166666666667,0.07291666666666667,1.5723929236499068,0.8,0.03333333333333333,0.04791666666666666,0.057291666666666664,0.5729166666666666,2.0479166666666666,3.447916666666667,0.06786458333333334,16
0.03,0.05,2,hysteresis,0.05238095238095238,0.09796296296296296,2.0650793650793653,0.18412698412698414,0.10952380952380951,1.1536756229493659,0.031746031746031744,0.01746031746031746,0.10952380952380951,1.4817460317460318,2.9095238095238094,2.5,9.071428571428571,0.09796296296296296,21
0.03,0.05,3,hysteresis,0.04017592592592593,0.2765972222222222,2.2027777777777775,0.47555555555555556,0.2727777777777778,1.2306021104903786,0.03888888888888888,0.005555555555555555,0.3044444444444444,1.7105555555555556,8.897701149425288,2.032777777777778,24.128333333333334,0.2765972222222222,30
0.03,0.05,5,hysteresis,0.040448717948717954,0.5402724358974359,1.6782051282051282,0.24102564102564103,0.5628205128205128,0.9375447643604068,0.0,0.0,0.6211538461538461,2.2038461538461536,18.33421052631579,2.2038461538461536,42.952564102564104,0.5402724358974359,26
0.03,0.05,10,hysteresis,0.03055555555555555,0.7568333333333334,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,1.8333333333333335,,1.8333333333333335,60.0,0.7568333333333334,5
