mechanism,mean,median,count
debounce,0.011025985663082442,-0.024999999999999998,31
ewma,-0.00031810035842293687,-0.04097222222222222,31
hysteresis,0.013847222222222223,-0.008333333333333331,30
instantaneous,-0.00018518518518518683,-0.04027777777777778,30
majority_vote,0.007576164874551972,-0.025694444444444447,31
margin_dual_threshold,-0.006634615384615384,-0.04201388888888889,26
moving_average,0.0016129032258064553,-0.03722222222222222,31
sprt,0.0014650537634408615,-0.04097222222222222,31
trust_model,0.011420250896057346,-0.020138888888888894,31
trust_model_single,0.0026523297491039444,-0.03194444444444444,31
