mechanism,n_users_feasible,n_users_infeasible,n_sequences,FAR_mean,FAR_lo,FAR_hi,FRR_mean,FRR_lo,FRR_hi,n_transitions_mean,n_transitions_lo,n_transitions_hi,excess_transitions_mean,excess_transitions_lo,excess_transitions_hi,fewer_than_2_transitions_mean,fewer_than_2_transitions_lo,fewer_than_2_transitions_hi,transition_rate_per_100_mean,transition_rate_per_100_lo,transition_rate_per_100_hi,n_flip_events_mean,n_flip_events_lo,n_flip_events_hi,detection_failure_mean,detection_failure_lo,detection_failure_hi,recovery_failure_mean,recovery_failure_lo,recovery_failure_hi,detection_latency_frames_mean,detection_latency_frames_lo,detection_latency_frames_hi,recovery_latency_frames_mean,recovery_latency_frames_lo,recovery_latency_frames_hi,detection_latency_censored_mean,detection_latency_censored_lo,detection_latency_censored_hi,recovery_latency_censored_mean,recovery_latency_censored_lo,recovery_latency_censored_hi,lockout_fraction_during_genuine_mean,lockout_fraction_during_genuine_lo,lockout_fraction_during_genuine_hi,test_FAR_matched
instantaneous,30,1,173,0.04305555555555555,0.017883333333333334,0.0728347222222222,0.04212037037037037,0.01344375,0.07927430555555554,3.9555555555555557,2.898805555555555,5.254638888888889,2.0122222222222224,0.9675833333333334,3.3078333333333334,0.05,0.0,0.11333333333333334,2.2098075729360644,1.6194444444444445,2.935552451893233,2.042222222222222,0.9588611111111113,3.378972222222222,0.017777777777777778,0.0,0.03666666666666667,0.042222222222222223,0.0,0.09666666666666666,0.35,0.016666666666666666,0.8333333333333334,0.18222222222222223,0.0,0.5244444444444444,1.4166666666666667,0.36652777777777773,2.6669444444444426,2.7155555555555555,0.3176666666666668,5.96,0.04212037037037037,0.01344375,0.07927430555555554,True
moving_average,31,0,179,0.047087813620071695,0.022132392473118285,0.07616554659498208,0.060304659498207874,0.03175291218637993,0.09526142473118278,2.4795698924731187,2.2010752688172044,2.8075537634408603,0.5344086021505376,0.26021505376344084,0.8655913978494624,0.04838709677419355,0.0,0.11290322580645161,1.3852345768006251,1.2296509881660362,1.5684657896317657,0.38924731182795697,0.1827956989247312,0.632338709677419,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.0596774193548386,0.4644489247311828,1.8398118279569893,2.9032258064516134,1.7709139784946235,4.387365591397848,1.7618279569892477,0.7037500000000002,3.0033064516129024,5.276344086021505,2.6805913978494624,8.585349462365588,0.060304659498207874,0.03175291218637993,0.09526142473118278,True
ewma,31,0,179,0.04508960573476704,0.01917069892473118,0.07600537634408602,0.06712813620071685,0.03767809139784946,0.10233355734767023,2.465591397849462,2.161290322580645,2.8742204301075263,0.5204301075268817,0.22580645161290322,0.9108870967741929,0.04838709677419355,0.0,0.11290322580645161,1.3774253619270747,1.2074247612182376,1.6057097374902385,0.4311827956989247,0.18491935483870964,0.760241935483871,0.023655913978494626,0.005376344086021505,0.04731182795698925,0.04086021505376344,0.0,0.0956989247311828,0.6983870967741935,0.26021505376344084,1.2328494623655912,3.702150537634409,2.124650537634409,5.756451612903223,2.087096774193548,0.7386827956989247,3.645268817204301,6.076881720430107,3.346102150537634,9.625443548387096,0.06712813620071685,0.03767809139784946,0.10233355734767023,True
majority_vote,31,0,179,0.05204301075268816,0.029443996415770623,0.0775806451612903,0.0482437275985663,0.021357974910394262,0.08377262544802867,2.3591397849462363,2.131155913978495,2.6183064516129035,0.4258064516129032,0.2107258064516129,0.678494623655914,0.060215053763440864,0.011827956989247313,0.12368279569892457,1.317955187120803,1.1905898960773715,1.4627410344206162,0.24516129032258063,0.10107526881720429,0.4172311827956989,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.686021505376344,1.0946236559139786,2.4881720430107523,1.4268817204301076,1.0085752688172043,2.0397849462365594,2.383870967741936,1.310725806451613,3.6301075268817202,3.83010752688172,1.3579838709677423,7.04795698924731,0.0482437275985663,0.021357974910394262,0.08377262544802867,True
debounce,31,0,179,0.05553763440860214,0.03125403225806452,0.08371012544802865,0.04866487455197132,0.021200268817204295,0.08468660394265234,2.267741935483871,2.0677150537634406,2.502150537634408,0.321505376344086,0.1236290322580645,0.5559677419354836,0.04731182795698925,0.005376344086021505,0.10215053763440861,1.2668949360245092,1.1551480747281793,1.3978494623655917,0.13978494623655915,0.0385483870967742,0.26881720430107525,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.8435483870967742,1.2440725806451611,2.6215725806451613,1.5000000000000002,1.0301075268817206,2.2548655913978495,2.5344086021505374,1.4591397849462366,3.8269892473118277,3.9075268817204303,1.4298387096774194,7.13771505376344,0.04866487455197132,0.021200268817204295,0.08468660394265234,True
margin_dual_threshold,26,5,149,0.037863247863247865,0.009931089743589742,0.07403952991452989,0.08343482905982905,0.0344889155982906,0.14076562499999987,2.2576923076923077,1.9448717948717946,2.635897435897436,0.4025641025641026,0.13961538461538459,0.7372435897435894,0.13076923076923075,0.03717948717948718,0.24362179487179472,1.2612806188225183,1.0865205557942987,1.4725683999427015,0.3,0.06923076923076923,0.5961538461538461,0.020512820512820513,0.0,0.04615384615384615,0.10256410256410256,0.021794871794871794,0.20256410256410254,0.5634615384615385,0.06538461538461539,1.1698878205128203,1.8373333333333335,0.19866666666666666,4.162866666666665,1.7230769230769232,0.1884294871794872,3.6399358974358957,7.455769230769231,2.078766025641025,13.961185897435897,0.08343482905982905,0.0344889155982906,0.14076562499999987,True
hysteresis,30,1,173,0.05914814814814816,0.03746157407407407,0.08718749999999997,0.12442592592592593,0.07312939814814814,0.17757175925925925,2.063888888888889,1.916652777777778,2.216722222222222,0.20277777777777778,0.10220833333333333,0.3077916666666666,0.1322222222222222,0.04888888888888889,0.22336111111111095,1.1530105524518932,1.0707557417752944,1.2383923029174426,0.02222222222222222,0.0,0.05555555555555555,0.012222222222222223,0.0,0.03002777777777763,0.145,0.058333333333333334,0.2427777777777778,2.397777777777778,1.8253333333333333,3.0644444444444443,3.8488888888888884,2.309666666666667,5.823888888888886,3.085555555555556,2.031111111111111,4.453416666666666,11.994444444444442,6.677694444444444,17.84391666666667,0.12442592592592593,0.07312939814814814,0.17757175925925925,True
trust_model,31,0,179,0.05911290322580644,0.03456025985663081,0.08725896057347671,0.17174731182795694,0.13006944444444446,0.21680555555555553,1.8688172043010753,1.7580376344086022,1.9666935483870966,0.03763440860215053,0.0,0.08602150537634408,0.15591397849462368,0.07739247311827957,0.25053763440860216,1.0440319577100976,0.9821439298372077,1.0987114795458641,0.01075268817204301,0.0,0.03225806451612903,0.01827956989247312,0.0,0.03870967741935484,0.13763440860215054,0.05698924731182795,0.23440860215053763,2.2118279569892474,1.5719086021505377,2.9317607526881724,12.999444444444446,10.317638888888887,15.757513888888889,3.25,1.9536559139784946,4.7507930107526875,19.11935483870968,14.133198924731184,24.65408602150537,0.17174731182795694,0.13006944444444446,0.21680555555555553,True
trust_model_single,31,0,179,0.04938172043010752,0.025573252688172045,0.07719735663082437,0.07998655913978495,0.05267921146953407,0.11421158154121865,2.1021505376344094,1.9849193548387096,2.2354838709677423,0.17204301075268813,0.07526881720430108,0.2913978494623656,0.05806451612903226,0.011827956989247313,0.11182795698924732,1.1743857752147535,1.1088934943233015,1.2488736709316994,0.10430107526881721,0.040860215053763436,0.19032258064516128,0.017204301075268817,0.0,0.038736559139784806,0.04086021505376344,0.0,0.0956989247311828,1.5096774193548388,1.0085752688172045,2.0866532258064514,5.713978494623657,4.546209677419354,7.105672043010752,2.4940860215053764,1.2945430107526883,3.9451612903225812,7.795698924731183,5.205241935483872,11.187365591397851,0.07998655913978495,0.05267921146953407,0.11421158154121865,True
sprt,31,0,179,0.04655913978494624,0.019515232974910396,0.07849596774193547,0.03608870967741936,0.011761424731182796,0.07073655913978488,2.2376344086021507,2.034381720430108,2.4849462365591397,0.32150537634408605,0.147258064516129,0.5494892473118278,0.06559139784946236,0.012903225806451613,0.13010752688172042,1.2500750886045535,1.136526100798943,1.3882381209827597,0.26236559139784943,0.0945967741935484,0.4817473118279569,0.023655913978494626,0.005376344086021505,0.04731182795698925,0.035483870967741936,0.0,0.0903225806451613,0.8155913978494624,0.2827956989247312,1.4403629032258063,0.5602150537634408,0.17198924731182794,1.1075268817204302,2.182795698924731,0.767741935483871,3.867795698924731,2.681182795698925,0.3902688172043011,5.917473118279569,0.03608870967741936,0.011761424731182796,0.07073655913978488,True
