enrolled_user,target,mechanism,distinct_calib_impostors,target_FAR,tolerance,n_candidates,n_rejected_unreachable,n_in_band,n_in_band_rejected_unreachable,n_eligible,achievable_min_FAR,achievable_max_FAR,achievable_min_FAR_reachable,achievable_max_FAR_reachable,feasible,chosen_index,chosen_params,calib_FAR,calib_FRR
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,instantaneous,12,0.05,0.01,80,0,8,0,8,0.0,0.9694444444444444,0.0,0.9694444444444444,True,36.0,"{""theta"": 0.837345585997521}",0.049305555555555554,0.13819444444444445
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,moving_average,12,0.05,0.01,320,0,38,0,38,0.0,1.0,0.0,1.0,True,92.0,"{""theta"": 0.818602869676883, ""w"": 3}",0.05,0.134375
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,ewma,12,0.05,0.01,320,0,37,0,37,0.0,1.0,0.0,1.0,True,75.0,"{""theta"": 0.8112303387050083, ""alpha"": 0.5}",0.04861111111111111,0.11736111111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,majority_vote,12,0.05,0.01,400,0,23,0,23,0.0,0.9847222222222223,0.0,0.9847222222222223,True,72.0,"{""theta"": 0.7983650294316318, ""w"": 5, ""k"": 4}",0.04027777777777778,0.13125
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,debounce,12,0.05,0.01,320,0,24,0,24,0.0,1.0,0.0,1.0,True,161.0,"{""theta"": 0.8422653077888049, ""n"": 3}",0.05,0.14722222222222223
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,12,0.05,0.01,320,105,40,12,28,0.0,1.0,0.0,1.0,True,58.0,"{""theta"": 0.7983650294316318, ""margin"": 0.2}",0.04791666666666667,0.034722222222222224
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,hysteresis,12,0.05,0.01,960,160,68,11,57,0.003472222222222222,1.0,0.003472222222222222,1.0,True,256.0,"{""theta"": 0.8168798758898151, ""margin"": 0.1, ""ttt_frames"": 2}",0.04861111111111111,0.11597222222222223
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,trust_model,12,0.05,0.01,720,110,47,0,47,0.0,1.0,0.0006944444444444445,1.0,True,188.0,"{""theta"": 0.813953488372093, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.044444444444444446,0.10208333333333333
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,trust_model_single,12,0.05,0.01,720,0,66,0,66,0.0,1.0,0.0,1.0,True,182.0,"{""theta"": 0.813953488372093, ""gain"": 0.1, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.05,0.125
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,sprt,12,0.05,0.01,4725,0,295,0,295,0.001388888888888889,0.33402777777777776,0.001388888888888889,0.33402777777777776,True,2004.0,"{""A"": 3.999999999999999, ""B"": 2.8284271247461903, ""delta"": -0.19999999999999996}",0.04861111111111111,0.036458333333333336
