comparison,metric,ci_level,diff_mean,lo,hi
cell_H vs cell_D,FRR,0.8,0.07441666666666667,0.0461101851851852,0.10293981481481482
cell_H vs cell_D,detection_failure,0.8,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.9,0.07441666666666667,0.0382537037037037,0.1102800925925926
cell_H vs cell_D,detection_failure,0.9,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.95,0.07441666666666667,0.03240717592592593,0.1186763888888889
cell_H vs cell_D,detection_failure,0.95,0.0,0.0,0.0
cell_H vs cell_D,FRR,0.99,0.07441666666666667,0.02189763888888889,0.1371767129629629
cell_H vs cell_D,detection_failure,0.99,0.0,0.0,0.0
cell_H vs cell_M,FRR,0.8,0.030364583333333337,0.007712384259259262,0.05546122685185187
cell_H vs cell_M,detection_failure,0.8,-0.006944444444444444,-0.013888888888888888,0.0
cell_H vs cell_M,FRR,0.9,0.030364583333333337,-0.0016270254629629653,0.0630546875
cell_H vs cell_M,detection_failure,0.9,-0.006944444444444444,-0.020833333333333332,0.0
cell_H vs cell_M,FRR,0.95,0.030364583333333337,-0.007620659722222209,0.06884953703703703
cell_H vs cell_M,detection_failure,0.95,-0.006944444444444444,-0.020833333333333332,0.0
cell_H vs cell_M,FRR,0.99,0.030364583333333337,-0.02204027777777777,0.07868064236111111
cell_H vs cell_M,detection_failure,0.99,-0.006944444444444444,-0.027777777777777776,0.0
