comparison,metric,ci_level,diff_mean,lo,hi
cell_H vs cell_D,FRR,0.8,0.029265232974910394,0.014372759856630824,0.0457114695340502
cell_H vs cell_D,detection_failure,0.8,-0.0064516129032258064,-0.012903225806451613,0.0
cell_H vs cell_D,FRR,0.9,0.029265232974910394,0.010806003584229389,0.051094534050179205
cell_H vs cell_D,detection_failure,0.9,-0.0064516129032258064,-0.019354838709677424,0.0
cell_H vs cell_D,FRR,0.95,0.029265232974910394,0.008091173835125446,0.05565076164874549
cell_H vs cell_D,detection_failure,0.95,-0.0064516129032258064,-0.019354838709677424,0.0
cell_H vs cell_D,FRR,0.99,0.029265232974910394,0.004100761648745523,0.06859623655913968
cell_H vs cell_D,detection_failure,0.99,-0.0064516129032258064,-0.025806451612903226,0.0
cell_H vs cell_M,FRR,0.8,0.025978260869565208,0.0067028985507246305,0.048039855072463805
cell_H vs cell_M,detection_failure,0.8,0.0,0.0,0.0
cell_H vs cell_M,FRR,0.9,0.025978260869565208,0.0016702898550724587,0.055254830917874385
cell_H vs cell_M,detection_failure,0.9,0.0,0.0,0.0
cell_H vs cell_M,FRR,0.95,0.025978260869565208,-0.0039021739130434743,0.06020833333333317
cell_H vs cell_M,detection_failure,0.95,0.0,0.0,0.0
cell_H vs cell_M,FRR,0.99,0.025978260869565208,-0.012126026570048309,0.07219861111111107
cell_H vs cell_M,detection_failure,0.99,0.0,0.0,0.0
