mechanism,mean,median,count
debounce,0.02336021505376344,-0.004861111111111111,31
ewma,0.009740143369175627,-0.021527777777777778,31
hysteresis,0.01671296296296296,-0.005555555555555557,30
instantaneous,0.01086111111111111,-0.02013888888888889,30
majority_vote,0.02293010752688172,-0.0034722222222222238,31
margin_dual_threshold,0.015563271604938268,-0.02222222222222222,18
moving_average,0.012889784946236561,-0.019444444444444445,31
sprt,0.013593189964157704,-0.021527777777777778,31
trust_model,0.01103494623655914,-0.011805555555555554,31
trust_model_single,0.010062724014336919,-0.018055555555555554,31
