mechanism,n_users_feasible,n_users_infeasible,n_sequences,FAR_mean,FAR_lo,FAR_hi,FRR_mean,FRR_lo,FRR_hi,n_transitions_mean,n_transitions_lo,n_transitions_hi,excess_transitions_mean,excess_transitions_lo,excess_transitions_hi,fewer_than_2_transitions_mean,fewer_than_2_transitions_lo,fewer_than_2_transitions_hi,transition_rate_per_100_mean,transition_rate_per_100_lo,transition_rate_per_100_hi,n_flip_events_mean,n_flip_events_lo,n_flip_events_hi,detection_failure_mean,detection_failure_lo,detection_failure_hi,recovery_failure_mean,recovery_failure_lo,recovery_failure_hi,detection_latency_frames_mean,detection_latency_frames_lo,detection_latency_frames_hi,recovery_latency_frames_mean,recovery_latency_frames_lo,recovery_latency_frames_hi,detection_latency_censored_mean,detection_latency_censored_lo,detection_latency_censored_hi,recovery_latency_censored_mean,recovery_latency_censored_lo,recovery_latency_censored_hi,lockout_fraction_during_genuine_mean,lockout_fraction_during_genuine_lo,lockout_fraction_during_genuine_hi,test_FAR_matched
instantaneous,30,1,173,0.03442592592592593,0.011645833333333334,0.06233379629629629,0.0499537037037037,0.016721990740740742,0.09402870370370371,3.565555555555555,2.7055,4.606916666666665,1.6222222222222225,0.7744444444444445,2.6533333333333333,0.05,0.0,0.11333333333333334,1.9919304779639977,1.5114525139664803,2.573696461824953,1.5444444444444445,0.7376944444444443,2.5281666666666642,0.012222222222222223,0.0,0.03002777777777763,0.048888888888888885,0.006666666666666667,0.10333333333333332,0.5055555555555554,0.01111111111111111,1.2056944444444437,0.1888888888888889,0.0,0.5444444444444445,1.2388888888888887,0.26097222222222227,2.427916666666666,3.0888888888888886,0.5333333333333333,6.466666666666667,0.0499537037037037,0.016721990740740742,0.09402870370370371,True
moving_average,31,0,179,0.037374551971326164,0.01412051971326165,0.06426590501792115,0.062150537634408594,0.03022379032258064,0.10336357526881719,2.4645161290322584,2.1655645161290322,2.7990322580645155,0.5311827956989248,0.24513440860215052,0.8570161290322579,0.060215053763440864,0.011827956989247313,0.12368279569892457,1.3768246530906472,1.2098125788430347,1.5637051721030812,0.37741935483870964,0.1655913978494624,0.625913978494623,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,0.8048387096774193,0.24510752688172044,1.5440994623655917,2.2634408602150535,1.7397849462365593,2.964516129032258,1.506989247311828,0.482768817204301,2.781774193548386,4.635483870967743,2.2085215053763436,7.882930107526882,0.062150537634408594,0.03022379032258064,0.10336357526881719,True
ewma,31,0,179,0.035501792114695334,0.012114247311827957,0.06260394265232973,0.06938620071684588,0.03802721774193548,0.10820822132616488,2.349462365591398,2.11502688172043,2.614032258064516,0.40967741935483876,0.19029569892473117,0.6656182795698923,0.053763440860215055,0.005376344086021505,0.11612903225806452,1.31254880759296,1.1815792635309668,1.4603532167958193,0.2870967741935484,0.10206989247311829,0.5193817204301073,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,0.7623655913978494,0.17094086021505372,1.5442204301075262,3.491397849462366,2.1643817204301077,5.512231182795697,1.4655913978494624,0.3988978494623656,2.751774193548386,5.8650537634408595,3.1945698924731185,9.35397849462365,0.06938620071684588,0.03802721774193548,0.10820822132616488,True
majority_vote,31,0,179,0.047885304659498196,0.02696684587813621,0.07201030465949819,0.057092293906810025,0.0238214605734767,0.09974798387096774,2.527956989247312,2.2149462365591397,2.8956989247311826,0.5801075268817205,0.28063172043010753,0.9306854838709676,0.0456989247311828,0.005376344086021505,0.1053763440860215,1.4122664744398392,1.2374001321559442,1.6177088964978674,0.4021505376344086,0.18494623655913978,0.6666666666666667,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.4623655913978495,0.9913978494623656,2.150672043010752,1.4483870967741934,1.0236559139784946,2.1720698924731185,2.160215053763441,1.1730913978494624,3.368978494623655,3.851612903225806,1.4,7.110510752688168,0.057092293906810025,0.0238214605734767,0.09974798387096774,True
debounce,31,0,179,0.04831541218637992,0.026734318996415783,0.07339112903225803,0.05668458781362006,0.02371818996415771,0.09855085125448028,2.489247311827957,2.2268548387096776,2.7946774193548385,0.5295698924731183,0.2773924731182796,0.8268951612903224,0.03387096774193549,0.0,0.07745967741935464,1.3906409563284678,1.2440529825193727,1.5612723013155523,0.2752688172043011,0.15053763440860216,0.40967741935483876,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.570967741935484,1.0569354838709677,2.2634408602150535,1.3247311827956991,0.9956720430107527,1.9086827956989245,2.2634408602150535,1.246962365591398,3.5153763440860204,3.7322580645161287,1.3064247311827957,6.955994623655915,0.05668458781362006,0.02371818996415771,0.09855085125448028,True
margin_dual_threshold,18,13,104,0.039135802469135804,0.002002314814814815,0.08321373456790121,0.05496913580246913,0.007096836419753086,0.1212037037037037,2.4611111111111112,2.0999537037037035,2.911157407407407,0.5777777777777778,0.24435185185185188,0.9925925925925926,0.0962962962962963,0.020370370370370372,0.20745370370370347,1.3749224084419616,1.1731584936892197,1.6263449203393334,0.45185185185185195,0.12962962962962965,0.8611111111111112,0.02962962962962963,0.0,0.06296296296296296,0.044444444444444446,0.0,0.13333333333333333,0.10648148148148148,0.0,0.2546296296296296,0.6814814814814815,0.018518518518518517,1.9407870370370368,1.8666666666666667,0.018518518518518517,3.9666666666666663,3.2259259259259263,0.046296296296296294,8.38148148148148,0.05496913580246913,0.007096836419753086,0.1212037037037037,True
hysteresis,30,1,173,0.043287037037037034,0.02358240740740741,0.0682446759259259,0.12514351851851852,0.07959444444444445,0.17248680555555557,2.1594444444444445,1.9555416666666665,2.3905555555555558,0.2966666666666667,0.11775,0.5111111111111111,0.13055555555555556,0.06555555555555556,0.20277777777777778,1.2063935443823715,1.0924813780260707,1.3355058969584113,0.03888888888888888,0.0,0.08333333333333333,0.012222222222222223,0.0,0.03002777777777763,0.13777777777777775,0.06555555555555556,0.21777777777777776,1.6344444444444444,1.2516388888888887,2.151194444444444,4.81,3.0938194444444447,6.761847222222223,2.347222222222222,1.4149444444444446,3.506125,12.119444444444444,7.485499999999999,17.042749999999995,0.12514351851851852,0.07959444444444445,0.17248680555555557,True
trust_model,31,0,179,0.03735663082437275,0.01811760752688172,0.06164157706093189,0.21052867383512539,0.1588929211469534,0.2646314964157706,1.8053763440860218,1.6763440860215055,1.9226075268817204,0.04838709677419355,0.01075268817204301,0.0967741935483871,0.23655913978494622,0.14083333333333334,0.3473118279569892,1.0085901363609058,0.9365050759896678,1.0740824172523578,0.0,0.0,0.0,0.011827956989247313,0.0,0.030107526881720432,0.22473118279569892,0.12793010752688172,0.33873655913978484,1.4080645161290324,0.9688037634408602,1.9484274193548383,13.492777777777778,10.426013888888892,17.190138888888878,2.0854838709677415,1.085483870967742,3.3377150537634406,22.943010752688163,17.10395161290323,29.221048387096737,0.21052867383512539,0.1588929211469534,0.2646314964157706,True
trust_model_single,31,0,179,0.03761648745519713,0.016952508960573476,0.06301299283154121,0.08622759856630825,0.057508512544802874,0.1218304211469534,2.1978494623655918,2.0687634408602147,2.344112903225807,0.24892473118279573,0.12686827956989247,0.39572580645161276,0.0446236559139785,0.008064516129032258,0.09194892473118273,1.2278488616567553,1.1557337658436957,1.3095602811317355,0.15698924731182798,0.06881720430107527,0.2591397849462366,0.011827956989247313,0.0,0.030107526881720432,0.04086021505376344,0.0,0.0956989247311828,1.2096774193548387,0.7397849462365591,1.795752688172043,5.866666666666667,4.594381720430107,7.469112903225805,1.8903225806451611,0.8515860215053764,3.1506989247311807,8.05537634408602,5.412715053763441,11.327163978494621,0.08622759856630825,0.057508512544802874,0.1218304211469534,True
sprt,31,0,179,0.038458781362007165,0.014784498207885305,0.06665143369175625,0.04295250896057347,0.015670138888888886,0.08108982974910392,2.3193548387096774,2.0999731182795696,2.5860215053763436,0.4096774193548387,0.19889784946236558,0.6538709677419349,0.07204301075268818,0.019354838709677424,0.13655913978494624,1.2957289601730044,1.1731693398209888,1.4447047516068965,0.29247311827956995,0.12150537634408602,0.5043279569892473,0.023655913978494626,0.005376344086021505,0.04731182795698925,0.035483870967741936,0.0,0.0903225806451613,0.5118279569892473,0.14623655913978495,0.9978494623655914,1.0483870967741935,0.3008602150537634,2.2054569892473115,1.9215053763440861,0.6773924731182797,3.423817204301074,3.1693548387096775,0.6826612903225807,6.581801075268817,0.04295250896057347,0.015670138888888886,0.08108982974910392,True
