mechanism,n_users_feasible,n_users_infeasible,n_sequences,FAR_mean,FAR_lo,FAR_hi,FRR_mean,FRR_lo,FRR_hi,n_transitions_mean,n_transitions_lo,n_transitions_hi,excess_transitions_mean,excess_transitions_lo,excess_transitions_hi,fewer_than_2_transitions_mean,fewer_than_2_transitions_lo,fewer_than_2_transitions_hi,transition_rate_per_100_mean,transition_rate_per_100_lo,transition_rate_per_100_hi,n_flip_events_mean,n_flip_events_lo,n_flip_events_hi,detection_failure_mean,detection_failure_lo,detection_failure_hi,recovery_failure_mean,recovery_failure_lo,recovery_failure_hi,detection_latency_frames_mean,detection_latency_frames_lo,detection_latency_frames_hi,recovery_latency_frames_mean,recovery_latency_frames_lo,recovery_latency_frames_hi,detection_latency_censored_mean,detection_latency_censored_lo,detection_latency_censored_hi,recovery_latency_censored_mean,recovery_latency_censored_lo,recovery_latency_censored_hi,lockout_fraction_during_genuine_mean,lockout_fraction_during_genuine_lo,lockout_fraction_during_genuine_hi,test_FAR_matched
instantaneous,25,0,143,0.04366666666666666,0.014416666666666668,0.0782744444444444,0.050488888888888896,0.014685833333333334,0.09443416666666649,4.1066666666666665,2.935966666666667,5.733766666666663,2.1746666666666665,0.9972999999999999,3.801499999999999,0.06,0.0,0.144,2.294227188081937,1.6402048417132213,3.2032216014897563,2.184,0.9585999999999999,3.870933333333332,0.021333333333333333,0.0,0.04533333333333333,0.050666666666666665,0.0,0.11866666666666667,0.02,0.0,0.05333333333333333,0.21866666666666668,0.0,0.6293333333333333,1.3,0.026666666666666665,2.74,3.2586666666666666,0.21866666666666668,7.263999999999999,0.050488888888888896,0.014685833333333334,0.09443416666666649,True
moving_average,25,0,143,0.04961111111111111,0.020076944444444446,0.08502305555555555,0.06094444444444445,0.02719805555555556,0.10250083333333332,2.568,2.2333000000000003,2.9666999999999994,0.6359999999999999,0.3239666666666667,1.0200333333333331,0.06,0.0,0.144,1.4346368715083802,1.247653631284916,1.6573743016759779,0.45600000000000007,0.21333333333333335,0.7426666666666667,0.014666666666666668,0.0,0.037333333333333336,0.050666666666666665,0.0,0.11866666666666667,0.8539999999999999,0.29400000000000004,1.745383333333333,1.94,1.6133333333333335,2.38,1.7246666666666668,0.5219833333333335,3.2394833333333333,4.882666666666666,1.9505666666666663,8.735199999999995,0.06094444444444445,0.02719805555555556,0.10250083333333332,True
ewma,25,0,143,0.047911111111111106,0.01659666666666667,0.0853111111111111,0.0639611111111111,0.03041625,0.10507861111111101,2.5639999999999996,2.2013000000000003,3.052,0.632,0.26666666666666666,1.1027999999999993,0.06,0.0,0.144,1.4324022346368717,1.229776536312849,1.7050279329608942,0.5146666666666667,0.2133,0.8986666666666667,0.029333333333333333,0.006666666666666666,0.05733333333333333,0.050666666666666665,0.0,0.11866666666666667,0.446,0.10665000000000001,0.903583333333332,2.2773333333333334,1.7533333333333334,2.920199999999999,2.1679999999999997,0.5746666666666667,3.980333333333331,5.222,2.3332333333333333,9.052683333333334,0.0639611111111111,0.03041625,0.10507861111111101,True
majority_vote,25,0,143,0.05242222222222223,0.026355000000000003,0.08377777777777777,0.05654444444444444,0.02287444444444444,0.09845249999999994,2.445333333333333,2.1799666666666666,2.764,0.528,0.27990000000000004,0.8240333333333332,0.07466666666666666,0.014666666666666668,0.1560333333333332,1.3661080074487897,1.2178584729981377,1.5441340782122905,0.304,0.13066666666666665,0.524,0.014666666666666668,0.0,0.037333333333333336,0.050666666666666665,0.0,0.11866666666666667,1.3706666666666667,0.968,2.146666666666667,1.376,0.9866333333333333,2.0267666666666657,2.2359999999999998,0.9906666666666666,3.6668333333333325,4.356,1.3453333333333333,8.278933333333331,0.05654444444444444,0.02287444444444444,0.09845249999999994,True
debounce,25,0,143,0.056866666666666676,0.02851,0.0920733333333333,0.05739999999999999,0.022906388888888886,0.09950749999999997,2.332,2.099966666666667,2.6213666666666664,0.39866666666666667,0.17333333333333337,0.6829333333333317,0.058666666666666666,0.006666666666666666,0.12666666666666665,1.3027932960893855,1.17316573556797,1.4644506517690874,0.1733333333333333,0.048,0.3333999999999997,0.014666666666666668,0.0,0.037333333333333336,0.050666666666666665,0.0,0.11866666666666667,1.5660000000000003,1.0493333333333335,2.45,1.5066666666666668,1.0106666666666668,2.3493999999999997,2.4226666666666663,1.2066333333333332,3.9535666666666653,4.492,1.4717333333333333,8.365233333333327,0.05739999999999999,0.022906388888888886,0.09950749999999997,True
margin_dual_threshold,25,0,143,0.03937777777777778,0.011172222222222224,0.07577777777777778,0.08677222222222224,0.036630972222222224,0.1462523611111111,2.268,1.9426666666666665,2.6506999999999996,0.41866666666666674,0.14666666666666667,0.7653666666666664,0.136,0.04,0.24669999999999984,1.2670391061452513,1.085288640595903,1.4808379888268157,0.31200000000000006,0.07999999999999999,0.6173666666666665,0.021333333333333333,0.0,0.04533333333333333,0.10666666666666667,0.022666666666666665,0.21203333333333316,0.586,0.1025,1.234083333333333,1.913888888888889,0.15138888888888888,4.244479166666666,1.7919999999999998,0.2025,3.7093999999999996,7.754,2.2262499999999994,14.538299999999998,0.08677222222222224,0.036630972222222224,0.1462523611111111,True
hysteresis,25,0,143,0.056533333333333324,0.03179944444444445,0.08995722222222222,0.10392222222222224,0.05699972222222222,0.15782888888888885,2.1633333333333336,2.0219666666666667,2.3106666666666666,0.24333333333333332,0.13065,0.36999999999999994,0.072,0.016,0.144,1.2085661080074486,1.1295903165735566,1.2908752327746742,0.026666666666666665,0.0,0.06666666666666667,0.014666666666666668,0.0,0.037333333333333336,0.08733333333333332,0.02,0.174,2.010666666666667,1.504,2.612,3.985333333333333,2.2719,6.392033333333334,2.8360000000000003,1.6852666666666667,4.4295,8.946666666666665,4.5383000000000004,13.808033333333332,0.10392222222222224,0.05699972222222222,0.15782888888888885,True
trust_model,25,0,143,0.05963333333333333,0.031974999999999996,0.09371305555555554,0.15135555555555555,0.11106722222222222,0.19714305555555547,1.9039999999999997,1.8013333333333335,2.0066666666666664,0.04666666666666666,0.0,0.1,0.12666666666666665,0.05996666666666666,0.20666666666666664,1.0636871508379888,1.0063314711359406,1.121042830540037,0.013333333333333332,0.0,0.04,0.022666666666666665,0.0,0.050666666666666665,0.10400000000000001,0.03333333333333333,0.18799999999999997,1.9226666666666663,1.3379833333333333,2.623366666666666,11.859333333333334,9.253283333333332,14.469433333333333,3.21,1.7157499999999999,4.9668166666666655,16.314666666666668,11.693133333333334,21.47953333333332,0.15135555555555555,0.11106722222222222,0.19714305555555547,True
trust_model_single,25,0,143,0.05112222222222222,0.023799722222222226,0.08554638888888887,0.07879444444444444,0.04636583333333334,0.11863749999999997,2.12,1.9826666666666666,2.2813333333333334,0.2,0.08,0.3426666666666667,0.06533333333333333,0.013333333333333332,0.132,1.1843575418994412,1.1076350093109868,1.2744878957169459,0.10933333333333334,0.037333333333333336,0.2,0.021333333333333333,0.0,0.04533333333333333,0.044000000000000004,0.0,0.11199999999999999,1.3053333333333332,0.83655,1.8601666666666654,4.92,3.995933333333333,5.973366666666666,2.5260000000000002,1.1209333333333333,4.300133333333332,7.22,4.315799999999999,11.12633333333333,0.07879444444444444,0.04636583333333334,0.11863749999999997,True
sprt,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
