mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
instantaneous,{'theta': 0.9999035028466661},0.5201388888888889,0.00798611111111111,0.05,0.01,"[0.04, 0.060000000000000005]",7,0,False,False,above_interval,0.5201388888888889,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.9999035028466661, 'w': 10}",0.0,0.94375,0.05,0.01,"[0.04, 0.060000000000000005]",28,0,False,False,below_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.9999035028466661, 'alpha': 0.2}",0.18194444444444444,0.5114583333333333,0.05,0.01,"[0.04, 0.060000000000000005]",28,0,False,False,above_interval,0.18194444444444444,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.9999035028466661, 'w': 5, 'k': 4}",0.5159722222222223,0.01875,0.05,0.01,"[0.04, 0.060000000000000005]",35,0,False,False,above_interval,0.5159722222222223,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.9999035028466661, 'n': 2}",0.5340277777777778,0.008680555555555556,0.05,0.01,"[0.04, 0.060000000000000005]",28,0,False,False,above_interval,0.5340277777777778,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.9999035028466661, 'margin': 0.05}",0.18194444444444444,0.5149305555555556,0.05,0.01,"[0.04, 0.060000000000000005]",28,0,False,False,above_interval,0.18194444444444444,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9999035028466661, 'margin': 0.05, 'ttt_frames': 2}",0.35208333333333336,0.38125,0.05,0.01,"[0.04, 0.060000000000000005]",84,0,False,False,above_interval,0.35208333333333336,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.9999035028466661, 'gain': 0.3, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.18194444444444444,0.5034722222222222,0.05,0.01,"[0.04, 0.060000000000000005]",63,0,False,False,above_interval,0.18194444444444444,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.995493013338051, 'sd_gen': 0.0491565978237161, 'mu_imp': 0.6454403754811456, 'sd_imp': 0.3767589736694349}",0.4444444444444444,0.05555555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.4444444444444444,0.5201388888888889,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 1.0},0.475,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",5,0,False,False,above_interval,0.475,0.9826388888888888,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 1.0, 'w': 20}",0.35347222222222224,0.07951388888888888,0.05,0.01,"[0.04, 0.060000000000000005]",20,0,False,False,above_interval,0.35347222222222224,0.9840277777777777,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 1.0, 'alpha': 0.5}",0.29583333333333334,0.25972222222222224,0.05,0.01,"[0.04, 0.060000000000000005]",20,0,False,False,above_interval,0.29583333333333334,0.9902777777777778,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 1.0, 'w': 5, 'k': 4}",0.47291666666666665,0.0125,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.47291666666666665,0.9972222222222222,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 1.0, 'n': 2}",0.4888888888888889,0.004166666666666667,0.05,0.01,"[0.04, 0.060000000000000005]",20,0,False,False,above_interval,0.4888888888888889,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
margin_dual_threshold,"{'theta': 1.0, 'margin': 0.05}",0.29583333333333334,0.375,0.05,0.01,"[0.04, 0.060000000000000005]",20,0,False,False,above_interval,0.29583333333333334,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
hysteresis,"{'theta': 1.0, 'margin': 0.05, 'ttt_frames': 2}",0.4,0.3125,0.05,0.01,"[0.04, 0.060000000000000005]",60,0,False,False,above_interval,0.4,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
trust_model,"{'theta': 1.0, 'gain': 0.3, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.29583333333333334,0.375,0.05,0.01,"[0.04, 0.060000000000000005]",45,0,False,False,above_interval,0.29583333333333334,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
sprt,"{'A': 16, 'B': 1, 'mu_gen': 1.0, 'sd_gen': 0.001, 'mu_imp': 0.6394182325708061, 'sd_imp': 0.35304445138279894}",0.4513888888888889,0.008333333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.4513888888888889,0.475,0A986513-7828-4D53-AA1F-E02D6DF9561B
instantaneous,{'theta': 0.9921725287597993},0.034027777777777775,0.9885416666666667,0.05,0.01,"[0.04, 0.060000000000000005]",7,0,False,False,below_interval,0.03263888888888889,0.9763888888888889,136562B6-95B2-483D-88DC-065F28409FD2
moving_average,"{'theta': 0.9921725287597993, 'w': 3}",0.03819444444444445,0.9725694444444445,0.05,0.01,"[0.04, 0.060000000000000005]",28,0,False,False,below_interval,0.019444444444444445,0.9590277777777778,136562B6-95B2-483D-88DC-065F28409FD2
