enrolled_user,feature_set,model,n_features,n_enrolment_rows,n_fit_impostor_rows,fit_impostor_participants,fit_seconds,split_sizes,normaliser,n_calib_sequences,n_test_sequences,score_models,thetas,total_seconds
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,4087,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",9.88255000114441,"{'train': 4087, 'calib': 1363, 'test': 1363}","{'kind': 'ECDF on calibration scores', 'n': 10363, 'min': -16.910508591730324, 'max': 3.4664925498654995}",24,6,"{""mu_gen"": 0.995493013338051, ""sd_gen"": 0.0491565978237161, ""mu_imp"": 0.6454403754811456, ""sd_imp"": 0.3767589736694349}","[0.1273762424008492, 0.2690340634951269, 0.2991411753353276, 0.2998166554086654, 0.4078934671427193, 0.4494837402296632, 0.9999035028466661]",27.19493865966797
0A986513-7828-4D53-AA1F-E02D6DF9561B,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,2376,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",6.836340665817261,"{'train': 2376, 'calib': 792, 'test': 792}","{'kind': 'ECDF on calibration scores', 'n': 9792, 'min': -20.730263966540686, 'max': 0.6590905248314375}",24,6,"{""mu_gen"": 1.0, ""sd_gen"": 0.001, ""mu_imp"": 0.6394182325708061, ""sd_imp"": 0.35304445138279894}","[0.13837826797385622, 0.18086192810457516, 0.3167892156862745, 0.4667075163398693, 1.0]",10.521443843841553
136562B6-95B2-483D-88DC-065F28409FD2,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,3730,47581,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",3.8596251010894775,"{'train': 3730, 'calib': 1244, 'test': 1244}","{'kind': 'ECDF on calibration scores', 'n': 10244, 'min': -20.767610451452217, 'max': 2.561323053557467}",24,6,"{""mu_gen"": 0.9910797377326566, ""sd_gen"": 0.001, ""mu_imp"": 0.6990167008330079, ""sd_imp"": 0.35130695201736056}","[0.16009371339320577, 0.3023233112065599, 0.44562670831706364, 0.9910191331511129, 0.9921725287597993, 0.9975087856306128, 1.0]",11.30838418006897
1538C99F-BA1E-4EFB-A949-6C7C47701B20,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,3929,47581,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",3.973104953765869,"{'train': 3929, 'calib': 1310, 'test': 1310}","{'kind': 'ECDF on calibration scores', 'n': 10310, 'min': -20.745137809254963, 'max': 0.7143085658440741}",24,6,"{""mu_gen"": 0.9933647214139455, ""sd_gen"": 0.03679536487228122, ""mu_imp"": 0.6731273574738657, ""sd_imp"": 0.3813823609493289}","[0.03249272550921436, 0.1930164888457808, 0.43433559650824444, 0.9958292919495635]",7.149263620376587
24E40C4C-A349-4F9F-93AB-01D00FB994AF,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,2862,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",6.734637498855591,"{'train': 2862, 'calib': 954, 'test': 955}","{'kind': 'ECDF on calibration scores', 'n': 9954, 'min': -13.140839356962674, 'max': 2.325316658233638}",24,6,"{""mu_gen"": 0.9777635456432925, ""sd_gen"": 0.005081278103248425, ""mu_imp"": 0.6888082401268055, ""sd_imp"": 0.35305493364979523}","[0.13261000602772754, 0.31273859754872413, 0.44896524010448063, 0.45097448262005224, 0.9762909383162548, 0.9798051034759888, 0.9816154309825196, 0.9906570223025919, 1.0]",12.20779275894165
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,5109,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",4.28552770614624,"{'train': 5109, 'calib': 1703, 'test': 1704}","{'kind': 'ECDF on calibration scores', 'n': 10703, 'min': -20.73377811006775, 'max': 1.6621850922338084}",24,6,"{""mu_gen"": 0.9892149916430493, ""sd_gen"": 0.0020201957477646556, ""mu_imp"": 0.6543697509524847, ""sd_imp"": 0.36376831809609694}","[0.12781463141175373, 0.289451555638606, 0.42660936186116044, 0.9887881902270391, 0.9928057553956835, 1.0]",11.273923635482788
3600D531-0C55-44A7-AE95-A7A38519464E,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,3121,47581,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",3.8408451080322266,"{'train': 3121, 'calib': 1041, 'test': 1041}","{'kind': 'ECDF on calibration scores', 'n': 10041, 'min': -20.74498629447476, 'max': 1.0890739746041034}",24,6,"{""mu_gen"": 0.9951827714703051, ""sd_gen"": 0.022376228583743062, ""mu_imp"": 0.6705527476236319, ""sd_imp"": 0.3617820667996491}","[0.13624141021810576, 0.17677522159147496, 0.3084354147993228, 0.45503435912757695, 0.9961159247086944]",7.471452951431274
4FC32141-E888-4BFF-8804-12559A491D8C,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,2987,47581,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",6.6149983406066895,"{'train': 2987, 'calib': 996, 'test': 996}","{'kind': 'ECDF on calibration scores', 'n': 9996, 'min': -20.761995856946186, 'max': 1.4464504064056403}",24,5,"{""mu_gen"": 0.9956226935218534, ""sd_gen"": 0.001, ""mu_imp"": 0.6824139377973413, ""sd_imp"": 0.3588706601574744}","[0.1370548219287715, 0.17757102841136455, 0.30982392957182875, 0.4566826730692277, 0.9955982392957183]",10.287041902542114
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,3970,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",4.1451334953308105,"{'train': 3970, 'calib': 1323, 'test': 1324}","{'kind': 'ECDF on calibration scores', 'n': 10323, 'min': -16.337231002589977, 'max': 2.126181207299219}",24,6,"{""mu_gen"": 0.9674496068649293, ""sd_gen"": 0.049046463590113054, ""mu_imp"": 0.5887587183958151, ""sd_imp"": 0.3880954249371151}","[0.0, 0.12786980528916012, 0.27007652814104427, 0.43524169330620943, 0.44425070231521846, 0.9438147825244599, 0.999903128935387]",11.58214259147644
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,F7_F3_MISSINGNESS_ONLY,gradient_boosting,119,3970,47667,"[np.str_('1155FF54-63D3-4AB2-9863-8385D0BD0A13'), np.str_('136562B6-95B2-483D-88DC-065F28409FD2'), np.str_('1538C99F-BA1E-4EFB-A949-6C7C47701B20'), np.str_('1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842'), np.str_('3600D531-0C55-44A7-AE95-A7A38519464E'), np.str_('4FC32141-E888-4BFF-8804-12559A491D8C'), np.str_('59818CD2-24D7-4D32-B133-24C2FE3801E5'), np.str_('59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2'), np.str_('5EF64122-B513-46AE-BCF1-E62AAC285D2C'), np.str_('74B86067-5D4B-43CF-82CF-341B76BEA0F4'), np.str_('797D145F-3858-4A7F-A7C2-A4EB721E133C'), np.str_('83CF687B-7CEC-434B-9FE8-00C3D5799BE6'), np.str_('86A4F379-B305-473D-9D83-FC7D800180EF'), np.str_('96A358A0-FFF2-4239-B93E-C7425B901B47'), np.str_('9759096F-1119-4E19-A0AD-6F16989C7E1C'), np.str_('99B204C0-DD5C-4BB7-83E8-A37281B8D769'), np.str_('A5A30F76-581E-4757-97A2-957553A2C6AA'), np.str_('B7F9D634-263E-4A97-87F9-6FFB4DDCB36C'), np.str_('BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC'), np.str_('C48CE857-A0DD-4DDB-BEA5-3A25449B2153'), np.str_('CA820D43-E5E2-42EF-9798-BE56F776370B'), np.str_('CDA3BBF7-6631-45E8-85BA-EEB416B32A3C'), np.str_('D7D20E2E-FC78-405D-B346-DBD3FD8FC92B'), np.str_('E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3')]",4.054717779159546,"{'train': 3970, 'calib': 1323, 'test': 1324}","{'kind': 'ECDF on calibration scores', 'n': 10323, 'min': -20.78809267017218, 'max': 1.3091041786654574}",24,5,"{""mu_gen"": 0.9835839199414467, ""sd_gen"": 0.08138121981451024, ""mu_imp"": 0.619301425080995, ""sd_imp"": 0.3925031068939111}","[0.12883851593529014, 0.2710452387871743, 0.43562917756466146, 0.44289450741063646, 0.995931415286254]",7.667638778686523
