partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.04743,threshold,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,2.0,6.0625,0.5,0.25,0.4354166666666667,169,412,0.0,0.0,0.0,0.5625,16,2.0,7.875,0.5,0.25,0.45416666666666666,228,412,0.0,0.0,0.0,0.4375
test,theta=0.04743,threshold,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,9,9,18,62,13,6,21.35,0.42154566744730676,0.04839968774395004,0.8430913348946135,0.6088992974238876,0.2810304449648712,6.888888888888889,16,0.0,4.125,0.0,0.125,0.19270833333333334,111,412,0.0,0.0,0.0,0.75,16,0.0,0.9375,0.0,0.125,0.24583333333333335,81,412,0.0,0.0,0.0625,0.8125
test,theta=0.04743,threshold,primary,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,1879,16,16,32,20,19,16,31.316666666666666,0.5109100585417775,0.010643959552953698,1.021820117083555,0.6067056945183609,0.5109100585417775,1.25,16,0.0,2.375,0.0,0.0625,0.15625,75,412,0.0,0.0,0.0,0.9375,16,0.0,0.5,0.0,0.0,0.09375,31,412,0.0,0.0,0.0,0.875
test,theta=0.04743,threshold,primary,B09E373F-8A54-44C8-895B-0039390B859F,1597,0,0,0,0,0,0,26.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,9.5,18.25,3.0,0.5625,0.659375,312,412,0.0,0.0,0.0,0.3125,16,4.5,13.125,3.5,0.375,0.6166666666666667,255,412,0.0,0.0,0.0,0.375
test,theta=0.04743,threshold,primary,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,937,0,0,0,0,0,0,15.616666666666667,0.0,0.0,0.0,0.0,0.0,,16,6.0,12.3125,1.5,0.3125,0.5447916666666667,196,412,0.0,0.0,0.0,0.6875,16,1.5,9.9375,0.0,0.1875,0.40208333333333335,211,412,0.0,0.0,0.0,0.5625
test,theta=0.04743,threshold,primary,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,1212,4,4,8,4,4,4,20.2,0.19801980198019803,0.0033003300330033004,0.39603960396039606,0.19801980198019803,0.19801980198019803,1.0,16,1.0,6.3125,1.0,0.1875,0.48854166666666665,185,412,0.0,0.0,0.0,0.625,16,6.5,14.0,1.0,0.6875,0.6583333333333333,248,412,0.0,0.0,0.0,0.1875
test,theta=0.04743,threshold,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,21,21,42,32,36,20,10.95,1.9178082191780823,0.0487062404870624,3.8356164383561646,3.2876712328767126,1.8264840182648403,1.5238095238095237,16,0.5,12.375,0.0,0.375,0.4708333333333333,238,412,0.0,0.0,0.125,0.375,16,4.0,9.875,3.0,0.4375,0.6052083333333333,219,412,0.0,0.0,0.0,0.4375
test,theta=0.04743,threshold,primary,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,966,1,1,2,1,1,1,16.1,0.06211180124223602,0.0010351966873706005,0.12422360248447203,0.06211180124223602,0.06211180124223602,1.0,16,0.0,1.875,0.0,0.125,0.19583333333333333,76,412,0.0,0.0,0.0,0.75,16,2.5,8.8125,0.0,0.1875,0.4291666666666667,200,412,0.0,0.0,0.0,0.625
test,"k=2, theta=0.1091",moving_average,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,1.5,6.1875,1.0,0.25,0.45729166666666665,151,412,0.0,0.0,0.0,0.625,16,2.0,3.5,1.5,0.0625,0.4354166666666667,189,412,0.0,0.0,0.0,0.6875
test,"k=2, theta=0.1091",moving_average,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,2,2,4,75,1,1,21.35,0.09367681498829039,0.0585480093676815,0.18735362997658078,0.046838407494145196,0.046838407494145196,37.5,16,1.0,4.6875,1.0,0.0625,0.2552083333333333,113,412,0.0,0.0,0.0,0.875,16,1.0,1.25,1.0,0.125,0.265625,65,412,0.0,0.0,0.125,0.875
