target_name,target_false_locks_per_hour,mechanism,params_str,in_band,n_in_band_cells,n_excluded_absorbing,val_false_locks_per_hour,val_lockout_mean_frames,val_ania_median,val_far_frame,val_miss_rate,best_smoother
primary,0.125,threshold,theta=0.04743,True,2,0,0.1338246702870442,1.0869565217391304,0.0,0.3813802083333333,0.25,margin
primary,0.125,moving_average,"k=2, theta=0.1091",True,7,0,0.1396431342125678,1.875,1.0,0.405078125,0.1640625,margin
primary,0.125,ewma,"alpha=0.7, theta=0.1192",True,16,0,0.1280062063615205,1.9545454545454544,1.0,0.4125,0.15625,margin
primary,0.125,majority_vote,"k=3, theta=0.1192",True,10,0,0.1338246702870442,2.6956521739130435,1.0,0.3662760416666666,0.125,margin
primary,0.125,debounce,"T=2, theta=0.1419",True,8,1,0.1396431342125678,4.0,1.0,0.3516927083333333,0.1328125,margin
primary,0.125,margin,"m=0.3, theta=0.1978",True,4,177,0.1105508145849495,3.421052631578948,0.0,0.2809895833333333,0.15625,margin
primary,0.125,hysteresis,"m=0.3, T=2, theta=0.3318",True,33,520,0.1338246702870442,11.08695652173913,1.0,0.2799479166666667,0.1015625,margin
primary,0.125,trust,"r=0.5, tau=0.5, theta=0.4256",True,13,255,0.1338246702870442,11.304347826086955,2.0,0.3446614583333333,0.1015625,margin
primary,0.125,sprt,"alpha=0.05, beta=0.009899",True,41,0,0.1396431342125678,12.833333333333334,0.0,0.143359375,0.046875,margin
primary,0.125,hmm,"rho=0.0001, theta=0.9427",True,101,1,0.1396431342125678,14.666666666666666,1.0,0.2149739583333333,0.046875,margin
sensitivity_1,0.5,threshold,theta=0.1301,True,3,0,0.5178432893716058,1.449438202247191,0.0,0.2690104166666667,0.125,margin
sensitivity_1,0.5,moving_average,"k=3, theta=0.3775",True,16,29,0.5352986811481768,3.978260869565217,1.0,0.2287760416666666,0.0234375,margin
sensitivity_1,0.5,ewma,"alpha=0.1, theta=0.7858",True,17,37,0.5702094647013188,23.989795918367346,1.0,0.1567708333333333,0.0390625,margin
sensitivity_1,0.5,majority_vote,"k=3, theta=0.3543",True,20,7,0.5702094647013188,4.326530612244898,1.0,0.2354166666666666,0.0390625,margin
sensitivity_1,0.5,debounce,"T=2, theta=0.4013",True,7,29,0.5527540729247479,5.11578947368421,1.0,0.226171875,0.046875,margin
sensitivity_1,0.5,margin,"m=0.3, theta=0.31",True,9,0,0.5236617532971295,3.744444444444445,0.0,0.1658854166666666,0.0546875,margin
sensitivity_1,0.5,hysteresis,"m=0.3, T=2, theta=0.8176",True,35,14,0.5702094647013188,28.959183673469383,1.0,0.1088541666666666,0.0078125,margin
sensitivity_1,0.5,trust,"r=0.5, tau=0.5, theta=0.7858",True,25,24,0.4480217222653219,29.584415584415584,1.0,0.1138020833333333,0.015625,margin
sensitivity_1,0.5,sprt,"alpha=0.05, beta=0.3628",True,8,0,0.5643910007757952,7.020618556701031,0.0,0.087890625,0.0234375,margin
sensitivity_1,0.5,hmm,"rho=0.0001, theta=0.999",True,41,0,0.5352986811481768,8.01086956521739,0.0,0.08515625,0.0234375,margin
sensitivity_2,0.0416667,threshold,theta=0.0266,True,2,0,0.0465477114041892,1.0,1.5,0.4583333333333333,0.3515625,margin
sensitivity_2,0.0416667,moving_average,"k=2, theta=0.05215",True,6,0,0.0465477114041892,1.25,1.0,0.4786458333333333,0.265625,margin
sensitivity_2,0.0416667,ewma,"alpha=0.7, theta=0.06914",True,4,0,0.0465477114041892,1.625,2.0,0.5385416666666667,0.25,margin
sensitivity_2,0.0416667,majority_vote,"k=3, theta=0.06297",True,6,0,0.0465477114041892,2.375,1.0,0.4287760416666667,0.1640625,margin
sensitivity_2,0.0416667,debounce,"T=2, theta=0.06914",True,9,5,0.0407292474786656,2.857142857142857,1.0,0.4240885416666666,0.1875,margin
sensitivity_2,0.0416667,margin,"m=0.2, theta=0.1301",True,3,0,0.0465477114041892,2.875,0.0,0.3583333333333333,0.21875,margin
sensitivity_2,0.0416667,hysteresis,"m=0.3, T=2, theta=0.2142",True,16,31,0.0407292474786656,5.714285714285714,1.0,0.3641927083333333,0.171875,margin
sensitivity_2,0.0416667,trust,"r=0.5, tau=0.2, theta=0.31",True,6,5,0.0407292474786656,11.571428571428571,5.0,0.6020833333333333,0.359375,margin
sensitivity_2,0.0416667,sprt,"alpha=0.01, beta=1.823e-08",True,5,0,0.0465477114041892,19.25,3.0,0.4845052083333333,0.3203125,margin
sensitivity_2,0.0416667,hmm,"rho=0.0001, theta=0.1545",False,0,0,0.0756400310318076,17.846153846153847,2.0,0.3451822916666667,0.1015625,margin
