Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.04743,"0.442 [0.246, 0.617]",1473/3296,"0.219 [0.125, 0.438]","0.0022 [0.0000, 0.0484]",119
Moving avg,"k=2, theta=0.1091","0.422 [0.266, 0.578]",1261/3296,"0.125 [0.062, 0.250]","0.0056 [0.0000, 0.0585]",225
EWMA,"alpha=0.7, theta=0.1192","0.435 [0.264, 0.583]",1234/3296,"0.125 [0.062, 0.188]","0.0082 [0.0000, 0.0585]",248
Majority vote,"k=3, theta=0.1192","0.377 [0.242, 0.508]",1086/3296,"0.125 [0.062, 0.188]","0.0104 [0.0000, 0.0601]",281
Debounce,"T=2, theta=0.1419","0.341 [0.234, 0.451]",996/3296,"0.125 [0.062, 0.125]","0.0117 [0.0000, 0.0601]",310
Margin,"m=0.3, theta=0.1978","0.317 [0.176, 0.522]",1064/3296,"0.125 [0.062, 0.312]","0.0090 [0.0000, 0.0601]",274
Hysteresis,"m=0.3, T=2, theta=0.3318","0.244 [0.216, 0.307]",589/3296,"0.062 [0.000, 0.062]","0.0440 [0.0017, 0.1139]",572
Trust,"r=0.5, tau=0.5, theta=0.4256","0.305 [0.258, 0.433]",577/3296,"0.094 [0.031, 0.125]","0.0583 [0.0011, 0.1405]",724
SPRT,"alpha=0.05, beta=0.009899","0.144 [0.122, 0.207]",349/3296,"0.062 [0.000, 0.062]","0.0691 [0.0046, 0.1740]",851
HMM (supp.),"rho=0.0001, theta=0.9427","0.210 [0.148, 0.251]",378/3296,"0.062 [0.000, 0.094]","0.0713 [0.0050, 0.2134]",981
