Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.1301,"0.268 [0.134, 0.393]",974/3296,"0.125 [0.062, 0.188]","0.0223 [0.0043, 0.0609]",364
Moving avg,"k=3, theta=0.3775","0.224 [0.189, 0.300]",516/3296,"0.000 [0.000, 0.062]","0.0619 [0.0107, 0.1490]",757
EWMA,"alpha=0.1, theta=0.7858","0.107 [0.065, 0.206]",149/3296,"0.000 [0.000, 0.062]","0.2898 [0.1052, 0.4597]",2923
Majority vote,"k=3, theta=0.3543","0.219 [0.186, 0.304]",545/3296,"0.000 [0.000, 0.062]","0.0682 [0.0138, 0.1426]",785
Debounce,"T=2, theta=0.4013","0.211 [0.172, 0.227]",455/3296,"0.000 [0.000, 0.062]","0.0719 [0.0160, 0.1676]",861
Margin,"m=0.3, theta=0.31","0.170 [0.089, 0.226]",564/3296,"0.062 [0.000, 0.125]","0.0567 [0.0117, 0.1160]",653
Hysteresis,"m=0.3, T=2, theta=0.8176","0.092 [0.035, 0.105]",93/3296,"0.000 [0.000, 0.000]","0.3262 [0.1077, 0.4460]",3104
Trust,"r=0.5, tau=0.5, theta=0.7858","0.084 [0.071, 0.140]",105/3296,"0.000 [0.000, 0.062]","0.2597 [0.1093, 0.4505]",2833
SPRT,"alpha=0.05, beta=0.3628","0.091 [0.032, 0.124]",208/3296,"0.000 [0.000, 0.062]","0.0839 [0.0230, 0.2123]",1085
HMM (supp.),"rho=0.0001, theta=0.999","0.095 [0.049, 0.122]",203/3296,"0.000 [0.000, 0.062]","0.0961 [0.0232, 0.2847]",1311
