Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.130 [0.000, 0.511]",0.298,51,"0.260 [0.000, 1.022]","0.130 [0.000, 0.609]","1.25 [1.00, 6.89]"
Moving avg,"0.146 [0.000, 0.862]",0.316,54,"0.292 [0.000, 1.724]","0.147 [0.000, 1.213]","2.11 [1.50, 37.50]"
EWMA,"0.202 [0.000, 0.958]",0.386,66,"0.404 [0.000, 1.916]","0.241 [0.000, 1.373]","2.27 [1.38, 37.50]"
Majority vote,"0.109 [0.000, 0.639]",0.269,46,"0.218 [0.000, 1.277]","0.054 [0.000, 0.703]","4.28 [1.67, 22.55]"
Debounce,"0.096 [0.000, 0.575]",0.228,39,"0.193 [0.000, 1.150]","0.048 [0.000, 0.479]","6.00 [4.33, 38.50]"
Margin,"0.078 [0.000, 0.365]",0.146,25,"0.156 [0.000, 0.731]","0.023 [0.000, 0.237]","11.00 [2.00, 38.50]"
Hysteresis,"0.146 [0.034, 0.607]",0.222,38,"0.292 [0.038, 1.213]","0.048 [0.000, 0.351]","11.26 [3.00, 25.57]"
Trust,"0.125 [0.034, 0.511]",0.228,39,"0.250 [0.069, 1.022]","0.079 [0.000, 0.248]","16.50 [6.00, 30.12]"
SPRT,"0.140 [0.064, 0.446]",0.216,37,"0.280 [0.128, 0.891]","0.041 [0.000, 0.128]","15.72 [5.00, 39.50]"
HMM (supp.),"0.162 [0.064, 0.380]",0.222,38,"0.323 [0.128, 0.792]","0.096 [0.000, 0.186]","18.25 [2.67, 27.33]"
