family,outcome,comparison,n_users,median_a,median_b,median_diff,ci_lo,ci_hi,p_value,p_holm,rank_biserial,significant
primary,ania,hysteresis - margin (best smoother on validation),8,1.0,0.75,0.25,-1.0,1.0,0.9375,0.9375,0.0714285714285714,False
primary_secondary_outcomes,first_lock,hysteresis - margin (best smoother on validation),8,1.0,0.25,1.0,-0.5,1.0,0.5625,1.0,0.3333333333333333,False
primary_secondary_outcomes,recovery,hysteresis - margin (best smoother on validation),8,1.0,0.0,1.0,1.0,1.0,0.0078125,0.0703125,1.0,False
primary_secondary_outcomes,miss_rate,hysteresis - margin (best smoother on validation),8,0.0625,0.125,-0.09375,-0.3125,0.0,0.0625,0.4375,-1.0,False
primary_secondary_outcomes,far_frame,hysteresis - margin (best smoother on validation),8,0.2442708333333333,0.3166666666666666,-0.0562499999999999,-0.2010416666666666,0.0395833333333333,0.25,1.0,-0.5,False
primary_secondary_outcomes,frr_time,hysteresis - margin (best smoother on validation),8,0.0440163581575548,0.0089939118135416,0.0169848097688341,0.0,0.0654603512506652,0.03125,0.25,1.0,False
primary_secondary_outcomes,false_locks_per_hour,hysteresis - margin (best smoother on validation),8,0.1458483084842441,0.0778943081152631,0.0360266016021419,0.0,0.186335403726708,0.0625,0.4375,1.0,False
primary_secondary_outcomes,transitions_per_hour,hysteresis - margin (best smoother on validation),8,0.2916966169684883,0.1557886162305263,0.0532679809124867,0.0,0.3726708074534161,0.0625,0.4375,1.0,False
primary_secondary_outcomes,pingpong_per_hour,hysteresis - margin (best smoother on validation),8,0.0481716789945973,0.0234192037470725,0.0,-0.0319318786588611,0.124223602484472,0.625,1.0,0.3333333333333333,False
primary_secondary_outcomes,lockout_mean_frames,hysteresis - margin (best smoother on validation),5,13.5,11.0,3.821428571428573,-0.5,11.5,0.25,1.0,0.8,False
H3_component_ablation,ania,hysteresis - margin,8,1.0,0.75,0.25,-1.0,1.0,0.9375,1.0,0.0714285714285714,False
H3_component_ablation,ania,hysteresis - debounce,8,1.0,1.0,0.0,-1.0,0.0,0.5,1.0,-1.0,False
H4_context_matching,ania,threshold: M - X,8,2.25,0.75,0.0,-4.5,3.5,1.0,1.0,0.0666666666666666,False
H4_context_matching,ania,moving_average: M - X,8,1.0,1.0,0.0,-1.5,0.5,1.0,1.0,-0.1,False
H4_context_matching,ania,ewma: M - X,8,2.0,1.0,0.25,-1.0,1.5,0.75,1.0,0.1904761904761904,False
H4_context_matching,ania,majority_vote: M - X,8,1.25,1.0,0.0,-1.0,0.5,1.0,1.0,0.0666666666666666,False
H4_context_matching,ania,debounce: M - X,8,1.0,1.0,0.0,-0.5,0.5,1.0,1.0,0.1,False
H4_context_matching,ania,margin: M - X,8,0.75,0.25,0.25,0.0,1.5,0.4375,1.0,0.4666666666666667,False
H4_context_matching,ania,hysteresis: M - X,8,1.0,1.0,0.0,-0.75,0.5,0.75,1.0,-0.3,False
H4_context_matching,ania,trust: M - X,8,2.0,2.0,0.0,-0.5,0.5,1.0,1.0,-0.1333333333333333,False
H4_context_matching,ania,sprt: M - X,8,0.25,0.25,0.0,0.0,0.5,1.0,1.0,0.2,False
